Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Magic Johnson\johnsma02,LAL,39:00,4,15,0,1,9,9,1,5,6,19,2,2,8,2,17,.267,.000,1.000
Karl Malone\malonka01,UTA,33:00,9,19,0,0,4,5,4,6,10,2,2,0,3,4,22,.474,,.800
Fat Lever\leverfa01,DEN,31:00,7,14,0,0,3,4,0,4,4,3,0,0,0,4,17,.500,,.750
Hakeem Olajuwon\olajuha01,HOU,28:00,8,13,0,0,5,7,7,2,9,2,2,2,4,3,21,.615,,.714
Alex English\englial01,DEN,22:00,5,10,0,0,0,0,2,1,3,4,1,0,0,0,10,.500,,
Clyde Drexler\drexlcl01,POR,15:00,3,5,0,1,6,6,2,3,5,0,1,0,1,3,12,.600,.000,1.000
Kareem Abdul-Jabbar\abdulka01,LAL,14:00,4,9,0,0,2,2,2,2,4,0,0,0,0,3,10,.444,,1.000
James Worthy\worthja01,LAL,13:00,2,8,0,0,0,1,1,2,3,1,0,1,0,1,4,.250,,.000
Xavier McDaniel\mcdanxa01,SEA,13:00,1,9,0,0,0,0,1,1,2,0,0,0,1,1,2,.111,,
Mark Aguirre\aguirma01,DAL,12:00,5,10,1,3,3,3,0,1,1,1,1,0,3,3,14,.500,.333,1.000
Alvin Robertson\roberal01,SAS,12:00,1,3,0,0,0,0,0,0,0,1,2,0,2,1,2,.333,,
James Donaldson\donalja01,DAL,8:00,0,0,0,0,2,2,1,5,6,1,0,2,0,2,2,,,1.000
Larry Bird\birdla01,BOS,32:00,2,8,0,1,2,2,0,7,7,1,4,1,2,4,6,.250,.000,1.000
Dominique Wilkins\wilkido01,ATL,30:00,12,22,0,0,5,6,1,4,5,0,0,1,0,3,29,.545,,.833
Michael Jordan\jordami01,CHI,29:00,17,23,0,0,6,6,3,5,8,3,4,4,2,5,40,.739,,1.000
Isiah Thomas\thomais01,DET,28:00,4,10,0,0,0,0,1,1,2,15,1,0,6,1,8,.400,,
Moses Malone\malonmo01,WSB,22:00,2,6,0,0,3,6,5,4,9,2,0,0,2,2,7,.333,,.500
Danny Ainge\aingeda01,BOS,19:00,4,11,3,4,1,2,1,2,3,2,1,0,1,1,12,.364,.750,.500
Patrick Ewing\ewingpa01,NYK,16:00,4,8,0,0,1,1,1,5,6,0,0,1,1,1,9,.500,,1.000
Doc Rivers\riverdo01,ATL,16:00,2,4,0,0,5,11,0,3,3,6,0,0,3,3,9,.500,,.455
Brad Daugherty\daughbr01,CLE,15:00,6,7,0,0,0,0,0,3,3,1,0,1,0,4,12,.857,,
Charles Barkley\barklch01,PHI,15:00,1,4,0,1,2,2,1,2,3,0,1,1,3,2,4,.250,.000,1.000
Kevin McHale\mchalke01,BOS,14:00,0,1,0,0,2,2,0,1,1,1,0,2,2,2,2,.000,,1.000
Maurice Cheeks\cheekma01,PHI,4:00,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,,,
