Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Anfernee Hardaway\hardaan01,ORL,31:00,4,9,0,2,4,6,4,1,5,11,0,0,3,1,12,.444,.000,.667
Scottie Pippen\pippesc01,CHI,30:00,5,15,2,6,0,0,0,7,7,3,2,1,4,1,12,.333,.333,
Shaquille O'Neal\onealsh01,ORL,26:00,9,16,0,1,4,7,4,3,7,1,3,2,2,2,22,.563,.000,.571
Reggie Miller\millere01,IND,23:00,3,9,3,6,0,0,0,0,0,2,1,1,1,0,9,.333,.500,
Grant Hill\hillgr01,DET,20:00,5,8,0,0,0,4,0,0,0,3,2,0,1,2,10,.625,,.000
Patrick Ewing\ewingpa01,NYK,22:00,4,7,0,0,2,2,0,3,3,1,1,0,5,3,10,.571,,1.000
Joe Dumars\dumarjo01,DET,21:00,5,8,1,2,0,0,0,0,0,6,1,0,1,1,11,.625,.500,
Larry Johnson\johnsla02,CHH,20:00,2,3,1,1,2,2,1,3,4,2,0,0,1,0,7,.667,1.000,1.000
Alonzo Mourning\mournal01,CHH,19:00,4,9,0,1,2,3,0,8,8,1,0,1,1,5,10,.444,.000,.667
Dana Barros\barroda01,PHI,11:00,2,5,1,3,0,0,0,1,1,3,0,0,0,0,5,.400,.333,
Vin Baker\bakervi01,MIL,11:00,0,2,0,0,2,4,2,0,2,0,0,1,1,1,2,.000,,.500
Tyrone Hill\hillty01,CLE,6:00,1,1,0,0,0,0,2,2,4,0,0,0,0,1,2,1.000,,
Hakeem Olajuwon\olajuha01,HOU,25:00,6,13,1,1,0,2,4,7,11,1,2,2,3,2,13,.462,1.000,.000
Charles Barkley\barklch01,PHO,23:00,7,12,1,4,0,0,5,4,9,2,2,0,2,1,15,.583,.250,
Shawn Kemp\kempsh01,SEA,23:00,4,6,0,0,5,6,0,2,2,2,1,0,4,5,13,.667,,.833
Latrell Sprewell\sprewla01,GSW,22:00,4,9,0,2,1,1,2,2,4,4,3,0,1,0,9,.444,.000,1.000
Dan Majerle\majerda01,PHO,20:00,4,12,2,7,0,0,1,4,5,3,0,0,0,1,10,.333,.286,
Gary Payton\paytoga01,SEA,23:00,3,10,0,3,0,0,3,2,5,15,3,0,3,1,6,.300,.000,
Mitch Richmond\richmmi01,SAC,22:00,10,13,3,3,0,0,3,1,4,2,0,0,0,0,23,.769,1.000,
Dikembe Mutombo\mutomdi01,DEN,20:00,6,8,0,0,0,0,3,5,8,1,0,4,0,3,12,.750,,
Detlef Schrempf\schrede01,SEA,18:00,4,11,1,4,0,0,0,4,4,5,0,0,0,2,9,.364,.250,
Karl Malone\malonka01,UTA,16:00,6,6,0,0,3,4,0,3,3,1,0,0,1,0,15,1.000,,.750
David Robinson\robinda01,SAS,14:00,3,5,0,0,4,6,0,3,3,2,2,1,1,2,10,.600,,.667
John Stockton\stockjo01,UTA,14:00,2,6,0,3,0,0,1,0,1,6,2,0,0,0,4,.333,.000,
