Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Michael Jordan\jordami01,CHI,31:00,9,17,0,0,0,0,1,0,1,5,2,0,1,2,18,.529,,
Isiah Thomas\thomais01,DET,28:00,7,14,1,3,0,0,0,1,1,5,3,0,3,0,15,.500,.333,
Charles Barkley\barklch01,PHI,28:00,6,14,0,2,0,0,2,7,9,1,0,0,3,3,12,.429,.000,
Scottie Pippen\pippesc01,CHI,21:00,6,13,0,0,2,3,4,0,4,1,2,1,1,0,14,.462,,.667
Patrick Ewing\ewingpa01,NYK,17:00,4,7,0,0,2,5,2,2,4,0,2,1,2,3,10,.571,,.400
Dennis Rodman\rodmade01,DET,25:00,2,7,0,0,0,0,7,6,13,0,1,0,2,1,4,.286,,
Joe Dumars\dumarjo01,DET,17:00,2,7,0,2,0,0,0,1,1,3,0,0,2,0,4,.286,.000,
Reggie Lewis\lewisre01,BOS,15:00,3,7,0,0,1,2,4,0,4,2,0,1,1,3,7,.429,,.500
Brad Daugherty\daughbr01,CLE,15:00,3,8,0,0,0,0,3,3,6,1,1,0,3,0,6,.375,,
Mark Price\pricema01,CLE,15:00,1,5,0,3,4,4,0,0,0,3,1,0,3,1,6,.200,.000,1.000
Michael Adams\adamsmi01,WSB,14:00,4,8,1,3,0,0,1,0,1,1,4,0,1,1,9,.500,.333,
Kevin Willis\willike02,ATL,14:00,4,10,0,0,0,0,4,0,4,0,0,0,0,1,8,.400,,
Magic Johnson\johnsma02,LAL,29:00,9,12,3,3,4,4,3,2,5,9,2,0,7,0,25,.750,1.000,1.000
Clyde Drexler\drexlcl01,POR,28:00,10,15,2,4,0,0,2,7,9,6,0,2,1,2,22,.667,.500,
Chris Mullin\mullich01,GSW,24:00,6,7,1,1,0,0,0,1,1,3,0,0,1,0,13,.857,1.000,
Karl Malone\malonka01,UTA,19:00,5,7,0,0,1,2,0,7,7,3,1,1,1,1,11,.714,,.500
David Robinson\robinda01,SAS,18:00,7,9,0,0,5,8,1,4,5,2,3,1,0,3,19,.778,,.625
Jeff Hornacek\hornaje01,PHO,24:00,5,7,1,2,0,0,1,1,2,3,1,0,0,0,11,.714,.500,
Tim Hardaway\hardati01,GSW,20:00,5,10,2,5,2,2,0,0,0,7,1,0,2,2,14,.500,.400,1.000
Hakeem Olajuwon\olajuha01,HOU,20:00,3,6,0,0,1,2,0,4,4,2,2,1,3,3,7,.500,,.500
John Stockton\stockjo01,UTA,18:00,5,8,2,3,0,0,0,1,1,5,3,0,3,2,12,.625,.667,
James Worthy\worthja01,LAL,14:00,4,7,0,0,1,2,0,4,4,1,1,0,0,0,9,.571,,.500
Dan Majerle\majerda01,PHO,12:00,2,5,0,2,0,0,0,3,3,2,0,0,1,0,4,.400,.000,
Dikembe Mutombo\mutomdi01,DEN,10:00,2,4,0,0,0,0,1,1,2,1,1,0,2,0,4,.500,,
Otis Thorpe\thorpot01,HOU,4:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,
