Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Gary Payton\paytoga01,SEA,24:00,3,7,1,3,0,0,2,1,3,13,2,0,4,0,7,.429,.333,
Kobe Bryant\bryanko01,LAL,22:00,7,16,2,3,2,2,2,4,6,1,2,0,1,1,18,.438,.667,1.000
Kevin Garnett\garneke01,MIN,21:00,6,11,0,1,0,0,1,3,4,2,2,1,3,0,12,.545,.000,
Shaquille O'Neal\onealsh01,LAL,18:00,5,10,0,0,2,4,2,2,4,1,0,0,2,2,12,.500,,.500
Karl Malone\malonka01,UTA,17:00,2,4,0,0,0,0,0,3,3,2,2,0,0,1,4,.500,,
Eddie Jones\jonesed02,LAL,25:00,7,19,0,7,1,2,7,4,11,1,2,0,0,1,15,.368,.000,.500
David Robinson\robinda01,SAS,22:00,3,4,0,0,9,10,2,4,6,0,2,2,2,1,15,.750,,.900
Vin Baker\bakervi01,SEA,21:00,3,12,0,0,2,2,6,2,8,0,1,0,0,1,8,.250,,1.000
Nick Van Exel\vanexni01,LAL,20:00,5,14,1,6,2,2,1,2,3,2,0,0,2,0,13,.357,.167,1.000
Jason Kidd\kiddja01,PHO,19:00,0,1,0,0,0,0,0,1,1,9,0,0,2,2,0,.000,,
Mitch Richmond\richmmi01,SAC,17:00,4,11,0,2,0,0,0,1,1,2,0,0,0,0,8,.364,.000,
Tim Duncan\duncati01,SAS,14:00,1,4,0,1,0,0,1,10,11,1,0,0,2,0,2,.250,.000,
Michael Jordan\jordami01,CHI,32:00,10,18,1,1,2,3,1,5,6,8,3,0,2,0,23,.556,1.000,.667
Grant Hill\hillgr01,DET,28:00,7,11,1,1,0,0,0,3,3,5,1,0,0,1,15,.636,1.000,
Shawn Kemp\kempsh01,CLE,25:00,5,10,0,1,2,2,2,9,11,2,4,0,4,2,12,.500,.000,1.000
Dikembe Mutombo\mutomdi01,ATL,19:00,4,5,0,0,1,2,1,6,7,0,0,1,0,3,9,.800,,.500
Anfernee Hardaway\hardaan01,ORL,12:00,3,5,0,1,0,0,0,0,0,3,0,0,1,0,6,.600,.000,
Rik Smits\smitsri01,IND,21:00,3,7,0,0,4,4,2,5,7,4,0,2,0,3,10,.429,,1.000
Reggie Miller\millere01,IND,20:00,6,8,1,2,1,2,0,0,0,0,1,0,0,2,14,.750,.500,.500
Jayson Williams\willija01,NJN,19:00,2,3,0,0,0,0,3,7,10,1,0,0,0,2,4,.667,,
Tim Hardaway\hardati01,MIA,17:00,3,8,2,5,0,0,0,1,1,6,0,0,6,0,8,.375,.400,
Glen Rice\ricegl01,CHH,16:00,6,14,4,6,0,0,1,0,1,0,0,0,1,0,16,.429,.667,
Steve Smith\smithst01,ATL,16:00,6,12,2,5,0,0,2,1,3,0,0,0,0,0,14,.500,.400,
Antoine Walker\walkean02,BOS,15:00,2,8,0,3,0,0,1,2,3,3,1,0,1,0,4,.250,.000,
