Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Karl Malone\malonka01,UTA,31:00,6,11,0,0,4,6,4,7,11,4,1,1,3,1,16,.545,,.667
Magic Johnson\johnsma02,LAL,28:00,7,16,2,5,0,0,1,3,4,3,0,0,3,1,16,.438,.400,
Chris Mullin\mullich01,GSW,24:00,4,8,1,1,4,4,0,2,2,2,2,0,2,2,13,.500,1.000,1.000
Kevin Johnson\johnske02,PHO,23:00,2,5,0,0,1,2,1,1,2,7,3,1,3,2,5,.400,,.500
David Robinson\robinda01,SAS,18:00,6,13,0,0,4,5,3,3,6,0,2,3,2,5,16,.462,,.800
James Worthy\worthja01,LAL,21:00,3,11,0,0,3,4,0,2,2,0,2,1,0,2,9,.273,,.750
Clyde Drexler\drexlcl01,POR,19:00,4,9,0,0,4,4,2,2,4,2,1,1,0,3,12,.444,,1.000
Kevin Duckworth\duckwke01,POR,19:00,2,3,0,0,2,2,2,2,4,0,1,0,2,3,6,.667,,1.000
Tom Chambers\chambto01,PHO,18:00,4,11,0,1,0,0,2,2,4,1,1,0,4,3,8,.364,.000,
Terry Porter\portete01,POR,15:00,2,6,0,2,0,0,1,2,3,4,2,1,3,2,4,.333,.000,
Tim Hardaway\hardati01,GSW,12:00,2,7,1,2,0,0,2,1,3,4,2,0,0,1,5,.286,.500,
John Stockton\stockjo01,UTA,12:00,1,6,0,1,2,4,0,1,1,2,0,0,0,2,4,.167,.000,.500
Michael Jordan\jordami01,CHI,36:00,10,25,0,2,6,7,3,2,5,5,2,0,10,2,26,.400,.000,.857
Charles Barkley\barklch01,PHI,35:00,7,15,0,0,3,6,8,14,22,4,1,1,3,5,17,.467,,.500
Patrick Ewing\ewingpa01,NYK,30:00,8,10,0,0,2,2,2,8,10,0,1,4,2,5,18,.800,,1.000
Bernard King\kingbe01,WSB,26:00,2,8,0,0,4,4,2,1,3,3,0,1,1,1,8,.250,,1.000
Joe Dumars\dumarjo01,DET,15:00,1,4,0,1,0,0,1,1,2,1,0,0,4,1,2,.250,.000,
Dominique Wilkins\wilkido01,ATL,22:00,3,11,0,2,6,8,3,0,3,4,1,1,2,2,12,.273,.000,.750
Ricky Pierce\piercri01,MIL,19:00,4,8,0,0,1,1,0,2,2,2,0,0,2,2,9,.500,,1.000
Hersey Hawkins\hawkihe01,PHI,14:00,3,5,0,1,0,0,0,0,0,1,0,0,1,1,6,.600,.000,
Kevin McHale\mchalke01,BOS,14:00,0,3,0,1,2,2,1,2,3,2,1,0,0,2,2,.000,.000,1.000
Brad Daugherty\daughbr01,CLE,12:00,3,7,0,0,2,3,3,2,5,1,0,0,0,3,8,.429,,.667
Alvin Robertson\roberal01,MIL,12:00,2,4,0,0,2,2,0,2,2,0,0,0,3,0,6,.500,,1.000
Robert Parish\parisro01,BOS,5:00,1,2,0,0,0,0,1,3,4,0,0,0,1,2,2,.500,,
