Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Jermaine O'Neal\onealje01,IND,27:42,7,13,0,0,2,4,2,7,9,2,1,0,2,0,16,.538,,.500
Allen Iverson\iversal01,PHI,23:12,1,6,0,0,1,4,0,1,1,11,0,0,4,3,3,.167,,.250
Ben Wallace\wallabe01,DET,22:15,2,5,0,1,0,0,2,5,7,0,3,1,0,0,4,.400,.000,
Tracy McGrady\mcgratr01,ORL,21:54,5,11,1,6,2,4,1,3,4,3,0,0,1,0,13,.455,.167,.500
Vince Carter\cartevi01,TOR,15:50,5,7,1,3,0,0,1,1,2,0,2,0,2,1,11,.714,.333,
Kenyon Martin\martike01,NJN,24:05,8,10,0,0,1,2,4,3,7,3,0,0,3,1,17,.800,,.500
Jason Kidd\kiddja01,NJN,21:56,4,6,3,4,3,4,0,3,3,10,2,0,3,1,14,.667,.750,.750
Jamaal Magloire\magloja01,NOH,21:44,9,16,0,0,1,2,3,5,8,0,1,1,1,2,19,.563,,.500
Metta World Peace\artesro01,IND,16:59,3,5,0,1,1,2,1,2,3,3,1,0,1,2,7,.600,.000,.500
Baron Davis\davisba01,NOH,15:35,3,9,1,6,0,0,0,0,0,7,1,0,1,0,7,.333,.167,
Michael Redd\reddmi01,MIL,14:48,5,12,3,6,0,0,2,1,3,2,3,0,1,0,13,.417,.500,
Paul Pierce\piercpa01,BOS,14:00,4,8,0,1,0,0,0,1,1,2,1,0,1,2,8,.500,.000,
Kobe Bryant\bryanko01,LAL,35:21,9,12,2,3,0,1,1,3,4,4,5,1,6,3,20,.750,.667,.000
Kevin Garnett\garneke01,MIN,28:52,6,14,0,1,0,0,3,4,7,6,2,1,1,0,12,.429,.000,
Tim Duncan\duncati01,SAS,26:02,6,11,0,0,2,4,2,11,13,5,1,0,2,2,14,.545,,.500
Steve Francis\francst01,HOU,23:06,6,9,1,2,0,0,1,3,4,4,0,0,1,1,13,.667,.500,
Yao Ming\mingya01,HOU,18:39,8,14,0,2,0,0,2,2,4,1,0,0,0,2,16,.571,.000,
Ray Allen\allenra02,SEA,23:44,6,13,1,4,3,4,2,1,3,4,1,0,3,2,16,.462,.250,.750
Shaquille O'Neal\onealsh01,LAL,23:31,12,19,0,0,0,1,5,6,11,1,2,2,4,3,24,.632,,.000
Sam Cassell\cassesa01,MIN,13:49,2,3,0,0,0,0,0,1,1,7,1,0,1,0,4,.667,,
Peja Stojakovic\stojape01,SAC,13:24,2,5,1,4,0,0,0,1,1,1,0,0,2,0,5,.400,.250,
Dirk Nowitzki\nowitdi01,DAL,13:24,1,3,0,1,0,0,0,0,0,1,2,0,2,0,2,.333,.000,
Andrei Kirilenko\kirilan01,UTA,10:30,1,3,0,1,0,0,0,1,1,1,0,1,0,0,2,.333,.000,
Brad Miller\millebr01,SAC,9:38,4,5,0,0,0,0,1,1,2,0,0,0,2,0,8,.800,,
