Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Hakeem Olajuwon\olajuha01,HOU,31:00,2,14,0,0,4,10,9,7,16,2,1,1,4,1,8,.143,,.400
Magic Johnson\johnsma02,LAL,25:00,9,15,4,6,0,0,1,5,6,4,0,1,3,1,22,.600,.667,
James Worthy\worthja01,LAL,19:00,1,11,0,0,0,0,3,1,4,0,1,0,1,1,2,.091,,
John Stockton\stockjo01,UTA,15:00,1,4,0,1,0,0,0,0,0,6,1,1,3,1,2,.250,.000,
A.C. Green\greenac01,LAL,12:00,0,3,0,0,0,0,0,3,3,1,0,1,1,1,0,.000,,
David Robinson\robinda01,SAS,25:00,7,12,0,0,1,2,2,8,10,1,2,1,1,1,15,.583,,.500
Fat Lever\leverfa01,DEN,22:00,7,13,0,2,2,2,0,3,3,2,2,0,0,0,16,.538,.000,1.000
Tom Chambers\chambto01,PHO,21:00,8,12,0,1,5,7,2,1,3,1,1,0,3,0,21,.667,.000,.714
Rolando Blackman\blackro01,DAL,21:00,7,9,0,0,1,1,1,1,2,2,2,0,2,1,15,.778,,1.000
Clyde Drexler\drexlcl01,POR,19:00,2,6,1,1,2,2,4,0,4,2,1,1,1,1,7,.333,1.000,1.000
Chris Mullin\mullich01,GSW,16:00,1,5,0,0,1,2,1,2,3,1,2,1,1,0,3,.200,,.500
Kevin Johnson\johnske02,PHO,14:00,1,1,0,0,0,0,0,0,0,4,0,0,3,2,2,1.000,,
Michael Jordan\jordami01,CHI,29:00,8,17,1,1,0,0,1,4,5,2,5,1,5,1,17,.471,1.000,
Isiah Thomas\thomais01,DET,27:00,7,12,1,1,0,0,1,3,4,9,3,0,1,0,15,.583,1.000,
Patrick Ewing\ewingpa01,NYK,27:00,5,9,0,0,2,2,1,9,10,1,1,5,5,5,12,.556,,1.000
Larry Bird\birdla01,BOS,23:00,3,8,0,1,2,2,2,6,8,3,3,0,3,1,8,.375,.000,1.000
Charles Barkley\barklch01,PHI,22:00,7,12,1,1,2,3,2,2,4,0,1,1,2,1,17,.583,1.000,.667
Robert Parish\parisro01,BOS,21:00,7,11,0,0,0,1,2,2,4,2,0,1,1,4,14,.636,,.000
Kevin McHale\mchalke01,BOS,20:00,6,11,1,1,0,0,2,6,8,1,0,0,0,4,13,.545,1.000,
Joe Dumars\dumarjo01,DET,18:00,3,4,2,2,1,2,0,1,1,5,0,0,3,0,9,.750,1.000,.500
Dominique Wilkins\wilkido01,ATL,16:00,5,10,1,1,2,2,0,0,0,4,1,0,0,1,13,.500,1.000,1.000
Reggie Miller\millere01,IND,14:00,2,3,0,1,0,0,0,1,1,3,1,0,0,1,4,.667,.000,
Scottie Pippen\pippesc01,CHI,12:00,2,4,0,1,0,0,0,1,1,0,1,1,1,1,4,.500,.000,
Dennis Rodman\rodmade01,DET,11:00,2,4,0,0,0,0,3,1,4,1,0,1,2,1,4,.500,,
