Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Shawn Kemp\kempsh01,SEA,22:00,6,12,0,2,1,2,2,2,4,1,0,1,3,4,13,.500,.000,.500
Jason Kidd\kiddja01,DAL,22:00,3,4,1,2,0,0,2,4,6,10,2,0,2,1,7,.750,.500,
Clyde Drexler\drexlcl01,HOU,19:00,5,8,1,4,0,0,0,2,2,3,3,0,3,0,11,.625,.250,
Charles Barkley\barklch01,PHO,16:00,4,6,0,0,0,0,0,0,0,1,0,0,2,1,8,.667,,
Hakeem Olajuwon\olajuha01,HOU,14:00,2,8,0,0,0,0,1,2,3,0,0,0,0,2,4,.250,,
Gary Payton\paytoga01,SEA,28:00,6,10,0,1,6,6,3,2,5,5,5,0,6,1,18,.600,.000,1.000
Mitch Richmond\richmmi01,SAC,25:00,3,10,0,3,1,2,0,2,2,2,1,0,2,0,7,.300,.000,.500
David Robinson\robinda01,SAS,23:00,8,13,0,0,2,2,6,5,11,2,2,2,1,4,18,.615,,1.000
Sean Elliott\elliose01,SAS,22:00,5,12,2,6,1,1,2,3,5,2,0,0,2,4,13,.417,.333,1.000
Karl Malone\malonka01,UTA,20:00,2,6,0,0,7,8,0,9,9,2,1,0,1,1,11,.333,,.875
John Stockton\stockjo01,UTA,18:00,2,9,0,7,0,0,0,1,1,3,0,0,1,2,4,.222,.000,
Dikembe Mutombo\mutomdi01,DEN,11:00,2,4,0,0,0,0,6,3,9,0,0,0,3,3,4,.500,,
Anfernee Hardaway\hardaan01,ORL,31:00,6,8,2,4,4,4,0,3,3,7,2,0,3,0,18,.750,.500,1.000
Shaquille O'Neal\onealsh01,ORL,28:00,10,16,0,0,5,11,3,7,10,1,1,2,1,3,25,.625,,.455
Grant Hill\hillgr01,DET,26:00,6,10,0,0,2,2,1,2,3,2,1,0,2,1,14,.600,,1.000
Scottie Pippen\pippesc01,CHI,25:00,4,7,0,1,0,0,2,6,8,5,3,0,6,0,8,.571,.000,
Michael Jordan\jordami01,CHI,22:00,8,11,0,0,4,4,1,3,4,1,1,0,0,1,20,.727,,1.000
Terrell Brandon\brandte01,CLE,20:00,4,10,1,4,2,2,1,0,1,3,1,1,3,1,11,.400,.250,1.000
Reggie Miller\millere01,IND,18:00,4,8,0,4,0,0,0,2,2,2,1,0,1,2,8,.500,.000,
Juwan Howard\howarju01,WSB,16:00,1,5,0,0,0,0,4,2,6,2,1,0,0,3,2,.200,,
Glen Rice\ricegl01,CHH,15:00,1,5,1,2,4,4,0,1,1,2,0,0,2,2,7,.200,.500,1.000
Vin Baker\bakervi01,MIL,14:00,2,5,0,0,2,2,1,1,2,2,1,0,0,4,6,.400,,1.000
Alonzo Mourning\mournal01,MIA,13:00,1,6,0,0,0,0,0,1,1,0,0,1,2,2,2,.167,,
Patrick Ewing\ewingpa01,NYK,12:00,3,7,0,0,2,2,1,2,3,1,3,1,0,2,8,.429,,1.000
