Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Steve Nash\nashst01,PHO,27:34,1,2,0,0,0,0,1,4,5,6,1,0,2,2,2,.500,,
Tracy McGrady\mcgratr01,HOU,26:40,15,26,4,10,2,7,0,0,0,2,1,0,1,1,36,.577,.400,.286
Kobe Bryant\bryanko01,LAL,26:15,4,11,0,5,0,0,0,7,7,8,3,0,3,5,8,.364,.000,
Tim Duncan\duncati01,SAS,20:55,6,7,0,0,3,3,6,4,10,1,1,1,5,2,15,.857,,1.000
Yao Ming\mingya01,HOU,19:14,2,5,0,0,1,2,0,2,2,1,1,0,0,2,5,.400,,.500
Tony Parker\parketo01,SAS,20:26,3,8,0,1,2,2,0,0,0,4,0,0,5,1,8,.375,.000,1.000
Ray Allen\allenra02,SEA,18:00,4,13,0,7,0,0,0,2,2,1,0,0,1,2,8,.308,.000,
Shawn Marion\mariosh01,PHO,17:15,5,9,0,0,4,7,4,4,8,0,1,1,0,1,14,.556,,.571
Elton Brand\brandel01,LAC,16:41,6,11,0,0,0,0,3,4,7,0,1,0,3,2,12,.545,,
Kevin Garnett\garneke01,MIN,16:24,1,9,0,0,0,0,2,7,9,4,1,0,2,1,2,.111,,
Dirk Nowitzki\nowitdi01,DAL,16:23,4,8,0,3,2,3,3,3,6,0,0,0,0,2,10,.500,.000,.667
Pau Gasol\gasolpa01,MEM,14:13,0,3,0,0,0,0,6,6,12,1,0,0,1,1,0,.000,,
Dwyane Wade\wadedw01,MIA,30:39,9,11,0,0,2,2,3,1,4,3,2,1,3,1,20,.818,,1.000
LeBron James\jamesle01,CLE,30:34,12,21,4,10,1,5,2,4,6,2,2,0,1,2,29,.571,.400,.200
Allen Iverson\iversal01,PHI,26:14,5,14,0,0,2,4,0,2,2,2,0,0,3,0,12,.357,,.500
Shaquille O'Neal\onealsh01,MIA,22:34,7,9,0,0,3,5,3,6,9,4,1,0,2,5,17,.778,,.600
Vince Carter\cartevi01,NJN,17:40,2,5,0,0,1,2,1,3,4,2,1,0,2,3,5,.400,,.500
Ben Wallace\wallabe01,DET,24:18,0,1,0,0,0,2,0,8,8,2,3,2,0,3,0,.000,,.000
Rasheed Wallace\wallara01,DET,17:19,1,6,0,4,0,0,0,2,2,0,1,0,0,1,2,.167,.000,
Chris Bosh\boshch01,TOR,16:35,3,7,0,0,2,3,2,6,8,2,0,0,1,1,8,.429,,.667
Chauncey Billups\billuch01,DET,15:48,6,10,2,5,1,1,0,4,4,7,0,0,2,1,15,.600,.400,1.000
Paul Pierce\piercpa01,BOS,15:00,3,6,0,0,1,2,0,2,2,1,1,0,0,0,7,.500,,.500
Richard Hamilton\hamilri01,DET,13:28,3,7,0,0,0,0,0,0,0,1,0,0,1,1,6,.429,,
Gilbert Arenas\arenagi01,WAS,9:51,0,4,0,2,1,2,0,0,0,1,1,0,1,1,1,.000,.000,.500
