,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Shaquille O'Neal\onealsh01,28,5,5,225,63,110,0,0,39,76,31,48,79,24,2,17,20,20,165,.573,,.513,45.0,33.0,15.8,4.8,0.4,3.4
2,Kobe Bryant\bryanko01,22,5,5,234,44,106,3,9,32,38,5,34,39,29,7,7,18,15,123,.415,.333,.842,46.8,24.6,7.8,5.8,1.4,1.4
3,Derek Fisher\fishede01,26,5,5,158,17,39,10,19,5,6,1,5,6,10,8,1,6,20,49,.436,.526,.833,31.6,9.8,1.2,2.0,1.6,0.2
4,Rick Fox\foxri01,31,5,5,164,15,34,7,15,12,13,3,20,23,19,6,2,14,14,49,.441,.467,.923,32.8,9.8,4.6,3.8,1.2,0.4
5,Robert Horry\horryro01,30,5,0,127,14,25,8,13,6,6,10,15,25,6,4,7,2,17,42,.560,.615,1.000,25.4,8.4,5.0,1.2,0.8,1.4
6,Horace Grant\grantho01,35,5,5,123,10,34,0,0,6,8,12,16,28,3,2,7,2,9,26,.294,,.750,24.6,5.2,5.6,0.6,0.4,1.4
7,Tyronn Lue\luety01,23,5,0,73,7,12,4,6,0,0,1,3,4,7,7,1,5,7,18,.583,.667,,14.6,3.6,0.8,1.4,1.4,0.2
8,Brian Shaw\shawbr01,34,5,0,93,6,20,3,10,3,5,3,13,16,14,4,0,7,12,18,.300,.300,.600,18.6,3.6,3.2,2.8,0.8,0.0
9,Ron Harper\harpero01,37,3,0,25,5,8,1,3,2,3,0,5,5,3,1,1,0,2,13,.625,.333,.667,8.3,4.3,1.7,1.0,0.3,0.3
10,Mark Madsen\madsema01,25,2,0,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,.000,,,1.5,0.0,0.5,0.0,0.0,0.5
1,Allen Iverson\iversal01,25,5,5,237,66,162,11,39,35,48,5,23,28,19,9,1,12,12,178,.407,.282,.729,47.4,35.6,5.6,3.8,1.8,0.2
2,Dikembe Mutombo\mutomdi01,34,5,5,208,33,55,0,0,18,26,20,41,61,2,2,11,5,23,84,.600,,.692,41.6,16.8,12.2,0.4,0.4,2.2
3,Eric Snow\snower01,27,5,1,164,22,54,0,3,19,26,11,11,22,30,8,1,14,14,63,.407,.000,.731,32.8,12.6,4.4,6.0,1.6,0.2
4,Aaron McKie\mckieaa01,28,5,5,207,15,48,4,9,6,9,7,20,27,30,6,3,14,10,40,.313,.444,.667,41.4,8.0,5.4,6.0,1.2,0.6
5,Tyrone Hill\hillty01,32,5,5,141,13,33,0,0,7,9,7,26,33,2,0,6,5,21,33,.394,,.778,28.2,6.6,6.6,0.4,0.0,1.2
6,Matt Geiger\geigema01,31,5,0,54,12,18,0,0,2,2,2,3,5,2,1,0,3,20,26,.667,,1.000,10.8,5.2,1.0,0.4,0.2,0.0
7,Raja Bell\bellra01,24,5,0,79,4,13,0,3,5,10,2,7,9,4,10,0,4,10,13,.308,.000,.500,15.8,2.6,1.8,0.8,2.0,0.0
8,Todd MacCulloch\maccuto01,25,5,0,31,5,12,0,0,3,4,5,2,7,0,0,0,2,4,13,.417,,.750,6.2,2.6,1.4,0.0,0.0,0.0
9,Jumaine Jones\jonesju01,21,5,4,62,4,10,2,4,0,0,2,8,10,1,1,2,2,5,10,.400,.500,,12.4,2.0,2.0,0.2,0.2,0.4
10,Kevin Ollie\ollieke01,28,5,0,15,1,3,0,0,3,3,1,0,1,1,0,0,0,1,5,.333,,1.000,3.0,1.0,0.2,0.2,0.0,0.0
11,Rodney Buford\buforro01,23,3,0,13,1,6,0,1,0,0,2,4,6,0,0,0,1,2,2,.167,.000,,4.3,0.7,2.0,0.0,0.0,0.0
12,George Lynch\lynchge01,30,2,0,14,1,3,0,0,0,0,2,3,5,1,2,0,0,3,2,.333,,,7.0,1.0,2.5,0.5,1.0,0.0
