,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James\jamesle01,33,7,7,288,86,164,18,44,45,65,6,57,63,59,8,8,40,18,235,.524,.409,.692,41.1,33.6,9.0,8.4,1.1,1.1
2,Kevin Love\loveke01,29,6,6,160,27,72,7,26,14,14,10,49,59,14,3,1,14,18,75,.375,.269,1.000,26.7,12.5,9.8,2.3,0.5,0.2
3,George Hill\hillge01,31,7,7,232,23,51,5,21,16,21,4,11,15,13,6,4,5,16,67,.451,.238,.762,33.1,9.6,2.1,1.9,0.9,0.6
4,Jeff Green\greenje02,31,7,1,185,20,45,5,21,16,19,2,22,24,6,1,6,11,15,61,.444,.238,.842,26.5,8.7,3.4,0.9,0.1,0.9
5,Kyle Korver\korveky01,36,7,1,153,20,44,14,33,6,6,1,15,16,3,2,6,4,18,60,.455,.424,1.000,21.8,8.6,2.3,0.4,0.3,0.9
6,Tristan Thompson\thomptr01,26,7,6,195,22,36,0,1,8,11,16,40,56,6,1,4,5,10,52,.611,.000,.727,27.9,7.4,8.0,0.9,0.1,0.6
7,J.R. Smith\smithjr01,32,7,7,222,14,54,10,34,5,7,0,19,19,6,2,2,5,19,43,.259,.294,.714,31.6,6.1,2.7,0.9,0.3,0.3
8,Jordan Clarkson\clarkjo01,25,6,0,77,13,43,6,18,1,1,5,6,11,0,1,1,1,7,33,.302,.333,1.000,12.8,5.5,1.8,0.0,0.2,0.2
9,Larry Nance\nancela02,25,7,0,93,12,14,0,1,5,9,10,17,27,7,8,6,5,12,29,.857,.000,.556,13.3,4.1,3.9,1.0,1.1,0.9
10,Rodney Hood\hoodro01,25,3,0,33,8,17,1,4,1,1,0,2,2,4,0,0,1,4,18,.471,.250,1.000,11.1,6.0,0.7,1.3,0.0,0.0
11,Ante Zizic\zizican01,21,3,0,10,1,3,0,0,3,6,0,4,4,1,0,1,1,0,5,.333,,.500,3.3,1.7,1.3,0.3,0.0,0.3
12,Cedi Osman\osmande01,22,6,0,20,1,4,0,1,1,2,0,3,3,1,2,0,0,0,3,.250,.000,.500,3.4,0.5,0.5,0.2,0.3,0.0
13,Jose Calderon\caldejo01,36,4,0,13,1,3,0,2,0,0,0,2,2,2,0,0,0,1,2,.333,.000,,3.2,0.5,0.5,0.5,0.0,0.0
1,Jaylen Brown\brownja02,21,7,7,231,51,116,17,47,19,25,7,27,34,11,5,3,9,23,138,.440,.362,.760,33.0,19.7,4.9,1.6,0.7,0.4
2,Jayson Tatum\tatumja01,19,7,7,260,45,91,9,26,26,30,2,27,29,14,9,3,15,23,125,.495,.346,.867,37.1,17.9,4.1,2.0,1.3,0.4
3,Al Horford\horfoal01,31,7,7,249,33,69,6,18,23,27,10,43,53,23,5,6,5,11,95,.478,.333,.852,35.6,13.6,7.6,3.3,0.7,0.9
4,Terry Rozier\roziete01,23,7,7,247,37,98,13,51,8,10,0,34,34,40,10,0,6,18,95,.378,.255,.800,35.4,13.6,4.9,5.7,1.4,0.0
5,Marcus Morris\morrima03,28,7,4,219,31,79,13,28,14,20,11,32,43,7,3,0,8,24,89,.392,.464,.700,31.2,12.7,6.1,1.0,0.4,0.0
6,Marcus Smart\smartma01,23,7,0,200,21,64,7,31,13,18,7,17,24,45,12,2,13,15,62,.328,.226,.722,28.5,8.9,3.4,6.4,1.7,0.3
7,Aron Baynes\baynear01,31,7,3,149,14,30,2,4,7,10,16,27,43,6,2,7,2,14,37,.467,.500,.700,21.3,5.3,6.1,0.9,0.3,1.0
8,Greg Monroe\monrogr01,27,4,0,33,7,9,0,0,4,6,2,8,10,1,1,0,4,5,18,.778,,.667,8.1,4.5,2.5,0.3,0.3,0.0
9,Semi Ojeleye\ojelese01,23,5,0,56,3,11,1,7,4,5,0,7,7,1,1,0,0,6,11,.273,.143,.800,11.1,2.2,1.4,0.2,0.2,0.0
10,Abdel Nader\naderab01,24,5,0,16,3,9,0,2,0,0,0,1,1,0,0,0,2,1,6,.333,.000,,3.2,1.2,0.2,0.0,0.0,0.0
11,Guerschon Yabusele\yabusgu01,22,5,0,21,0,3,0,3,1,2,0,5,5,1,0,0,0,3,1,.000,.000,.500,4.1,0.2,1.0,0.2,0.0,0.0
1,Kevin Durant\duranke01,29,7,7,274,70,152,19,48,54,61,6,34,40,19,2,6,13,14,213,.461,.396,.885,39.1,30.4,5.7,2.7,0.3,0.9
2,Stephen Curry\curryst01,29,7,7,268,68,145,27,75,12,14,4,42,46,40,12,6,17,21,175,.469,.360,.857,38.3,25.0,6.6,5.7,1.7,0.9
3,Klay Thompson\thompkl01,27,7,7,266,51,106,27,55,7,10,5,19,24,11,11,2,12,15,136,.481,.491,.700,38.0,19.4,3.4,1.6,1.6,0.3
4,Draymond Green\greendr01,27,7,7,279,21,52,2,17,14,17,11,72,83,47,14,12,27,24,58,.404,.118,.824,39.9,8.3,11.9,6.7,2.0,1.7
5,Shaun Livingston\livinsh01,32,7,0,121,17,33,0,0,3,5,5,11,16,5,3,0,6,12,37,.515,,.600,17.2,5.3,2.3,0.7,0.4,0.0
6,Nick Young\youngni01,32,7,0,97,9,21,8,20,4,5,1,5,6,3,0,0,1,10,30,.429,.400,.800,13.8,4.3,0.9,0.4,0.0,0.0
7,Andre Iguodala\iguodan01,34,3,3,82,8,13,0,2,10,12,3,10,13,5,5,1,5,6,26,.615,.000,.833,27.2,8.7,4.3,1.7,1.7,0.3
8,Kevon Looney\looneke01,21,7,4,135,13,27,0,0,0,2,20,15,35,5,5,4,2,16,26,.481,,.000,19.3,3.7,5.0,0.7,0.7,0.6
9,Quinn Cook\cookqu01,24,6,0,27,7,12,3,7,3,3,0,2,2,2,2,0,1,4,20,.583,.429,1.000,4.5,3.3,0.3,0.3,0.3,0.0
10,Jordan Bell\belljo01,23,6,0,85,5,11,0,0,2,4,9,17,26,5,3,5,6,11,12,.455,,.500,14.2,2.0,4.3,0.8,0.5,0.8
11,David West\westda01,37,4,0,27,4,7,0,0,0,0,2,2,4,5,0,0,1,5,8,.571,,,6.7,2.0,1.0,1.3,0.0,0.0
12,Zaza Pachulia\pachuza01,33,3,0,12,2,2,0,0,1,2,1,2,3,1,1,0,1,0,5,1.000,,.500,3.9,1.7,1.0,0.3,0.3,0.0
13,JaVale McGee\mcgeeja01,30,1,0,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1.000,,,3.1,4.0,1.0,0.0,0.0,0.0
14,Patrick McCaw\mccawpa01,22,2,0,5,1,2,0,1,0,0,0,2,2,0,1,0,0,1,2,.500,.000,,2.7,1.0,1.0,0.0,0.5,0.0
1,James Harden\hardeja01,28,7,7,267,68,164,19,78,46,52,6,33,39,42,15,4,34,20,201,.415,.244,.885,38.2,28.7,5.6,6.0,2.1,0.6
2,Eric Gordon\gordoer01,29,7,2,243,44,104,21,60,24,29,2,18,20,14,4,4,14,12,133,.423,.350,.828,34.6,19.0,2.9,2.0,0.6,0.6
3,Chris Paul\paulch01,32,5,5,184,35,86,14,38,15,20,5,29,34,23,9,2,9,21,99,.407,.368,.750,36.7,19.8,6.8,4.6,1.8,0.4
4,Clint Capela\capelca01,23,7,7,199,31,43,0,0,10,25,20,55,75,6,4,8,9,15,72,.721,,.400,28.5,10.3,10.7,0.9,0.6,1.1
5,Trevor Ariza\arizatr01,32,7,7,259,21,63,7,35,13,15,7,18,25,12,10,1,8,25,62,.333,.200,.867,36.9,8.9,3.6,1.7,1.4,0.1
6,P.J. Tucker\tuckepj01,32,7,7,272,20,42,13,27,8,13,17,46,63,13,9,2,10,22,61,.476,.481,.615,38.9,8.7,9.0,1.9,1.3,0.3
7,Gerald Green\greenge01,32,7,0,126,15,39,12,28,2,3,1,13,14,0,0,5,7,10,44,.385,.429,.667,18.1,6.3,2.0,0.0,0.0,0.7
8,Joe Johnson\johnsjo02,36,4,0,25,3,10,0,3,0,0,0,6,6,1,0,0,2,1,6,.300,.000,,6.2,1.5,1.5,0.3,0.0,0.0
9,Luc Mbah a Moute\mbahalu01,31,4,0,54,2,15,1,5,0,2,3,4,7,0,2,0,2,1,5,.133,.200,.000,13.6,1.3,1.8,0.0,0.5,0.0
10,Aaron Jackson\jacksaa01,31,2,0,8,2,3,0,1,0,0,2,1,3,1,0,0,1,1,4,.667,.000,,4.1,2.0,1.5,0.5,0.0,0.0
11,Tarik Black\blackta01,26,2,0,9,1,2,0,0,0,0,2,1,3,1,0,0,1,3,2,.500,,,4.5,1.0,1.5,0.5,0.0,0.0
12,Ryan Anderson\anderry01,29,5,0,29,0,4,0,2,0,0,2,1,3,1,1,0,1,5,0,.000,.000,,5.7,0.0,0.6,0.2,0.2,0.0
13,Nene Hilario\hilarne01,35,1,0,6,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,.000,,,5.8,0.0,1.0,0.0,0.0,0.0
