Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
LeBron James\jamesle01,CLE,32:16,11,20,4,8,2,2,0,6,6,6,1,0,4,0,28,.550,.500,1.000
Dwyane Wade\wadedw01,MIA,24:22,5,12,0,0,0,0,0,0,0,3,6,0,5,2,10,.417,,
Chris Bosh\boshch01,TOR,22:29,5,7,0,0,1,2,3,4,7,1,0,0,0,0,11,.714,,.500
Gilbert Arenas\arenagi01,WAS,19:48,3,8,2,7,0,0,0,1,1,4,2,0,1,0,8,.375,.286,
Shaquille O'Neal\onealsh01,MIA,17:15,5,13,0,0,0,0,4,2,6,1,0,1,1,1,10,.385,,
Jermaine O'Neal\onealje01,IND,22:36,4,8,0,0,0,0,3,4,7,1,0,2,1,1,8,.500,,
Dwight Howard\howardw01,ORL,20:39,10,14,0,0,0,5,7,5,12,1,0,1,3,0,20,.714,,.000
Joe Johnson\johnsjo02,ATL,17:33,5,9,2,5,0,0,0,1,1,2,1,0,1,1,12,.556,.400,
Chauncey Billups\billuch01,DET,16:12,3,8,0,3,2,2,1,3,4,6,0,0,0,0,8,.375,.000,1.000
Vince Carter\cartevi01,NJN,16:12,3,7,0,1,1,2,0,1,1,2,0,0,1,1,7,.429,.000,.500
Caron Butler\butleca01,WAS,15:38,1,7,0,0,0,0,3,1,4,1,0,0,1,0,2,.143,,
Richard Hamilton\hamilri01,DET,15:00,4,8,0,1,0,0,2,4,6,1,0,0,2,1,8,.500,.000,
Kobe Bryant\bryanko01,LAL,28:09,13,24,3,9,2,2,1,4,5,6,6,0,4,1,31,.542,.333,1.000
Tracy McGrady\mcgratr01,HOU,18:26,3,8,2,5,0,0,1,2,3,11,2,0,3,0,8,.375,.400,
Dirk Nowitzki\nowitdi01,DAL,16:05,4,9,1,2,0,0,2,3,5,2,0,0,0,0,9,.444,.500,
Tim Duncan\duncati01,SAS,14:38,2,3,0,0,0,0,0,5,5,4,1,1,0,1,4,.667,,
Kevin Garnett\garneke01,MIN,14:11,3,8,0,0,1,2,4,2,6,4,2,1,1,0,7,.375,,.500
Carmelo Anthony\anthoca01,DEN,25:10,10,15,0,0,0,0,3,6,9,1,1,0,0,2,20,.667,,
Tony Parker\parketo01,SAS,23:44,4,7,0,0,0,0,0,2,2,10,1,0,4,0,8,.571,,
Shawn Marion\mariosh01,PHO,21:54,9,15,0,1,0,0,5,3,8,4,2,0,2,0,18,.600,.000,
Ray Allen\allenra02,SEA,21:22,4,10,4,7,0,0,0,1,1,3,1,0,1,0,12,.400,.571,
Amar'e Stoudemire\stoudam01,PHO,21:21,14,22,0,1,1,1,6,3,9,3,1,2,1,5,29,.636,.000,1.000
Josh Howard\howarjo01,DAL,20:17,1,3,0,1,1,2,1,3,4,3,0,0,1,1,3,.333,.000,.500
Mehmet Okur\okurme01,UTA,14:43,2,2,0,0,0,2,0,2,2,1,0,0,0,0,4,1.000,,.000
