Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Tim Duncan\duncati01,SAS,22:23,2,7,0,1,0,0,4,5,9,1,1,1,4,1,4,.286,.000,
Carmelo Anthony\anthoca01,DEN,21:38,8,17,0,0,2,3,5,2,7,1,0,0,2,0,18,.471,,.667
Allen Iverson\iversal01,DEN,20:44,3,7,0,0,1,2,1,1,2,6,4,1,6,0,7,.429,,.500
Yao Ming\mingya01,HOU,13:17,2,5,0,2,2,2,1,4,5,1,0,0,1,0,6,.400,.000,1.000
Kobe Bryant\bryanko01,LAL,2:52,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,
Brandon Roy\roybr01,POR,28:34,8,10,2,3,0,0,1,8,9,5,1,1,0,2,18,.800,.667,
Chris Paul\paulch01,NOH,27:16,7,14,2,6,0,0,2,1,3,14,4,0,2,5,16,.500,.333,
Dirk Nowitzki\nowitdi01,DAL,25:41,5,14,1,4,2,2,1,3,4,2,0,0,2,0,13,.357,.250,1.000
Amar'e Stoudemire\stoudam01,PHO,23:07,8,11,1,2,1,3,0,5,5,0,1,1,1,2,18,.727,.500,.333
Steve Nash\nashst01,PHO,19:42,4,8,0,1,0,0,0,0,0,6,0,1,1,3,8,.500,.000,
Carlos Boozer\boozeca01,UTA,18:30,7,15,0,0,0,2,4,6,10,0,0,0,1,0,14,.467,,.000
David West\westda01,NOH,16:16,3,6,0,0,0,0,2,2,4,1,0,0,1,1,6,.500,,
Dwight Howard\howardw01,ORL,30:33,7,7,0,0,2,3,5,4,9,3,3,1,1,4,16,1.000,,.667
LeBron James\jamesle01,CLE,30:15,12,22,2,7,1,1,1,7,8,9,2,2,4,3,27,.545,.286,1.000
Jason Kidd\kiddja01,NJN,25:05,1,2,0,1,0,0,0,4,4,10,4,0,1,0,2,.500,.000,
Dwyane Wade\wadedw01,MIA,21:48,7,12,0,1,0,2,1,3,4,3,0,1,2,1,14,.583,.000,.000
Chris Bosh\boshch01,TOR,21:32,7,15,0,0,0,2,2,5,7,1,0,0,1,1,14,.467,,.000
Ray Allen\allenra02,BOS,18:54,10,14,5,9,3,5,0,2,2,1,2,0,0,0,28,.714,.556,.600
Chauncey Billups\billuch01,DET,18:07,3,10,0,6,0,1,1,0,1,4,0,0,1,1,6,.300,.000,.000
Richard Hamilton\hamilri01,DET,18:00,4,9,1,1,0,0,0,0,0,2,0,0,0,0,9,.444,1.000,
Rasheed Wallace\wallara01,DET,17:37,1,5,1,5,0,0,2,3,5,0,1,2,1,2,3,.200,.200,
Joe Johnson\johnsjo02,ATL,13:20,1,2,1,1,0,0,0,0,0,2,1,0,1,1,3,.500,1.000,
Paul Pierce\piercpa01,BOS,12:37,5,9,0,3,0,0,0,4,4,2,0,0,2,0,10,.556,.000,
Antawn Jamison\jamisan01,WAS,12:12,1,3,0,2,0,0,0,1,1,0,0,1,2,0,2,.333,.000,
