Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Dwight Howard\howardw01,ORL,27:30,5,11,0,2,3,5,3,6,9,0,1,3,1,3,13,.455,.000,.600
LeBron James\jamesle01,CLE,26:50,8,19,2,5,2,2,0,5,5,3,0,0,3,0,20,.421,.400,1.000
Dwyane Wade\wadedw01,MIA,26:39,6,13,2,6,4,7,2,0,2,5,3,0,0,2,18,.462,.333,.571
Kevin Garnett\garneke01,BOS,18:52,5,5,0,0,2,2,2,2,4,2,0,0,2,0,12,1.000,,1.000
Allen Iverson\iversal01,DET,15:39,1,4,0,0,0,0,0,1,1,3,1,0,1,1,2,.250,,
Joe Johnson\johnsjo02,ATL,21:38,0,4,0,3,0,0,0,0,0,0,0,0,5,0,0,.000,.000,
Rashard Lewis\lewisra02,ORL,20:30,3,6,1,4,1,2,1,5,6,0,0,0,1,3,8,.500,.250,.500
Paul Pierce\piercpa01,BOS,19:39,6,11,1,5,5,6,1,3,4,2,2,0,1,3,18,.545,.200,.833
Ray Allen\allenra02,BOS,18:12,4,10,0,3,0,0,1,2,3,1,0,0,1,0,8,.400,.000,
Devin Harris\harride01,NJN,17:06,3,6,0,1,0,0,1,0,1,0,0,0,0,0,6,.500,.000,
Mo Williams\willima01,CLE,16:42,5,10,2,5,0,0,1,1,2,5,0,0,2,0,12,.500,.400,
Danny Granger\grangda01,IND,10:43,1,1,0,0,0,0,1,0,1,0,2,0,1,0,2,1.000,,
Kobe Bryant\bryanko01,LAL,29:14,12,23,3,8,0,0,1,3,4,4,4,0,1,0,27,.522,.375,
Chris Paul\paulch01,NOH,29:14,7,14,0,1,0,0,1,6,7,14,3,0,1,4,14,.500,.000,
Amar'e Stoudemire\stoudam01,PHO,24:36,7,10,0,0,5,6,3,3,6,0,0,0,2,1,19,.700,,.833
Tim Duncan\duncati01,SAS,18:01,3,5,0,0,0,0,0,3,3,2,1,1,2,1,6,.600,,
Yao Ming\mingya01,HOU,12:23,1,4,0,0,0,0,0,3,3,0,0,1,1,2,2,.250,,
Brandon Roy\roybr01,POR,31:10,7,8,0,0,0,0,0,5,5,5,0,0,0,2,14,.875,,
Tony Parker\parketo01,SAS,20:08,7,11,0,2,0,0,0,4,4,4,2,0,2,0,14,.636,.000,
Chauncey Billups\billuch01,DEN,19:09,2,5,1,3,0,0,0,2,2,3,1,0,3,2,5,.400,.333,
Pau Gasol\gasolpa01,LAL,16:55,5,7,0,0,4,4,2,6,8,1,1,1,0,2,14,.714,,1.000
David West\westda01,NOH,14:09,3,5,0,0,0,0,1,2,3,0,1,0,0,2,6,.600,,
Dirk Nowitzki\nowitdi01,DAL,14:05,3,5,0,0,2,2,0,1,1,1,0,0,0,0,8,.600,,1.000
Shaquille O'Neal\onealsh01,PHO,10:56,8,9,0,0,1,4,4,1,5,3,0,1,2,1,17,.889,,.250
