Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Michael Jordan\jordami01,CHI,33:00,13,23,0,1,2,4,1,1,2,3,5,0,4,1,28,.565,.000,.500
Isiah Thomas\thomais01,DET,33:00,7,13,1,3,4,6,1,1,2,14,4,0,6,2,19,.538,.333,.667
Charles Barkley\barklch01,PHI,20:00,6,11,0,0,5,8,3,2,5,0,2,1,1,0,17,.545,,.625
Moses Malone\malonmo01,ATL,19:00,3,9,0,0,3,3,4,4,8,0,1,1,1,1,9,.333,,1.000
Dominique Wilkins\wilkido01,ATL,15:00,3,8,0,0,3,3,1,1,2,0,3,0,2,0,9,.375,,1.000
Mark Price\pricema01,CLE,20:00,3,9,1,4,2,2,1,2,3,1,2,0,2,2,9,.333,.250,1.000
Terry Cummings\cummite01,MIL,19:00,4,9,0,0,2,2,2,3,5,1,3,1,0,4,10,.444,,1.000
Larry Nance\nancela01,CLE,17:00,5,9,0,0,0,0,3,3,6,1,1,1,0,1,10,.556,,
Patrick Ewing\ewingpa01,NYK,17:00,2,8,0,0,0,4,1,5,6,2,1,2,3,2,4,.250,,.000
Kevin McHale\mchalke01,BOS,16:00,5,7,0,0,0,0,1,2,3,0,0,2,1,3,10,.714,,
Mark Jackson\jacksma01,NYK,16:00,3,5,1,1,2,4,1,1,2,4,1,1,2,1,9,.600,1.000,.500
Brad Daugherty\daughbr01,CLE,15:00,0,3,0,0,0,0,2,1,3,0,1,0,1,0,0,.000,,
John Stockton\stockjo01,UTA,32:00,5,6,1,1,0,0,0,2,2,17,5,0,12,4,11,.833,1.000,
Alex English\englial01,DEN,29:00,8,13,0,0,0,0,1,2,3,4,2,0,3,0,16,.615,,
Karl Malone\malonka01,UTA,26:00,12,17,0,0,4,6,4,5,9,3,2,0,2,3,28,.706,,.667
Dale Ellis\ellisda01,SEA,26:00,12,16,1,1,2,2,3,3,6,2,0,0,2,2,27,.750,1.000,1.000
Hakeem Olajuwon\olajuha01,HOU,25:00,5,12,0,0,2,3,4,3,7,3,3,2,3,2,12,.417,,.667
Clyde Drexler\drexlcl01,POR,25:00,7,19,0,0,0,0,6,6,12,4,2,0,6,3,14,.368,,
James Worthy\worthja01,LAL,18:00,4,7,0,1,0,0,0,2,2,2,2,0,0,0,8,.571,.000,
Tom Chambers\chambto01,PHO,16:00,4,8,0,0,6,6,2,3,5,1,0,0,2,3,14,.500,,1.000
Chris Mullin\mullich01,GSW,14:00,1,4,0,0,2,2,2,0,2,2,0,0,1,0,4,.250,,1.000
Kareem Abdul-Jabbar\abdulka01,LAL,13:00,1,6,0,1,2,2,0,3,3,0,0,2,0,3,4,.167,.000,1.000
Mark Eaton\eatonma01,UTA,9:00,0,0,0,0,0,0,0,5,5,0,0,2,0,1,0,,,
Kevin Duckworth\duckwke01,POR,7:00,2,5,0,0,1,2,1,0,1,0,0,0,0,2,5,.400,,.500
