Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Michael Jordan\jordami01,CHI,36:00,10,24,1,2,9,13,3,1,4,5,4,0,6,5,30,.417,.500,.692
Isiah Thomas\thomais01,DET,32:00,4,7,0,1,0,2,0,2,2,4,2,0,2,2,8,.571,.000,.000
Scottie Pippen\pippesc01,CHI,29:00,4,14,0,2,2,3,2,3,5,4,5,2,0,4,10,.286,.000,.667
Shaquille O'Neal\onealsh01,ORL,25:00,4,9,0,0,6,9,3,4,7,0,0,0,0,3,14,.444,,.667
Larry Johnson\johnsla02,CHH,16:00,2,6,0,0,0,0,3,1,4,0,0,0,0,1,4,.333,,
Patrick Ewing\ewingpa01,NYK,25:00,7,11,0,0,1,1,3,7,10,1,2,2,4,4,15,.636,,1.000
Mark Price\pricema01,CLE,23:00,6,11,6,9,1,2,0,1,1,4,1,0,3,5,19,.545,.667,.500
Brad Daugherty\daughbr01,CLE,19:00,3,4,0,0,2,4,1,6,7,0,0,0,0,0,8,.750,,.500
Dominique Wilkins\wilkido01,ATL,18:00,2,11,1,3,4,4,4,3,7,0,1,0,1,2,9,.182,.333,1.000
Joe Dumars\dumarjo01,DET,17:00,2,8,1,4,0,0,0,2,2,4,0,0,1,1,5,.250,.250,
Detlef Schrempf\schrede01,IND,13:00,1,3,0,1,1,2,0,3,3,0,0,0,1,4,3,.333,.000,.500
Larry Nance\nancela01,CLE,12:00,3,4,0,0,1,2,1,2,3,1,1,1,0,3,7,.750,,.500
Karl Malone\malonka01,UTA,34:00,11,17,0,0,6,9,3,7,10,0,1,2,3,3,28,.647,,.667
Charles Barkley\barklch01,PHO,34:00,5,11,1,2,5,7,0,4,4,7,4,0,4,3,16,.455,.500,.714
John Stockton\stockjo01,UTA,31:00,3,6,1,2,2,2,0,6,6,15,2,0,5,3,9,.500,.500,1.000
David Robinson\robinda01,SAS,26:00,7,10,0,0,7,12,2,8,10,1,0,1,1,4,21,.700,,.583
Clyde Drexler\drexlcl01,POR,11:00,1,3,0,1,0,0,1,0,1,1,0,0,2,3,2,.333,.000,
Dan Majerle\majerda01,PHO,26:00,6,11,3,6,3,4,2,5,7,3,1,2,0,2,18,.545,.500,.750
Tim Hardaway\hardati01,GSW,21:00,3,9,1,3,9,12,1,5,6,4,1,0,3,1,16,.333,.333,.750
Hakeem Olajuwon\olajuha01,HOU,21:00,1,5,0,0,1,2,2,5,7,1,2,2,3,3,3,.200,,.500
Terry Porter\portete01,POR,19:00,3,8,1,5,0,0,0,0,0,3,1,0,1,1,7,.375,.200,
Danny Manning\mannida01,LAC,18:00,5,5,0,0,0,0,1,3,4,1,0,0,0,1,10,1.000,,
Sean Elliott\elliose01,SAS,15:00,1,6,0,0,3,4,1,1,2,0,0,0,1,1,5,.167,,.750
Shawn Kemp\kempsh01,SEA,9:00,0,2,0,0,0,0,2,0,2,0,0,0,0,3,0,.000,,
