Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Gary Payton\paytoga01,SEA,28:00,7,15,1,5,2,2,0,1,1,10,2,0,4,2,17,.467,.200,1.000
John Stockton\stockjo01,UTA,20:00,5,6,2,2,0,0,0,0,0,5,1,0,1,2,12,.833,1.000,
Hakeem Olajuwon\olajuha01,HOU,20:00,5,8,0,0,1,2,0,3,3,1,0,1,1,1,11,.625,,.500
Karl Malone\malonka01,UTA,20:00,2,8,0,0,0,0,1,3,4,0,1,1,0,0,4,.250,,
Shawn Kemp\kempsh01,SEA,19:00,4,7,1,2,1,2,1,3,4,1,1,0,1,1,10,.571,.500,.500
Latrell Sprewell\sprewla01,GSW,25:00,7,12,1,3,4,6,1,2,3,1,2,0,1,2,19,.583,.333,.667
Mitch Richmond\richmmi01,SAC,22:00,3,7,3,4,0,0,1,2,3,4,0,0,1,1,9,.429,.750,
Detlef Schrempf\schrede01,SEA,20:00,5,8,1,3,0,1,1,3,4,2,0,1,1,3,11,.625,.333,.000
Tom Gugliotta\guglito01,MIN,19:00,3,7,0,1,3,4,1,7,8,3,2,0,3,3,9,.429,.000,.750
Kevin Garnett\garneke01,MIN,18:00,1,7,0,0,4,4,1,8,9,1,0,1,0,2,6,.143,,1.000
Eddie Jones\jonesed02,LAL,17:00,3,4,0,1,4,7,1,0,1,1,1,2,3,1,10,.750,.000,.571
Chris Gatling\gatlich01,DAL,12:00,1,8,0,0,0,0,0,2,2,0,1,0,0,1,2,.125,,
Michael Jordan\jordami01,CHI,26:00,5,14,0,0,4,7,3,8,11,11,2,0,3,4,14,.357,,.571
Scottie Pippen\pippesc01,CHI,25:00,4,9,0,3,0,0,0,3,3,2,0,0,2,0,8,.444,.000,
Anfernee Hardaway\hardaan01,ORL,24:00,7,10,3,5,2,2,4,3,7,3,2,0,1,2,19,.700,.600,1.000
Grant Hill\hillgr01,DET,22:00,4,7,0,0,3,4,2,1,3,2,1,1,3,2,11,.571,,.750
Dikembe Mutombo\mutomdi01,ATL,15:00,1,5,0,0,1,2,2,6,8,0,0,1,1,0,3,.200,,.500
Glen Rice\ricegl01,CHH,25:00,10,24,4,7,2,2,1,0,1,1,2,0,1,2,26,.417,.571,1.000
Vin Baker\bakervi01,MIL,24:00,8,12,0,0,3,4,7,5,12,1,0,0,0,2,19,.667,,.750
Christian Laettner\laettch01,ATL,24:00,3,5,0,0,1,1,4,7,11,2,1,1,2,4,7,.600,,1.000
Terrell Brandon\brandte01,CLE,17:00,4,11,2,4,0,0,1,2,3,8,2,0,0,2,10,.364,.500,
Tim Hardaway\hardati01,MIA,14:00,4,10,2,6,0,0,0,3,3,2,1,0,2,1,10,.400,.333,
Chris Webber\webbech01,WSB,14:00,1,4,0,0,0,0,1,3,4,3,1,0,3,3,2,.250,,
Joe Dumars\dumarjo01,DET,10:00,1,4,1,4,0,0,0,1,1,1,0,0,0,0,3,.250,.250,
