Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kobe Bryant\bryanko01,LAL,29:21,7,14,2,5,0,0,3,3,6,7,3,1,4,5,16,.500,.400,
Tracy McGrady\mcgratr01,HOU,23:53,4,13,0,4,0,0,1,4,5,5,3,2,3,1,8,.308,.000,
Yao Ming\mingya01,HOU,21:17,5,9,0,0,1,2,3,5,8,5,0,1,1,1,11,.556,,.500
Tim Duncan\duncati01,SAS,16:28,7,10,1,1,0,1,2,7,9,2,0,0,2,0,15,.700,1.000,.000
Kevin Garnett\garneke01,MIN,16:21,5,8,0,0,0,1,0,3,3,2,0,0,2,2,10,.625,,.000
Ray Allen\allenra02,SEA,22:22,6,16,5,11,0,0,0,4,4,1,0,0,1,2,17,.375,.455,
Manu Ginobili\ginobma01,SAS,21:33,3,6,0,2,2,2,2,1,3,1,1,1,3,3,8,.500,.000,1.000
Dirk Nowitzki\nowitdi01,DAL,21:03,4,10,1,3,1,2,3,5,8,2,4,4,3,1,10,.400,.333,.500
Amar'e Stoudemire\stoudam01,PHO,19:52,3,11,0,0,0,2,4,5,9,2,1,0,1,2,6,.273,,.000
Steve Nash\nashst01,PHO,17:48,1,2,0,1,0,0,0,0,0,6,0,0,3,0,2,.500,.000,
Shawn Marion\mariosh01,PHO,15:54,5,7,0,0,0,1,3,0,3,4,0,0,1,0,10,.714,,.000
Rashard Lewis\lewisra02,SEA,14:08,1,7,0,2,0,0,1,3,4,1,1,0,1,2,2,.143,.000,
Allen Iverson\iversal01,PHI,31:50,4,14,0,0,7,7,0,4,4,10,5,0,7,0,15,.286,,1.000
LeBron James\jamesle01,CLE,31:25,6,13,1,4,0,1,1,7,8,6,2,0,3,0,13,.462,.250,.000
Shaquille O'Neal\onealsh01,MIA,25:58,6,11,0,1,0,3,0,6,6,1,3,3,0,2,12,.545,.000,.000
Vince Carter\cartevi01,NJN,17:41,4,8,3,5,0,0,0,3,3,1,0,0,2,0,11,.500,.600,
Grant Hill\hillgr01,ORL,17:25,3,6,0,0,0,0,2,2,4,2,1,0,1,1,6,.500,,
Dwyane Wade\wadedw01,MIA,23:28,6,13,0,1,2,2,2,1,3,1,2,1,1,2,14,.462,.000,1.000
Jermaine O'Neal\onealje01,IND,19:30,6,10,0,0,3,4,1,4,5,2,1,1,1,1,15,.600,,.750
Zydrunas Ilgauskas\ilgauzy01,CLE,16:38,5,8,0,0,2,2,3,4,7,1,0,2,1,2,12,.625,,1.000
Paul Pierce\piercpa01,BOS,14:39,4,7,0,2,1,1,0,3,3,3,2,0,0,2,9,.571,.000,1.000
Gilbert Arenas\arenagi01,WAS,14:20,3,11,1,3,0,0,1,1,2,3,0,0,0,1,7,.273,.333,
Ben Wallace\wallabe01,DET,14:00,3,7,0,0,0,0,4,3,7,0,0,0,2,2,6,.429,,
Antawn Jamison\jamisan01,WAS,12:56,2,5,1,1,0,0,1,3,4,1,0,0,0,0,5,.400,1.000,
