Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kevin Durant\duranke01,OKC,34:43,14,27,6,17,4,4,3,7,10,6,1,0,1,0,38,.519,.353,1.000
Kevin Love\loveke01,MIN,32:46,5,11,2,7,1,4,1,8,9,2,1,0,1,0,13,.455,.286,.250
Blake Griffin\griffbl01,LAC,31:56,19,23,0,2,0,0,4,2,6,1,2,0,2,4,38,.826,.000,
Stephen Curry\curryst01,GSW,27:36,4,14,2,11,2,2,1,2,3,11,1,0,2,1,12,.286,.182,1.000
James Harden\hardeja01,HOU,23:46,3,7,2,6,0,0,0,1,1,5,1,0,2,1,8,.429,.333,
Chris Paul\paulch01,LAC,24:29,4,9,1,4,2,2,2,2,4,13,3,0,3,1,11,.444,.250,1.000
Dwight Howard\howardw01,HOU,13:17,4,6,0,2,0,0,4,7,11,3,0,0,0,0,8,.667,.000,
LaMarcus Aldridge\aldrila01,POR,13:17,2,9,0,0,0,0,3,2,5,0,0,0,0,0,4,.222,,
Tony Parker\parketo01,SAS,11:25,2,5,0,0,0,0,1,1,2,1,0,0,1,0,4,.400,,
Anthony Davis\davisan02,NOP,9:35,5,6,0,0,0,0,0,1,1,0,2,0,1,0,10,.833,,
Damian Lillard\lillada01,POR,8:44,3,8,3,6,0,0,0,1,1,0,0,0,1,1,9,.375,.500,
Dirk Nowitzki\nowitdi01,DAL,8:26,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,.000,.000,
Kyrie Irving\irvinky01,CLE,33:51,14,17,3,6,0,0,1,4,5,14,0,0,5,4,31,.824,.500,
LeBron James\jamesle01,MIA,33:08,11,22,0,7,0,0,1,6,7,7,3,0,1,0,22,.500,.000,
Paul George\georgpa01,IND,33:08,6,13,1,5,5,5,1,4,5,5,2,0,1,2,18,.462,.200,1.000
Carmelo Anthony\anthoca01,NYK,30:06,10,18,8,13,2,2,3,2,5,2,0,0,0,3,30,.556,.615,1.000
Dwyane Wade\wadedw01,MIA,11:41,5,6,0,0,0,0,1,0,1,3,2,0,1,0,10,.833,,
Joakim Noah\noahjo01,CHI,20:46,4,5,0,0,0,0,0,5,5,5,1,0,1,2,8,.800,,
John Wall\walljo01,WAS,15:04,5,7,0,1,2,2,0,5,5,4,2,0,3,1,12,.714,.000,1.000
DeMar DeRozan\derozde01,TOR,14:52,4,7,0,1,0,0,1,2,3,2,0,0,0,0,8,.571,.000,
Paul Millsap\millspa01,ATL,14:52,3,5,0,2,0,0,0,3,3,1,0,0,0,0,6,.600,.000,
Roy Hibbert\hibbero01,IND,12:19,4,5,0,1,0,0,1,4,5,2,0,0,1,0,8,.800,.000,
Chris Bosh\boshch01,MIA,10:07,2,3,1,2,0,0,0,2,2,0,2,0,1,1,5,.667,.500,
Joe Johnson\johnsjo02,BRK,10:06,2,7,1,6,0,0,0,1,1,1,0,0,0,1,5,.286,.167,
