Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Allen Iverson\iversal01,PHI,41:00,13,23,1,3,8,9,3,2,5,7,5,0,6,2,35,.565,.333,.889
Tracy McGrady\mcgratr01,ORL,36:00,10,17,4,7,5,6,1,4,5,2,0,0,1,3,29,.588,.571,.833
Michael Jordan\jordami01,WAS,36:00,9,27,0,2,2,2,2,3,5,2,2,0,2,3,20,.333,.000,1.000
Jermaine O'Neal\onealje01,IND,33:00,3,10,0,0,4,6,4,6,10,0,2,4,2,2,10,.300,,.667
Ben Wallace\wallabe01,DET,24:00,1,2,0,0,0,2,4,2,6,0,2,2,2,1,2,.500,,.000
Jason Kidd\kiddja01,NJN,33:00,4,9,1,4,2,2,1,4,5,10,5,0,2,0,11,.444,.250,1.000
Vince Carter\cartevi01,TOR,25:00,4,9,1,1,0,0,1,0,1,2,0,0,1,1,9,.444,1.000,
Paul Pierce\piercpa01,BOS,18:00,4,11,0,5,0,0,0,2,2,3,4,0,2,1,8,.364,.000,
Brad Miller\millebr01,IND,17:00,2,4,0,0,1,2,3,3,6,3,0,0,2,2,5,.500,,.500
Jamal Mashburn\mashbja01,NOH,14:00,4,7,2,2,0,0,0,4,4,2,2,0,0,0,10,.571,1.000,
Antoine Walker\walkean02,BOS,9:00,2,4,1,3,1,2,0,1,1,0,0,0,1,0,6,.500,.333,.500
Zydrunas Ilgauskas\ilgauzy01,CLE,4:00,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,.000,,
Kevin Garnett\garneke01,MIN,41:00,17,24,0,0,3,3,1,8,9,3,5,1,4,3,37,.708,,1.000
Tim Duncan\duncati01,SAS,40:00,8,18,0,0,3,3,5,10,15,4,1,0,3,2,19,.444,,1.000
Kobe Bryant\bryanko01,LAL,36:00,8,17,3,5,3,6,2,5,7,6,3,2,5,5,22,.471,.600,.500
Steve Francis\francst01,HOU,32:00,9,12,2,3,0,0,1,1,2,9,0,0,3,1,20,.750,.667,
Yao Ming\mingya01,HOU,17:00,1,1,0,0,0,0,0,2,2,0,0,0,0,1,2,1.000,,
Shaquille O'Neal\onealsh01,LAL,26:00,8,14,0,0,3,5,3,10,13,1,2,1,3,3,19,.571,,.600
Shawn Marion\mariosh01,PHO,23:00,4,9,0,1,0,0,5,2,7,4,3,1,0,1,8,.444,.000,
Dirk Nowitzki\nowitdi01,DAL,16:00,4,8,1,4,0,0,0,1,1,1,0,0,2,1,9,.500,.250,
Steve Nash\nashst01,DAL,16:00,1,3,0,2,0,1,2,3,5,3,1,0,4,1,2,.333,.000,.000
Gary Payton\paytoga01,SEA,15:00,4,6,0,1,0,0,1,0,1,2,0,0,3,3,8,.667,.000,
Stephon Marbury\marbust01,PHO,15:00,1,3,0,2,2,2,0,1,1,6,0,0,2,0,4,.333,.000,1.000
Peja Stojakovic\stojape01,SAC,13:00,2,7,1,4,0,0,0,3,3,1,1,0,1,0,5,.286,.250,
