Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Hakeem Olajuwon\olajuha01,HOU,30:00,8,15,0,0,3,6,4,7,11,2,2,5,3,4,19,.533,,.500
Mitch Richmond\richmmi01,SAC,24:00,5,16,0,0,0,0,0,2,2,3,0,0,2,0,10,.313,,
Shawn Kemp\kempsh01,SEA,22:00,3,11,0,0,0,0,6,6,12,4,0,3,6,4,6,.273,,
Karl Malone\malonka01,UTA,21:00,3,9,0,0,0,0,3,4,7,2,1,0,1,2,6,.333,,
Clyde Drexler\drexlcl01,POR,15:00,3,7,0,2,0,0,0,3,3,1,1,1,1,1,6,.429,.000,
John Stockton\stockjo01,UTA,26:00,6,10,1,1,0,0,1,4,5,10,1,0,4,2,13,.600,1.000,
David Robinson\robinda01,SAS,21:00,6,13,0,0,7,10,3,2,5,0,0,2,1,2,19,.462,,.700
Clifford Robinson\robincl02,POR,18:00,5,8,0,1,0,0,1,1,2,5,1,0,0,0,10,.625,.000,
Danny Manning\mannida01,LAC,17:00,4,7,0,0,0,0,0,4,4,2,0,1,0,4,8,.571,,
Gary Payton\paytoga01,SEA,17:00,3,4,0,0,0,0,2,4,6,9,0,0,0,2,6,.750,,
Latrell Sprewell\sprewla01,GSW,15:00,3,8,0,2,3,7,4,3,7,1,0,0,2,1,9,.375,.000,.429
Kevin Johnson\johnske02,PHO,14:00,3,6,0,0,0,1,0,1,1,2,1,0,2,1,6,.500,,.000
Scottie Pippen\pippesc01,CHI,31:00,9,15,5,9,6,10,0,11,11,2,4,1,2,2,29,.600,.556,.600
Shaquille O'Neal\onealsh01,ORL,26:00,2,12,0,0,4,11,4,6,10,0,1,4,1,2,8,.167,,.364
B.J. Armstrong\armstbj01,CHI,22:00,5,9,1,2,0,0,1,0,1,4,0,0,1,1,11,.556,.500,
Derrick Coleman\colemde01,NJN,18:00,1,6,0,2,0,0,1,2,3,1,1,1,0,3,2,.167,.000,
Kenny Anderson\anderke01,NJN,16:00,3,10,0,1,0,0,1,3,4,3,0,0,4,2,6,.300,.000,
Patrick Ewing\ewingpa01,NYK,24:00,7,15,0,0,6,7,4,4,8,1,0,0,1,2,20,.467,,.857
Mark Price\pricema01,CLE,22:00,8,10,2,3,2,2,0,2,2,5,1,1,0,1,20,.800,.667,1.000
John Starks\starkjo01,NYK,20:00,4,9,1,3,0,0,1,2,3,3,1,0,2,1,9,.444,.333,
Dominique Wilkins\wilkido01,ATL,17:00,4,9,0,2,3,6,2,0,2,4,0,0,0,1,11,.444,.000,.500
Horace Grant\grantho01,CHI,17:00,2,8,0,0,0,0,6,2,8,2,1,2,1,0,4,.250,,
Mookie Blaylock\blaylmo01,ATL,16:00,2,5,1,2,0,0,0,1,1,2,2,0,1,3,5,.400,.500,
Charles Oakley\oaklech01,NYK,11:00,1,3,0,0,0,0,1,2,3,3,0,0,0,3,2,.333,,
