Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
LeBron James\jamesle01,MIA,32:20,10,18,0,3,9,10,2,10,12,10,0,0,4,3,29,.556,.000,.900
Derrick Rose\rosede01,CHI,29:57,5,13,0,1,1,2,1,2,3,5,1,0,1,0,11,.385,.000,.500
Amar'e Stoudemire\stoudam01,NYK,28:04,11,20,1,2,6,6,3,3,6,2,0,1,1,0,29,.550,.500,1.000
Dwight Howard\howardw01,ORL,21:17,2,4,0,2,1,2,2,5,7,1,1,0,2,4,5,.500,.000,.500
Dwyane Wade\wadedw01,MIA,20:16,6,9,0,1,2,2,1,3,4,2,1,0,4,2,14,.667,.000,1.000
Chris Bosh\boshch01,MIA,20:56,7,10,0,1,0,1,2,3,5,2,0,1,3,0,14,.700,.000,.000
Rajon Rondo\rondora01,BOS,20:34,3,5,0,0,0,0,2,0,2,8,0,0,2,0,6,.600,,
Joe Johnson\johnsjo02,ATL,20:26,4,11,3,9,0,1,1,1,2,2,3,0,0,1,11,.364,.333,.000
Ray Allen\allenra02,BOS,17:09,4,9,2,7,2,2,1,3,4,2,0,0,1,2,12,.444,.286,1.000
Paul Pierce\piercpa01,BOS,11:12,2,6,1,3,1,2,0,1,1,2,0,0,3,0,6,.333,.333,.500
Al Horford\horfoal01,ATL,10:20,1,3,0,0,0,0,1,2,3,0,0,1,0,2,2,.333,,
Kevin Garnett\garneke01,BOS,7:32,2,3,0,0,0,0,0,5,5,2,0,1,0,0,4,.667,,
Kevin Durant\duranke01,OKC,30:00,11,23,4,11,8,8,0,3,3,2,2,2,0,3,34,.478,.364,1.000
Kobe Bryant\bryanko01,LAL,29:21,14,26,2,7,7,8,10,4,14,3,3,0,4,2,37,.538,.286,.875
Chris Paul\paulch01,NOH,28:32,3,7,2,3,2,2,1,3,4,7,5,0,3,3,10,.429,.667,1.000
Carmelo Anthony\anthoca01,DEN,22:44,4,10,0,1,0,0,3,4,7,2,1,1,2,3,8,.400,.000,
Tim Duncan\duncati01,SAS,11:40,1,4,0,0,0,0,1,2,3,2,2,0,0,0,2,.250,,
Pau Gasol\gasolpa01,LAL,24:22,8,13,0,1,1,2,6,1,7,2,0,2,1,3,17,.615,.000,.500
Manu Ginobili\ginobma01,SAS,20:43,2,7,0,3,3,4,1,2,3,5,3,0,2,3,7,.286,.000,.750
Deron Williams\willide01,UTA,17:53,2,7,1,3,0,0,0,1,1,7,1,1,2,0,5,.286,.333,
Blake Griffin\griffbl01,LAC,14:39,4,6,0,0,0,0,2,3,5,5,0,0,0,0,8,.667,,
Dirk Nowitzki\nowitdi01,DAL,14:14,3,8,0,1,0,0,0,5,5,1,1,1,0,0,6,.375,.000,
Russell Westbrook\westbru01,OKC,14:08,6,12,0,1,0,2,3,2,5,2,0,0,0,1,12,.500,.000,.000
Kevin Love\loveke01,MIN,11:44,1,3,0,0,0,0,0,4,4,1,0,0,1,0,2,.333,,
