,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Michael Jordan\jordami01,32,5,5,215,65,147,7,22,43,49,10,14,24,22,9,1,9,16,180,.442,.318,.878,43.0,36.0,4.8,4.4,1.8,0.2
2,Scottie Pippen\pippesc01,30,5,5,214,29,88,10,30,10,13,18,23,41,26,16,2,11,15,78,.330,.333,.769,42.8,15.6,8.2,5.2,3.2,0.4
3,Ron Harper\harpero01,32,5,5,175,18,50,7,20,10,13,11,18,29,14,5,2,4,15,53,.360,.350,.769,35.0,10.6,5.8,2.8,1.0,0.4
4,Dennis Rodman\rodmade01,34,5,5,188,13,30,0,0,7,11,24,54,78,12,6,4,18,23,33,.433,,.636,37.6,6.6,15.6,2.4,1.2,0.8
5,Steve Kerr\kerrst01,30,5,0,98,11,19,3,7,5,5,0,2,2,6,3,0,5,3,30,.579,.429,1.000,19.6,6.0,0.4,1.2,0.6,0.0
6,Luc Longley\longllu01,27,5,5,130,13,35,0,0,3,4,13,12,25,7,2,9,10,27,29,.371,,.750,26.0,5.8,5.0,1.4,0.4,1.8
7,Bill Wennington\wennibi01,32,5,0,64,8,16,0,1,1,2,4,9,13,5,1,1,2,12,17,.500,.000,.500,12.8,3.4,2.6,1.0,0.2,0.2
8,Randy Brown\brownra02,27,3,0,27,5,8,0,0,4,4,2,4,6,1,0,1,3,3,14,.625,,1.000,9.0,4.7,2.0,0.3,0.0,0.3
9,Jud Buechler\buechju01,27,4,0,21,5,9,1,4,2,2,0,3,3,0,0,0,3,4,13,.556,.250,1.000,5.3,3.3,0.8,0.0,0.0,0.0
10,Toni Kukoc\kukocto01,27,2,0,53,3,15,0,8,7,8,1,1,2,7,3,0,0,5,13,.200,.000,.875,26.5,6.5,1.0,3.5,1.5,0.0
