,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Richard Hamilton\hamilri01,26,5,5,228,43,84,6,13,15,19,3,14,17,30,3,0,25,17,107,.512,.462,.789,45.6,21.4,3.4,6.0,0.6,0.0
2,Chauncey Billups\billuch01,28,5,5,192,24,54,8,21,38,40,5,23,28,34,7,1,12,15,94,.444,.381,.950,38.4,18.8,5.6,6.8,1.4,0.2
3,Tayshaun Prince\princta01,24,5,5,223,33,69,6,20,15,17,10,26,36,22,6,1,7,8,87,.478,.300,.882,44.6,17.4,7.2,4.4,1.2,0.2
4,Rasheed Wallace\wallara01,30,5,5,175,34,73,12,32,5,8,6,26,32,9,3,7,11,15,85,.466,.375,.625,35.0,17.0,6.4,1.8,0.6,1.4
5,Ben Wallace\wallabe01,30,5,5,200,24,45,0,0,16,25,24,37,61,6,8,13,13,12,64,.533,,.640,40.0,12.8,12.2,1.2,1.6,2.6
6,Antonio McDyess\mcdyean01,30,5,0,104,18,35,0,0,7,10,6,22,28,2,2,6,4,15,43,.514,,.700,20.8,8.6,5.6,0.4,0.4,1.2
7,Lindsey Hunter\hunteli01,34,5,0,58,4,17,0,4,2,2,1,9,10,4,4,1,2,8,10,.235,.000,1.000,11.6,2.0,2.0,0.8,0.8,0.2
8,Carlos Arroyo\arroyca01,25,4,0,28,1,6,0,0,0,0,0,2,2,6,0,2,2,6,2,.167,,,7.0,0.5,0.5,1.5,0.0,0.5
9,Darvin Ham\hamda01,31,5,0,8,0,1,0,0,2,2,0,0,0,0,0,0,0,1,2,.000,,1.000,1.6,0.4,0.0,0.0,0.0,0.0
10,Ronald Dupree\duprero01,24,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
11,Darko Milicic\milicda01,19,2,0,5,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,.000,,,2.5,0.0,0.5,0.0,0.0,0.5
1,Allen Iverson\iversal01,29,5,5,238,59,126,12,29,26,29,0,11,11,50,10,2,21,12,156,.468,.414,.897,47.6,31.2,2.2,10.0,2.0,0.4
2,Chris Webber\webbech01,31,5,5,187,39,95,5,14,12,16,12,17,29,14,6,1,11,20,95,.411,.357,.750,37.4,19.0,5.8,2.8,1.2,0.2
3,Samuel Dalembert\dalemsa01,23,5,5,192,26,47,0,0,6,15,18,46,64,2,2,7,9,19,58,.553,,.400,38.4,11.6,12.8,0.4,0.4,1.4
4,Andre Iguodala\iguodan01,21,5,5,192,20,43,3,9,6,12,8,15,23,15,14,5,5,12,49,.465,.333,.500,38.4,9.8,4.6,3.0,2.8,1.0
5,Willie Green\greenwi01,23,5,0,63,8,18,2,9,9,10,3,6,9,3,1,0,2,5,27,.444,.222,.900,12.6,5.4,1.8,0.6,0.2,0.0
6,Kyle Korver\korveky01,23,5,5,146,8,28,7,24,2,2,3,10,13,8,4,1,8,18,25,.286,.292,1.000,29.2,5.0,2.6,1.6,0.8,0.2
7,Rodney Rogers\rogerro01,33,4,0,49,6,13,3,8,5,7,0,4,4,1,0,2,1,4,20,.462,.375,.714,12.3,5.0,1.0,0.3,0.0,0.5
8,Marc Jackson\jacksma02,30,5,0,65,5,20,0,0,7,11,3,5,8,0,2,2,6,9,17,.250,,.636,13.0,3.4,1.6,0.0,0.4,0.4
9,Aaron McKie\mckieaa01,32,5,0,85,3,7,1,3,0,0,1,11,12,5,4,0,1,9,7,.429,.333,,17.0,1.4,2.4,1.0,0.8,0.0
10,Josh Davis\davisjo02,24,2,0,4,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,.000,.000,,2.0,0.0,0.5,0.0,0.0,0.0
11,John Salmons\salmojo01,25,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2.0,0.0,0.0,0.5,0.0,0.0
1,Stephen Jackson\jacksst02,26,7,7,242,42,92,14,31,34,42,3,22,25,21,12,4,15,21,132,.457,.452,.810,34.6,18.9,3.6,3.0,1.7,0.6
2,Jermaine O'Neal\onealje01,26,7,7,245,36,102,0,3,38,52,12,42,54,21,4,17,21,23,110,.353,.000,.731,35.0,15.7,7.7,3.0,0.6,2.4
3,Reggie Miller\millere01,39,7,7,236,32,77,12,34,33,35,4,25,29,14,9,1,12,14,109,.416,.353,.943,33.7,15.6,4.1,2.0,1.3,0.1
4,Anthony Johnson\johnsan02,30,7,4,201,18,50,5,13,18,22,3,20,23,38,9,4,16,17,59,.360,.385,.818,28.7,8.4,3.3,5.4,1.3,0.6
5,Dale Davis\davisda01,35,7,7,174,17,35,0,0,13,18,21,27,48,1,5,4,6,16,47,.486,,.722,24.9,6.7,6.9,0.1,0.7,0.6
6,James Jones\jonesja02,24,7,0,144,14,31,9,17,4,9,4,13,17,7,6,5,4,16,41,.452,.529,.444,20.6,5.9,2.4,1.0,0.9,0.7
7,Fred Jones\jonesfr01,25,7,0,134,9,30,6,10,8,8,1,11,12,8,3,2,8,8,32,.300,.600,1.000,19.1,4.6,1.7,1.1,0.4,0.3
8,Jeff Foster\fosteje01,28,7,0,106,11,21,0,0,7,10,18,20,38,1,2,7,4,12,29,.524,,.700,15.1,4.1,5.4,0.1,0.3,1.0
9,Jamaal Tinsley\tinslja01,26,3,3,80,8,25,0,8,2,2,1,8,9,15,7,1,9,11,18,.320,.000,1.000,26.7,6.0,3.0,5.0,2.3,0.3
10,Austin Croshere\croshau01,29,5,0,51,2,6,2,4,9,12,2,6,8,0,4,1,5,5,15,.333,.500,.750,10.2,3.0,1.6,0.0,0.8,0.2
11,Eddie Gill\gilled01,26,4,0,37,2,13,0,5,11,12,0,4,4,5,1,0,3,0,15,.154,.000,.917,9.3,3.8,1.0,1.3,0.3,0.0
12,Scot Pollard\pollasc01,29,6,0,55,5,14,0,0,1,2,4,5,9,1,1,0,4,9,11,.357,,.500,9.2,1.8,1.5,0.2,0.2,0.0
1,Paul Pierce\piercpa01,27,7,7,277,47,93,7,27,59,68,7,47,54,32,13,10,19,18,160,.505,.259,.868,39.6,22.9,7.7,4.6,1.9,1.4
2,Antoine Walker\walkean02,28,6,6,224,43,104,7,19,7,11,16,28,44,14,7,6,18,19,100,.413,.368,.636,37.3,16.7,7.3,2.3,1.2,1.0
3,Ricky Davis\davisri01,25,7,2,240,32,74,3,9,20,26,5,20,25,14,9,2,21,23,87,.432,.333,.769,34.3,12.4,3.6,2.0,1.3,0.3
4,Gary Payton\paytoga01,36,7,7,239,33,74,1,14,5,6,8,21,29,32,6,1,11,10,72,.446,.071,.833,34.1,10.3,4.1,4.6,0.9,0.1
5,Raef LaFrentz\lafrera01,28,7,7,185,16,41,8,16,8,10,6,28,34,8,6,12,7,27,48,.390,.500,.800,26.4,6.9,4.9,1.1,0.9,1.7
6,Al Jefferson\jeffeal01,20,7,0,136,17,41,0,0,9,12,17,28,45,2,4,8,4,16,43,.415,,.750,19.4,6.1,6.4,0.3,0.6,1.1
7,Marcus Banks\banksma01,23,7,0,106,13,29,3,6,3,6,1,10,11,7,4,0,6,16,32,.448,.500,.500,15.1,4.6,1.6,1.0,0.6,0.0
8,Delonte West\westde01,21,7,3,115,11,21,5,11,2,4,2,7,9,4,7,1,2,17,29,.524,.455,.500,16.4,4.1,1.3,0.6,1.0,0.1
9,Tony Allen\allento01,23,7,3,90,8,18,0,0,3,7,4,8,12,2,3,2,5,17,19,.444,,.429,12.9,2.7,1.7,0.3,0.4,0.3
10,Kendrick Perkins\perkike01,20,6,0,28,4,5,0,0,1,3,3,3,6,0,0,3,3,7,9,.800,,.333,4.7,1.5,1.0,0.0,0.0,0.5
11,Mark Blount\blounma01,29,4,0,43,4,14,0,0,0,2,3,3,6,1,0,0,5,6,8,.286,,.000,10.8,2.0,1.5,0.3,0.0,0.0
12,Justin Reed\reedju01,23,6,0,22,2,6,0,2,3,4,0,1,1,0,0,0,2,2,7,.333,.000,.750,3.7,1.2,0.2,0.0,0.0,0.0
1,Dwyane Wade\wadedw01,23,4,4,170,37,74,1,2,30,36,6,19,25,35,7,4,20,10,105,.500,.500,.833,42.5,26.3,6.3,8.8,1.8,1.0
