,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Paul Pierce\piercpa01,25,6,6,261,44,113,11,27,56,63,6,49,55,36,11,4,19,21,155,.389,.407,.889,43.5,25.8,9.2,6.0,1.8,0.7
2,Antoine Walker\walkean02,26,6,6,264,50,109,13,30,4,12,9,37,46,27,11,1,21,26,117,.459,.433,.333,44.0,19.5,7.7,4.5,1.8,0.2
3,Tony Delk\delkto01,29,6,6,212,29,62,13,30,22,26,3,21,24,19,5,2,7,15,93,.468,.433,.846,35.3,15.5,4.0,3.2,0.8,0.3
4,Walter McCarty\mccarwa01,28,6,4,207,26,51,14,34,6,7,6,17,23,14,5,3,5,20,72,.510,.412,.857,34.5,12.0,3.8,2.3,0.8,0.5
5,Eric Williams\willier01,30,6,2,196,18,52,1,9,17,21,8,15,23,12,4,0,7,27,54,.346,.111,.810,32.7,9.0,3.8,2.0,0.7,0.0
6,Tony Battie\battito01,26,6,6,126,17,32,0,1,3,6,10,27,37,3,1,10,1,24,37,.531,.000,.500,21.0,6.2,6.2,0.5,0.2,1.7
7,J.R. Bremer\bremejr01,22,6,0,93,12,37,5,18,6,7,0,11,11,7,1,0,5,6,35,.324,.278,.857,15.5,5.8,1.8,1.2,0.2,0.0
8,Mark Blount\blounma01,27,6,0,75,6,10,0,0,4,5,9,12,21,2,7,4,3,12,16,.600,,.800,12.5,2.7,3.5,0.3,1.2,0.7
9,Grant Long\longgr01,36,5,0,19,1,3,0,0,0,0,1,1,2,0,0,0,1,1,2,.333,,,3.8,0.4,0.4,0.0,0.0,0.0
10,Kedrick Brown\brownke01,21,2,0,7,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,.000,,,3.5,0.0,0.5,0.0,0.5,0.0
