,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Michael Jordan\jordami01,26,5,5,212,86,157,9,23,34,40,10,23,33,37,20,6,18,15,215,.548,.391,.850,42.4,43.0,6.6,7.4,4.0,1.2
2,Scottie Pippen\pippesc01,24,4,3,158,32,60,1,6,18,26,8,19,27,25,6,7,13,15,83,.533,.167,.692,39.5,20.8,6.8,6.3,1.5,1.8
3,Horace Grant\grantho01,24,5,5,187,25,39,0,0,4,12,16,23,39,12,7,4,4,14,54,.641,,.333,37.4,10.8,7.8,2.4,1.4,0.8
4,Stacey King\kingst01,23,5,2,104,20,43,0,1,14,19,9,12,21,3,4,3,6,13,54,.465,.000,.737,20.8,10.8,4.2,0.6,0.8,0.6
5,Bill Cartwright\cartwbi01,32,5,5,163,16,36,0,0,8,11,10,21,31,5,1,1,9,13,40,.444,,.727,32.6,8.0,6.2,1.0,0.2,0.2
6,B.J. Armstrong\armstbj01,22,5,0,91,9,20,0,1,9,10,0,8,8,17,6,0,4,6,27,.450,.000,.900,18.2,5.4,1.6,3.4,1.2,0.0
7,John Paxson\paxsojo01,29,5,5,132,9,21,0,1,2,2,1,7,8,26,5,0,1,15,20,.429,.000,1.000,26.4,4.0,1.6,5.2,1.0,0.0
8,Craig Hodges\hodgecr01,29,5,0,69,7,19,3,10,0,0,3,3,6,4,2,0,3,8,17,.368,.300,,13.8,3.4,1.2,0.8,0.4,0.0
9,Ed Nealy\nealyed01,29,4,0,57,7,12,0,1,1,1,3,16,19,2,2,0,1,14,15,.583,.000,1.000,14.3,3.8,4.8,0.5,0.5,0.0
10,Will Perdue\perduwi01,24,5,0,25,5,12,0,1,2,3,3,3,6,0,0,0,1,3,12,.417,.000,.667,5.0,2.4,1.2,0.0,0.0,0.0
11,Charles Davis\davisch02,31,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,,,2.0,0.0,0.0,0.0,0.0,0.0
1,Charles Barkley\barklch01,26,5,5,218,41,77,1,7,36,58,35,50,85,25,4,4,19,20,119,.532,.143,.621,43.6,23.8,17.0,5.0,0.8,0.8
2,Hersey Hawkins\hawkihe01,23,5,5,211,31,65,7,20,30,32,4,12,16,23,3,3,21,14,99,.477,.350,.938,42.2,19.8,3.2,4.6,0.6,0.6
3,Mike Gminski\gminsmi01,30,5,5,179,39,65,0,3,4,4,3,23,26,8,4,8,9,13,82,.600,.000,1.000,35.8,16.4,5.2,1.6,0.8,1.6
4,Johnny Dawkins\dawkijo01,26,5,5,209,28,59,0,4,24,31,3,10,13,42,9,1,17,6,80,.475,.000,.774,41.8,16.0,2.6,8.4,1.8,0.2
5,Ron Anderson\anderro01,31,5,0,144,25,56,2,3,9,10,2,16,18,6,2,0,10,11,61,.446,.667,.900,28.8,12.2,3.6,1.2,0.4,0.0
6,Rick Mahorn\mahorri01,31,5,5,161,16,39,0,1,8,9,7,17,24,9,2,4,5,24,40,.410,.000,.889,32.2,8.0,4.8,1.8,0.4,0.8
7,Scott Brooks\brooksc01,24,4,0,31,3,8,1,2,3,4,1,3,4,6,1,0,1,4,10,.375,.500,.750,7.8,2.5,1.0,1.5,0.3,0.0
8,Bob Thornton\thornbo01,27,5,0,44,2,7,0,0,2,4,2,3,5,1,0,1,1,12,6,.286,,.500,8.8,1.2,1.0,0.2,0.0,0.2
9,Kenny Payne\payneke01,23,1,0,1,0,1,0,1,2,2,1,0,1,0,0,0,0,1,2,.000,.000,1.000,1.0,2.0,1.0,0.0,0.0,0.0
10,Lanard Copeland\copella01,24,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,0.0
11,Kurt Nimphius\nimphku01,31,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.000,,,1.0,0.0,1.0,0.0,0.0,0.0
1,James Edwards\edwarja01,34,5,5,145,40,68,0,0,17,24,5,8,13,3,3,1,9,22,97,.588,,.708,29.0,19.4,2.6,0.6,0.6,0.2
2,Isiah Thomas\thomais01,28,5,5,181,35,80,9,23,13,17,3,19,22,42,8,0,16,12,92,.438,.391,.765,36.2,18.4,4.4,8.4,1.6,0.0
3,Joe Dumars\dumarjo01,26,5,5,180,27,59,0,1,21,23,7,7,14,29,7,0,9,8,75,.458,.000,.913,36.0,15.0,2.8,5.8,1.4,0.0
4,Mark Aguirre\aguirma01,30,5,0,94,28,50,1,6,5,10,7,14,21,7,4,1,5,11,62,.560,.167,.500,18.8,12.4,4.2,1.4,0.8,0.2
5,Vinnie Johnson\johnsvi01,33,5,0,114,27,51,1,1,1,2,7,7,14,15,0,1,6,4,56,.529,1.000,.500,22.8,11.2,2.8,3.0,0.0,0.2
6,Bill Laimbeer\laimbbi01,32,5,5,159,22,47,5,11,1,1,10,40,50,5,4,5,8,14,50,.468,.455,1.000,31.8,10.0,10.0,1.0,0.8,1.0
7,John Salley\sallejo01,25,5,0,119,11,28,0,0,18,26,12,18,30,7,2,10,5,18,40,.393,,.692,23.8,8.0,6.0,1.4,0.4,2.0
8,Dennis Rodman\rodmade01,28,5,5,170,18,31,0,0,2,6,18,35,53,5,3,4,7,12,38,.581,,.333,34.0,7.6,10.6,1.0,0.6,0.8
9,William Bedford\bedfowi01,26,1,0,7,1,4,0,0,0,0,0,2,2,0,0,0,0,1,2,.250,,,7.0,2.0,2.0,0.0,0.0,0.0
10,Dave Greenwood\greenda01,32,2,0,14,1,1,0,0,0,2,0,0,0,0,1,0,0,3,2,1.000,,.000,7.0,1.0,0.0,0.0,0.5,0.0
11,Scott Hastings\hastisc01,29,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.000,,,5.0,2.0,0.0,0.0,0.0,0.0
12,Gerald Henderson\hendege01,34,2,0,12,0,1,0,0,0,0,1,1,2,4,1,0,1,2,0,.000,,,6.0,0.0,1.0,2.0,0.5,0.0
1,Patrick Ewing\ewingpa01,27,5,5,186,48,103,0,1,40,42,6,42,48,11,4,11,13,19,136,.466,.000,.952,37.2,27.2,9.6,2.2,0.8,2.2
2,Maurice Cheeks\cheekma01,33,5,5,184,25,54,0,2,13,13,7,16,23,41,7,2,9,10,63,.463,.000,1.000,36.8,12.6,4.6,8.2,1.4,0.4
3,Gerald Wilkins\wilkige01,26,5,5,162,27,62,0,4,7,8,4,10,14,20,7,1,9,11,61,.435,.000,.875,32.4,12.2,2.8,4.0,1.4,0.2
4,Charles Oakley\oaklech01,26,5,5,188,21,42,0,0,14,22,22,41,63,13,6,0,13,14,56,.500,,.636,37.6,11.2,12.6,2.6,1.2,0.0
5,Kiki Vandeweghe\vandeki01,31,5,5,121,13,33,5,10,7,8,4,1,5,9,4,1,5,7,38,.394,.500,.875,24.2,7.6,1.0,1.8,0.8,0.2
6,Johnny Newman\newmajo01,26,5,0,100,8,26,1,4,10,15,3,4,7,4,3,2,9,18,27,.308,.250,.667,20.0,5.4,1.4,0.8,0.6,0.4
7,Mark Jackson\jacksma01,24,5,0,45,8,18,0,1,5,8,1,3,4,9,1,0,4,4,21,.444,.000,.625,9.0,4.2,0.8,1.8,0.2,0.0
8,Trent Tucker\tucketr01,30,5,0,91,8,24,3,9,2,2,2,5,7,6,4,0,2,10,21,.333,.333,1.000,18.2,4.2,1.4,1.2,0.8,0.0
9,Eddie Lee Wilkins\wilkied01,27,3,0,27,7,14,0,0,2,7,5,5,10,0,1,0,1,4,16,.500,,.286,9.0,5.3,3.3,0.0,0.3,0.0
