,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kyrie Irving\irvinky01,26,4,4,148,32,75,11,26,15,17,1,17,18,31,5,3,10,12,90,.427,.423,.882,37.0,22.5,4.5,7.8,1.3,0.8
2,Jayson Tatum\tatumja01,20,4,4,142,29,57,8,15,11,17,2,20,22,6,5,1,11,8,77,.509,.533,.647,35.5,19.3,5.5,1.5,1.3,0.3
3,Gordon Hayward\haywago01,28,4,0,124,17,35,4,9,11,11,2,18,20,7,4,1,7,10,49,.486,.444,1.000,31.1,12.3,5.0,1.8,1.0,0.3
4,Marcus Morris\morrima03,29,4,0,105,16,39,7,20,10,13,4,22,26,2,0,0,2,6,49,.410,.350,.769,26.2,12.3,6.5,0.5,0.0,0.0
5,Jaylen Brown\brownja02,22,4,4,117,17,29,6,14,4,9,3,24,27,3,1,1,7,13,44,.586,.429,.444,29.1,11.0,6.8,0.8,0.3,0.3
6,Al Horford\horfoal01,32,4,4,138,16,47,5,16,7,9,9,32,41,18,2,3,10,9,44,.340,.313,.778,34.6,11.0,10.3,4.5,0.5,0.8
7,Terry Rozier\roziete01,24,4,0,75,9,24,5,15,6,9,3,11,14,11,2,1,8,6,29,.375,.333,.667,18.8,7.3,3.5,2.8,0.5,0.3
8,Aron Baynes\baynear01,32,4,4,77,5,8,1,2,0,0,4,12,16,3,2,2,4,12,11,.625,.500,,19.2,2.8,4.0,0.8,0.5,0.5
9,Daniel Theis\theisda01,26,4,0,27,1,5,0,1,2,2,2,5,7,0,1,0,0,2,4,.200,.000,1.000,6.8,1.0,1.8,0.0,0.3,0.0
10,Semi Ojeleye\ojelese01,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.5,0.0,0.0,0.0,0.0,0.0
11,Brad Wanamaker\wanambr01,29,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,,,3.3,0.0,0.0,0.0,0.0,0.0
12,Robert Williams\williro04,21,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.2,0.0,0.0,0.0,0.0,0.0
13,Guerschon Yabusele\yabusgu01,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.5,0.0,0.0,0.0,0.0,0.0
1,Bojan Bogdanovic\bogdabo02,29,4,4,148,25,63,7,22,15,17,3,20,23,11,8,0,6,7,72,.397,.318,.882,36.9,18.0,5.8,2.8,2.0,0.0
2,Tyreke Evans\evansty01,29,4,0,84,21,48,11,20,8,14,0,17,17,3,2,1,6,8,61,.438,.550,.571,21.0,15.3,4.3,0.8,0.5,0.3
3,Darren Collison\collida01,31,4,4,117,19,45,4,11,6,6,4,8,12,16,2,0,10,11,48,.422,.364,1.000,29.2,12.0,3.0,4.0,0.5,0.0
4,Thaddeus Young\youngth01,30,4,4,130,18,42,2,8,4,7,9,19,28,15,11,3,5,10,42,.429,.250,.571,32.6,10.5,7.0,3.8,2.8,0.8
5,Myles Turner\turnemy01,22,4,4,126,14,35,3,14,8,13,4,21,25,6,0,7,3,14,39,.400,.214,.615,31.5,9.8,6.3,1.5,0.0,1.8
6,Domantas Sabonis\sabondo01,22,4,0,96,12,29,1,4,9,14,7,22,29,16,3,1,5,12,34,.414,.250,.643,24.0,8.5,7.3,4.0,0.8,0.3
7,Cory Joseph\josepco01,27,4,0,85,12,24,4,9,2,2,1,6,7,4,4,0,0,7,30,.500,.444,1.000,21.2,7.5,1.8,1.0,1.0,0.0
8,Wesley Matthews\matthwe02,32,4,4,119,9,30,7,21,3,3,0,10,10,8,3,1,8,6,28,.300,.333,1.000,29.7,7.0,2.5,2.0,0.8,0.3
9,Doug McDermott\mcderdo01,27,3,0,29,2,10,0,7,2,4,3,2,5,4,0,1,0,2,6,.200,.000,.500,9.7,2.0,1.7,1.3,0.0,0.3
10,Aaron Holiday\holidaa01,22,3,0,13,2,5,1,2,0,0,0,0,0,0,0,0,1,3,5,.400,.500,,4.5,1.7,0.0,0.0,0.0,0.0
11,T.J. Leaf\leaftj01,21,1,0,10,0,3,0,1,2,2,1,2,3,0,0,0,0,0,2,.000,.000,1.000,9.8,2.0,3.0,0.0,0.0,0.0
12,Kyle O'Quinn\oquinky01,28,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,1.6,0.0,0.0,0.0,0.0,0.0
13,Edmond Sumner\sumneed01,23,1,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,,,1.6,0.0,2.0,0.0,0.0,0.0
1,Giannis Antetokounmpo\antetgi01,24,4,4,113,37,71,4,17,27,43,11,37,48,14,3,6,11,12,105,.521,.235,.628,28.3,26.3,12.0,3.5,0.8,1.5
2,Eric Bledsoe\bledser01,29,4,4,111,31,59,6,19,9,11,10,6,16,21,8,2,7,4,77,.525,.316,.818,27.7,19.3,4.0,5.3,2.0,0.5
3,Khris Middleton\middlkh01,27,4,4,118,24,52,11,24,17,19,2,20,22,17,2,0,6,7,76,.462,.458,.895,29.6,19.0,5.5,4.3,0.5,0.0
4,Brook Lopez\lopezbr01,30,4,4,119,18,32,6,16,6,7,0,21,21,8,1,14,4,11,48,.563,.375,.857,29.7,12.0,5.3,2.0,0.3,3.5
5,George Hill\hillge01,32,4,0,92,13,28,3,10,9,9,3,8,11,14,2,2,3,11,38,.464,.300,1.000,23.0,9.5,2.8,3.5,0.5,0.5
6,Pat Connaughton\connapa01,26,4,0,111,16,25,3,8,1,1,2,25,27,7,2,5,3,3,36,.640,.375,1.000,27.8,9.0,6.8,1.8,0.5,1.3
