,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Michael Jordan\jordami01,31,4,4,166,48,97,8,17,25,30,7,19,26,23,8,3,17,13,129,.495,.471,.833,41.5,32.3,6.5,5.8,2.0,0.8
2,Toni Kukoc\kukocto01,26,4,4,140,26,50,9,15,8,14,10,16,26,19,2,0,9,10,69,.520,.600,.571,35.0,17.3,6.5,4.8,0.5,0.0
3,Scottie Pippen\pippesc01,29,4,4,148,22,43,5,12,15,23,7,21,28,24,8,2,10,19,64,.512,.417,.652,37.0,16.0,7.0,6.0,2.0,0.5
4,B.J. Armstrong\armstbj01,27,4,4,122,10,21,4,9,4,4,1,7,8,5,2,0,2,9,28,.476,.444,1.000,30.5,7.0,2.0,1.3,0.5,0.0
5,Luc Longley\longllu01,26,4,2,98,11,24,0,0,2,2,4,12,16,5,1,4,6,18,24,.458,,1.000,24.5,6.0,4.0,1.3,0.3,1.0
6,Steve Kerr\kerrst01,29,4,0,84,7,17,3,9,2,2,0,2,2,6,0,0,0,6,19,.412,.333,1.000,21.0,4.8,0.5,1.5,0.0,0.0
7,Will Perdue\perduwi01,29,4,2,82,7,16,0,0,4,10,6,16,22,4,0,2,6,8,18,.438,,.400,20.5,4.5,5.5,1.0,0.0,0.5
8,Bill Wennington\wennibi01,31,4,0,53,9,23,0,0,0,0,5,8,13,2,1,1,3,12,18,.391,,,13.3,4.5,3.3,0.5,0.3,0.3
9,Pete Myers\myerspe01,31,4,0,48,4,10,1,2,1,2,3,1,4,2,4,0,4,5,10,.400,.500,.500,12.0,2.5,1.0,0.5,1.0,0.0
10,Jud Buechler\buechju01,26,4,0,32,3,5,0,0,0,0,3,2,5,2,2,1,1,6,6,.600,,,8.0,1.5,1.3,0.5,0.5,0.3
11,Corie Blount\blounco01,26,4,0,11,0,2,0,1,0,0,1,1,2,0,0,0,1,2,0,.000,.000,,2.8,0.0,0.5,0.0,0.0,0.0
12,Ron Harper\harpero01,31,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,1.0,0.0,0.0,1.0,0.0,0.0
1,Alonzo Mourning\mournal01,24,4,4,174,24,57,4,8,36,43,14,39,53,11,3,13,14,17,88,.421,.500,.837,43.5,22.0,13.3,2.8,0.8,3.3
2,Larry Johnson\johnsla02,25,4,4,172,31,65,1,9,20,25,10,13,23,11,4,2,6,7,83,.477,.111,.800,43.0,20.8,5.8,2.8,1.0,0.5
