,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Dwight Howard\howardw01,23,6,6,232,54,83,0,1,47,67,24,54,78,17,5,7,15,32,155,.651,.000,.701,38.6,25.8,13.0,2.8,0.8,1.2
2,Rashard Lewis\lewisra02,29,6,6,252,35,71,15,31,25,34,3,32,35,8,8,2,11,16,110,.493,.484,.735,42.0,18.3,5.8,1.3,1.3,0.3
3,Hedo Turkoglu\turkohe01,29,6,6,246,32,82,9,23,30,35,4,34,38,40,4,0,17,21,103,.390,.391,.857,41.0,17.2,6.3,6.7,0.7,0.0
4,Mickael Pietrus\pietrmi01,26,6,0,171,27,53,17,36,12,16,7,12,19,5,5,4,8,22,83,.509,.472,.750,28.5,13.8,3.2,0.8,0.8,0.7
5,Rafer Alston\alstora01,32,6,6,200,27,73,14,37,7,7,1,14,15,23,10,2,12,16,75,.370,.378,1.000,33.3,12.5,2.5,3.8,1.7,0.3
6,Courtney Lee\leeco01,23,6,6,189,19,43,4,15,4,5,1,12,13,10,7,2,8,7,46,.442,.267,.800,31.5,7.7,2.2,1.7,1.2,0.3
7,Anthony Johnson\johnsan02,34,6,0,81,8,20,2,7,5,10,1,4,5,13,3,0,3,8,23,.400,.286,.500,13.5,3.8,0.8,2.2,0.5,0.0
8,Marcin Gortat\gortama01,24,6,0,65,7,9,0,0,1,4,3,18,21,0,0,5,1,12,15,.778,,.250,10.8,2.5,3.5,0.0,0.0,0.8
9,J.J. Redick\redicjj01,24,1,0,10,3,4,1,2,0,0,0,0,0,0,0,0,1,1,7,.750,.500,,9.8,7.0,0.0,0.0,0.0,0.0
10,Tony Battie\battito01,32,5,0,20,2,6,0,0,1,1,2,3,5,0,0,0,0,1,5,.333,,1.000,4.0,1.0,1.0,0.0,0.0,0.0
1,LeBron James\jamesle01,24,6,6,266,75,154,11,37,70,94,10,40,50,48,7,7,25,19,231,.487,.297,.745,44.3,38.5,8.3,8.0,1.2,1.2
2,Mo Williams\willima01,26,6,6,253,36,97,15,40,23,27,3,22,25,22,6,0,12,20,110,.371,.375,.852,42.2,18.3,4.2,3.7,1.0,0.0
3,Delonte West\westde01,25,6,6,270,35,78,7,22,10,13,2,16,18,23,10,5,13,15,87,.449,.318,.769,44.9,14.5,3.0,3.8,1.7,0.8
4,Zydrunas Ilgauskas\ilgauzy01,33,6,6,177,25,56,0,6,11,15,12,44,56,6,2,4,1,25,61,.446,.000,.733,29.5,10.2,9.3,1.0,0.3,0.7
5,Anderson Varejao\varejan01,26,6,6,175,23,41,0,0,6,9,10,22,32,3,8,5,7,30,52,.561,,.667,29.1,8.7,5.3,0.5,1.3,0.8
6,Daniel Gibson\gibsoda01,22,6,0,70,6,14,6,12,4,4,0,3,3,2,0,1,2,5,22,.429,.500,1.000,11.7,3.7,0.5,0.3,0.0,0.2
7,Joe Smith\smithjo02,33,5,0,51,6,12,1,2,3,4,0,7,7,0,2,2,0,10,16,.500,.500,.750,10.2,3.2,1.4,0.0,0.4,0.4
8,Ben Wallace\wallabe01,34,6,0,88,6,10,0,0,0,2,12,10,22,2,1,2,2,7,12,.600,,.000,14.6,2.0,3.7,0.3,0.2,0.3
9,Sasha Pavlovic\pavloal01,25,4,0,53,4,9,1,5,0,1,0,5,5,3,3,0,1,7,9,.444,.200,.000,13.4,2.3,1.3,0.8,0.8,0.0
10,Wally Szczerbiak\szczewa02,31,4,0,62,3,14,1,6,0,1,1,7,8,3,0,0,3,9,7,.214,.167,.000,15.5,1.8,2.0,0.8,0.0,0.0
11,Tarence Kinsey\kinseta01,24,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,0.3,0.0,0.0,0.0,0.3,0.0
1,Kobe Bryant\bryanko01,30,6,6,252,63,131,11,32,67,72,8,27,35,35,5,3,13,18,204,.481,.344,.931,42.0,34.0,5.8,5.8,0.8,0.5
2,Pau Gasol\gasolpa01,28,6,6,252,38,60,0,0,29,39,16,58,74,21,6,14,13,17,105,.633,,.744,42.0,17.5,12.3,3.5,1.0,2.3
3,Trevor Ariza\arizatr01,23,6,6,174,25,43,10,20,14,22,4,18,22,11,11,3,10,23,74,.581,.500,.636,28.9,12.3,3.7,1.8,1.8,0.5
4,Lamar Odom\odomla01,29,6,0,186,24,56,5,9,16,23,21,33,54,12,4,8,7,21,69,.429,.556,.696,31.0,11.5,9.0,2.0,0.7,1.3
5,Andrew Bynum\bynuman01,21,6,6,119,19,40,0,0,9,17,6,14,20,2,2,8,4,21,47,.475,,.529,19.9,7.8,3.3,0.3,0.3,1.3
6,Derek Fisher\fishede01,34,6,6,167,16,47,6,20,4,6,3,8,11,18,6,0,10,18,42,.340,.300,.667,27.8,7.0,1.8,3.0,1.0,0.0
7,Shannon Brown\brownsh01,23,6,0,69,9,26,2,8,5,7,1,4,5,2,0,1,3,6,25,.346,.250,.714,11.5,4.2,0.8,0.3,0.0,0.2
8,Sasha Vujacic\vujacsa01,24,6,0,56,6,21,6,15,4,5,1,7,8,1,0,1,2,6,22,.286,.400,.800,9.4,3.7,1.3,0.2,0.0,0.2
9,Jordan Farmar\farmajo01,22,6,0,58,8,21,3,13,2,3,1,7,8,12,0,1,7,3,21,.381,.231,.667,9.6,3.5,1.3,2.0,0.0,0.2
10,Luke Walton\waltolu01,28,6,0,99,10,24,1,5,0,2,5,10,15,18,4,3,9,15,21,.417,.200,.000,16.5,3.5,2.5,3.0,0.7,0.5
11,Josh Powell\poweljo01,26,2,0,7,1,2,0,0,2,2,0,0,0,1,0,1,0,1,4,.500,,1.000,3.5,2.0,0.0,0.5,0.0,0.5
12,Didier Ilunga-Mbenga\mbengdj01,28,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,0.7,0.0,0.0,0.0,0.0,0.0
1,Carmelo Anthony\anthoca01,24,6,6,232,48,118,7,28,62,75,9,20,29,22,8,2,17,23,165,.407,.250,.827,38.7,27.5,4.8,3.7,1.3,0.3
2,Chauncey Billups\billuch01,32,6,6,244,29,73,11,33,40,48,2,21,23,36,8,1,14,14,109,.397,.333,.833,40.7,18.2,3.8,6.0,1.3,0.2
3,J.R. Smith\smithjr01,23,6,0,165,29,75,14,47,4,13,6,13,19,20,6,2,13,24,76,.387,.298,.308,27.6,12.7,3.2,3.3,1.0,0.3
4,Kenyon Martin\martike01,31,6,6,209,34,73,0,1,7,10,10,33,43,8,6,8,7,24,75,.466,.000,.700,34.8,12.5,7.2,1.3,1.0,1.3
5,Nene Hilario\hilarne01,26,6,6,192,22,41,0,0,15,21,15,32,47,17,7,2,9,28,59,.537,,.714,32.1,9.8,7.8,2.8,1.2,0.3
6,Linas Kleiza\kleizli01,24,6,0,94,15,30,9,19,7,9,5,19,24,2,2,0,0,8,46,.500,.474,.778,15.7,7.7,4.0,0.3,0.3,0.0
7,Dahntay Jones\jonesda02,28,6,6,94,11,29,0,2,14,18,10,4,14,6,6,1,5,19,36,.379,.000,.778,15.6,6.0,2.3,1.0,1.0,0.2
