,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Richard Hamilton\hamilri01,25,5,5,173,36,75,4,9,25,31,4,14,18,21,9,0,13,21,101,.480,.444,.806,34.6,20.2,3.6,4.2,1.8,0.0
2,Chauncey Billups\billuch01,27,5,5,188,29,73,9,27,24,26,2,7,9,36,8,0,9,12,91,.397,.333,.923,37.6,18.2,1.8,7.2,1.6,0.0
3,Tayshaun Prince\princta01,23,5,5,186,35,59,4,13,13,15,13,25,38,15,6,11,5,14,87,.593,.308,.867,37.2,17.4,7.6,3.0,1.2,2.2
4,Rasheed Wallace\wallara01,29,5,5,186,29,68,6,19,10,13,13,40,53,13,1,11,14,11,74,.426,.316,.769,37.2,14.8,10.6,2.6,0.2,2.2
5,Ben Wallace\wallabe01,29,5,5,193,21,44,0,0,11,21,19,48,67,12,13,15,6,9,53,.477,,.524,38.6,10.6,13.4,2.4,2.6,3.0
6,Mehmet Okur\okurme01,24,5,0,52,12,18,0,1,7,12,6,8,14,4,0,1,3,1,31,.667,.000,.583,10.4,6.2,2.8,0.8,0.0,0.2
7,Lindsey Hunter\hunteli01,33,5,0,84,8,23,2,12,2,2,3,9,12,12,8,0,6,9,20,.348,.167,1.000,16.8,4.0,2.4,2.4,1.6,0.0
8,Corliss Williamson\willico02,30,4,0,54,8,21,0,0,2,2,5,3,8,1,0,0,7,14,18,.381,,1.000,13.5,4.5,2.0,0.3,0.0,0.0
9,Mike James\jamesmi01,28,5,0,45,5,13,2,3,1,2,0,3,3,5,2,0,2,5,13,.385,.667,.500,9.0,2.6,0.6,1.0,0.4,0.0
10,Darvin Ham\hamda01,30,5,0,30,1,3,0,0,0,0,0,2,2,0,1,2,2,6,2,.333,,,6.0,0.4,0.4,0.0,0.2,0.4
11,Darko Milicic\milicda01,18,2,0,4,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,,,.500,2.0,0.5,0.0,0.0,0.0,0.0
12,Elden Campbell\campbel01,35,1,0,5,0,3,0,0,0,0,0,2,2,1,0,0,0,1,0,.000,,,5.0,0.0,2.0,1.0,0.0,0.0
1,Michael Redd\reddmi01,24,5,5,192,34,83,6,20,16,21,6,19,25,13,0,0,19,16,90,.410,.300,.762,38.4,18.0,5.0,2.6,0.0,0.0
2,Desmond Mason\masonde01,26,5,5,198,25,74,0,2,22,26,4,20,24,12,4,2,12,16,72,.338,.000,.846,39.6,14.4,4.8,2.4,0.8,0.4
3,Joe Smith\smithjo02,28,5,5,175,27,55,0,1,12,13,23,27,50,2,4,10,6,15,66,.491,.000,.923,35.0,13.2,10.0,0.4,0.8,2.0
4,Damon Jones\jonesda01,27,5,5,144,18,34,10,21,4,6,2,18,20,37,5,0,9,14,50,.529,.476,.667,28.8,10.0,4.0,7.4,1.0,0.0
5,Toni Kukoc\kukocto01,35,5,0,105,17,34,4,12,4,8,4,10,14,4,3,2,6,11,42,.500,.333,.500,21.0,8.4,2.8,0.8,0.6,0.4
6,Keith Van Horn\vanhoke01,28,5,2,137,16,48,4,11,4,6,5,18,23,7,7,3,10,15,40,.333,.364,.667,27.4,8.0,4.6,1.4,1.4,0.6
7,Brian Skinner\skinnbr01,27,5,3,94,11,21,0,0,5,12,8,14,22,0,1,3,7,8,27,.524,,.417,18.8,5.4,4.4,0.0,0.2,0.6
8,Brevin Knight\knighbr01,28,5,0,101,6,23,0,0,9,11,3,8,11,17,14,1,7,12,21,.261,,.818,20.2,4.2,2.2,3.4,2.8,0.2
9,Erick Strickland\stricer01,30,3,0,41,5,12,0,5,4,4,0,5,5,9,2,0,3,3,14,.417,.000,1.000,13.7,4.7,1.7,3.0,0.7,0.0
10,Dan Gadzuric\gadzuda01,25,1,0,9,2,4,0,0,0,1,0,1,1,2,1,0,0,1,4,.500,,.000,9.0,4.0,1.0,2.0,1.0,0.0
11,Marcus Haislip\haislma01,23,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1.000,,,3.0,2.0,1.0,0.0,0.0,0.0
12,Daniel Santiago\santida01,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
1,Jermaine O'Neal\onealje01,25,4,4,142,32,72,0,1,14,24,7,27,34,6,5,9,8,11,78,.444,.000,.583,35.5,19.5,8.5,1.5,1.3,2.3
2,Metta World Peace\artesro01,24,3,3,104,23,55,4,13,11,13,2,13,15,13,3,2,7,4,61,.418,.308,.846,34.7,20.3,5.0,4.3,1.0,0.7
3,Al Harrington\harrial01,23,4,1,126,24,47,0,0,10,17,15,24,39,7,13,2,8,12,58,.511,,.588,31.5,14.5,9.8,1.8,3.3,0.5
4,Jonathan Bender\bendejo01,23,4,0,68,14,30,4,9,8,10,5,6,11,2,2,4,1,8,40,.467,.444,.800,17.0,10.0,2.8,0.5,0.5,1.0
5,Reggie Miller\millere01,38,4,4,94,11,31,8,19,9,9,0,6,6,16,8,0,10,5,39,.355,.421,1.000,23.5,9.8,1.5,4.0,2.0,0.0
6,Fred Jones\jonesfr01,24,4,0,103,14,25,5,9,0,1,2,12,14,10,2,2,4,12,33,.560,.556,.000,25.8,8.3,3.5,2.5,0.5,0.5
7,Jamaal Tinsley\tinslja01,25,4,4,112,13,30,5,14,2,2,2,6,8,24,6,1,6,11,33,.433,.357,1.000,28.0,8.3,2.0,6.0,1.5,0.3
8,Anthony Johnson\johnsan02,29,4,0,75,8,19,2,4,5,6,0,6,6,6,4,1,4,11,23,.421,.500,.833,18.8,5.8,1.5,1.5,1.0,0.3
9,Jeff Foster\fosteje01,27,4,4,89,10,15,0,0,1,1,12,18,30,4,6,2,2,13,21,.667,,1.000,22.3,5.3,7.5,1.0,1.5,0.5
10,Austin Croshere\croshau01,28,2,0,34,4,9,1,5,5,6,3,4,7,3,1,1,0,3,14,.444,.200,.833,17.0,7.0,3.5,1.5,0.5,0.5
11,Kenny Anderson\anderke01,33,1,0,6,2,4,0,0,0,0,0,1,1,1,0,0,1,0,4,.500,,,6.0,4.0,1.0,1.0,0.0,0.0
12,Scot Pollard\pollasc01,28,2,0,7,0,1,0,0,1,2,1,0,1,0,1,0,0,1,1,.000,,.500,3.5,0.5,0.5,0.0,0.5,0.0
1,Paul Pierce\piercpa01,26,4,4,162,26,76,5,17,26,31,6,29,35,10,5,4,25,12,83,.342,.294,.839,40.5,20.8,8.8,2.5,1.3,1.0
2,Chucky Atkins\atkinch01,29,4,4,134,17,39,3,10,17,19,3,11,14,15,3,0,10,2,54,.436,.300,.895,33.5,13.5,3.5,3.8,0.8,0.0
3,Mark Blount\blounma01,28,4,4,144,17,35,0,0,14,19,10,27,37,4,6,8,9,17,48,.486,,.737,36.0,12.0,9.3,1.0,1.5,2.0
4,Ricky Davis\davisri01,24,4,0,123,16,40,4,10,11,16,3,9,12,14,2,0,12,7,47,.400,.400,.688,30.8,11.8,3.0,3.5,0.5,0.0
5,Jiri Welsch\welscji01,24,4,4,104,11,23,1,4,9,9,0,12,12,9,2,0,8,7,32,.478,.250,1.000,26.0,8.0,3.0,2.3,0.5,0.0
6,Walter McCarty\mccarwa01,29,4,4,127,11,23,6,15,0,0,3,18,21,8,2,2,4,7,28,.478,.400,,31.8,7.0,5.3,2.0,0.5,0.5
7,Marcus Banks\banksma01,22,4,0,60,7,16,2,5,4,4,1,6,7,7,2,1,3,9,20,.438,.400,1.000,15.0,5.0,1.8,1.8,0.5,0.3
8,Chris Mihm\mihmch01,24,4,0,65,7,22,0,0,6,10,8,10,18,0,4,4,3,12,20,.318,,.600,16.3,5.0,4.5,0.0,1.0,1.0
9,Jumaine Jones\jonesju01,24,2,0,28,2,6,0,2,0,0,1,4,5,2,0,0,0,4,4,.333,.000,,14.0,2.0,2.5,1.0,0.0,0.0
10,Brandon Hunter\huntebr01,23,3,0,10,1,1,0,0,0,0,2,1,3,1,0,1,1,2,2,1.000,,,3.3,0.7,1.0,0.3,0.0,0.3
11,Dana Barros\barroda01,36,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,0.0
12,Michael Stewart\stewami01,28,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
1,Lamar Odom\odomla01,24,7,7,275,42,96,5,16,25,34,16,39,55,26,8,7,28,33,114,.438,.313,.735,39.3,16.3,7.9,3.7,1.1,1.0
2,Dwyane Wade\wadedw01,22,7,7,267,42,99,3,6,21,27,8,20,28,39,9,1,27,22,108,.424,.500,.778,38.1,15.4,4.0,5.6,1.3,0.1
3,Eddie Jones\jonesed02,32,7,7,270,35,93,12,45,23,30,1,28,29,13,9,9,8,20,105,.376,.267,.767,38.6,15.0,4.1,1.9,1.3,1.3
4,Caron Butler\butleca01,23,7,7,272,40,97,0,5,23,33,14,50,64,15,20,2,16,22,103,.412,.000,.697,38.9,14.7,9.1,2.1,2.9,0.3
5,Brian Grant\grantbr01,31,7,7,225,26,56,0,0,5,9,27,36,63,6,4,4,9,25,57,.464,,.556,32.1,8.1,9.0,0.9,0.6,0.6
6,Rafer Alston\alstora01,27,7,0,160,15,49,6,30,16,19,3,12,15,10,3,1,5,13,52,.306,.200,.842,22.9,7.4,2.1,1.4,0.4,0.1
7,Udonis Haslem\hasleud01,23,7,0,144,7,17,0,0,17,24,13,21,34,3,4,3,3,17,31,.412,,.708,20.6,4.4,4.9,0.4,0.6,0.4
8,Rasual Butler\butlera01,24,5,0,38,4,14,2,8,0,0,0,7,7,1,0,0,0,8,10,.286,.250,,7.6,2.0,1.4,0.2,0.0,0.0
9,Malik Allen\allenma01,25,4,0,9,2,4,0,0,1,2,2,2,4,0,0,1,1,1,5,.500,,.500,2.3,1.3,1.0,0.0,0.0,0.3
10,Samaki Walker\walkesa01,27,4,0,11,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,.000,,,2.8,0.0,0.3,0.0,0.0,0.0
11,Loren Woods\woodslo01,25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
12,Wang Zhizhi\zhizhwa01,26,3,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,,,2.3,0.0,0.0,0.3,0.0,0.0
1,Baron Davis\davisba01,24,7,7,260,43,114,16,49,25,33,6,23,29,49,11,5,19,21,127,.377,.327,.758,37.1,18.1,4.1,7.0,1.6,0.7
2,Jamaal Magloire\magloja01,25,7,7,239,28,67,0,1,21,28,16,48,64,5,3,7,11,22,77,.418,.000,.750,34.1,11.0,9.1,0.7,0.4,1.0
3,David Wesley\wesleda01,33,7,7,242,24,74,11,30,15,21,1,15,16,17,5,0,16,21,74,.324,.367,.714,34.6,10.6,2.3,2.4,0.7,0.0
4,P.J. Brown\brownpj01,34,7,7,256,26,71,0,0,10,11,29,39,68,15,3,11,13,16,62,.366,,.909,36.6,8.9,9.7,2.1,0.4,1.6
5,George Lynch\lynchge01,33,7,7,147,25,57,3,12,5,8,13,24,37,12,3,3,7,15,58,.439,.250,.625,21.0,8.3,5.3,1.7,0.4,0.4
6,Stacey Augmon\augmost01,35,7,0,168,18,48,0,1,16,18,4,15,19,7,6,1,13,13,52,.375,.000,.889,24.0,7.4,2.7,1.0,0.9,0.1
7,David West\westda01,23,7,0,111,15,28,0,0,11,13,8,22,30,8,2,4,7,10,41,.536,,.846,15.9,5.9,4.3,1.1,0.3,0.6
8,Steve Smith\smithst01,34,5,0,47,12,26,6,11,2,3,2,6,8,1,0,0,3,5,32,.462,.545,.667,9.4,6.4,1.6,0.2,0.0,0.0
9,Darrell Armstrong\armstda01,35,7,0,150,8,34,5,25,3,3,6,9,15,16,6,0,13,10,24,.235,.200,1.000,21.4,3.4,2.1,2.3,0.9,0.0
10,Robert Traylor\traylro01,26,4,0,40,4,9,0,0,2,3,1,9,10,1,3,1,2,8,10,.444,,.667,10.0,2.5,2.5,0.3,0.8,0.3
11,Shammond Williams\willish01,28,3,0,18,2,5,0,1,3,4,0,0,0,4,1,0,4,5,7,.400,.000,.750,6.0,2.3,0.0,1.3,0.3,0.0
12,Maurice Carter\cartema01,27,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,2.0,0.0,0.0,0.0,0.0,0.0
1,Kenyon Martin\martike01,26,4,4,156,38,59,0,3,17,26,6,50,56,7,7,5,12,17,93,.644,.000,.654,39.0,23.3,14.0,1.8,1.8,1.3
2,Richard Jefferson\jefferi01,23,4,4,155,23,56,2,10,23,33,3,17,20,19,5,1,13,12,71,.411,.200,.697,38.8,17.8,5.0,4.8,1.3,0.3
3,Jason Kidd\kiddja01,30,4,4,164,18,41,5,14,27,32,8,18,26,36,9,3,20,5,68,.439,.357,.844,41.0,17.0,6.5,9.0,2.3,0.8
4,Kerry Kittles\kittlke01,29,4,4,147,22,48,6,19,7,11,4,17,21,4,9,3,3,6,57,.458,.316,.636,36.8,14.3,5.3,1.0,2.3,0.8
5,Aaron Williams\williaa01,32,4,0,54,12,15,0,0,2,4,4,6,10,2,0,3,7,19,26,.800,,.500,13.5,6.5,2.5,0.5,0.0,0.8
