,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James\jamesle01,22,6,6,277,53,118,5,14,43,58,7,48,55,51,16,3,19,8,154,.449,.357,.741,46.2,25.7,9.2,8.5,2.7,0.5
2,Daniel Gibson\gibsoda01,20,6,0,149,18,39,12,24,33,37,6,11,17,8,3,3,7,19,81,.462,.500,.892,24.9,13.5,2.8,1.3,0.5,0.5
3,Zydrunas Ilgauskas\ilgauzy01,31,6,6,194,31,62,0,0,15,19,18,36,54,6,3,5,8,16,77,.500,,.789,32.3,12.8,9.0,1.0,0.5,0.8
4,Drew Gooden\goodedr01,25,6,6,160,24,54,0,0,7,10,9,21,30,4,5,1,10,19,55,.444,,.700,26.6,9.2,5.0,0.7,0.8,0.2
5,Sasha Pavlovic\pavloal01,23,6,6,203,22,56,6,16,5,10,3,14,17,9,6,0,8,17,55,.393,.375,.500,33.8,9.2,2.8,1.5,1.0,0.0
6,Anderson Varejao\varejan01,24,6,0,153,18,39,0,2,9,17,18,20,38,2,8,4,8,21,45,.462,.000,.529,25.6,7.5,6.3,0.3,1.3,0.7
7,Larry Hughes\hughela01,28,6,6,179,14,41,4,9,11,16,2,15,17,13,7,1,12,11,43,.341,.444,.688,29.8,7.2,2.8,2.2,1.2,0.2
8,Donyell Marshall\marshdo01,33,6,0,81,7,22,4,14,0,0,3,11,14,0,0,3,1,13,18,.318,.286,,13.5,3.0,2.3,0.0,0.0,0.5
9,Damon Jones\jonesda01,30,5,0,61,3,14,2,12,0,0,0,3,3,5,0,0,0,7,8,.214,.167,,12.3,1.6,0.6,1.0,0.0,0.0
10,Eric Snow\snower01,33,5,0,33,0,5,0,1,2,4,1,2,3,3,3,0,1,1,2,.000,.000,.500,6.6,0.4,0.6,0.6,0.6,0.0
11,Scot Pollard\pollasc01,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,0.3,0.0,0.0,0.0,0.0,0.0
