,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Luol Deng\denglu01,21,4,4,165,44,76,0,0,17,20,10,26,36,12,7,3,10,10,105,.579,,.850,41.2,26.3,9.0,3.0,1.8,0.8
2,Ben Gordon\gordobe01,23,4,4,170,31,70,10,25,30,35,5,16,21,22,5,1,19,11,102,.443,.400,.857,42.6,25.5,5.3,5.5,1.3,0.3
3,Andres Nocioni\nocioan01,27,4,0,103,17,45,9,19,5,6,2,20,22,6,1,4,4,13,48,.378,.474,.833,25.7,12.0,5.5,1.5,0.3,1.0
4,Kirk Hinrich\hinriki01,26,4,4,120,16,45,5,16,7,7,2,7,9,21,5,1,8,18,44,.356,.313,1.000,30.0,11.0,2.3,5.3,1.3,0.3
5,Ben Wallace\wallabe01,32,4,4,159,13,24,0,0,11,18,10,29,39,7,6,6,3,11,37,.542,,.611,39.9,9.3,9.8,1.8,1.5,1.5
6,P.J. Brown\brownpj01,37,4,4,80,11,22,0,0,4,5,4,14,18,6,4,0,3,11,26,.500,,.800,20.1,6.5,4.5,1.5,1.0,0.0
7,Thabo Sefolosha\sefolth01,22,4,0,45,7,13,2,3,2,2,2,7,9,3,1,0,4,7,18,.538,.667,1.000,11.2,4.5,2.3,0.8,0.3,0.0
8,Chris Duhon\duhonch01,24,4,0,84,4,12,2,7,3,4,2,10,12,13,1,0,2,7,13,.333,.286,.750,20.9,3.3,3.0,3.3,0.3,0.0
9,Tyrus Thomas\thomaty01,20,4,0,21,1,6,0,0,2,3,1,2,3,2,1,2,1,3,4,.167,,.667,5.3,1.0,0.8,0.5,0.3,0.5
10,Malik Allen\allenma01,28,2,0,11,1,2,0,0,0,0,1,0,1,1,0,0,0,3,2,.500,,,5.5,1.0,0.5,0.5,0.0,0.0
11,Adrian Griffin\griffad01,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.3,0.0,0.0,0.0,0.0,0.0
1,Dwyane Wade\wadedw01,25,4,4,162,36,84,0,5,22,32,7,12,19,25,5,2,23,13,94,.429,.000,.688,40.5,23.5,4.8,6.3,1.3,0.5
2,Shaquille O'Neal\onealsh01,34,4,4,121,33,59,0,0,9,27,16,18,34,5,1,6,14,15,75,.559,,.333,30.2,18.8,8.5,1.3,0.3,1.5
3,Antoine Walker\walkean02,30,4,0,92,15,37,8,16,9,11,2,7,9,6,2,1,4,11,47,.405,.500,.818,23.1,11.8,2.3,1.5,0.5,0.3
4,James Posey\poseyja01,30,4,1,139,10,26,6,19,5,5,1,30,31,6,8,5,5,18,31,.385,.316,1.000,34.6,7.8,7.8,1.5,2.0,1.3
5,Udonis Haslem\hasleud01,26,4,4,103,12,25,0,0,6,8,4,17,21,4,1,2,2,14,30,.480,,.750,25.7,7.5,5.3,1.0,0.3,0.5
6,Alonzo Mourning\mournal01,36,4,0,55,10,11,0,0,5,13,1,7,8,1,0,3,1,6,25,.909,,.385,13.8,6.3,2.0,0.3,0.0,0.8
7,Jason Williams\willija02,31,4,4,112,7,28,5,17,4,5,0,8,8,14,5,1,3,5,23,.250,.294,.800,27.9,5.8,2.0,3.5,1.3,0.3
8,Jason Kapono\kaponja01,25,4,1,77,8,17,2,4,2,2,0,5,5,2,2,0,1,9,20,.471,.500,1.000,19.2,5.0,1.3,0.5,0.5,0.0
9,Eddie Jones\jonesed02,35,3,2,66,2,9,1,6,5,6,1,5,6,5,1,1,1,7,10,.222,.167,.833,22.2,3.3,2.0,1.7,0.3,0.3
10,Michael Doleac\doleami01,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.8,0.0,0.0,0.0,0.0,0.0
11,Gary Payton\paytoga01,38,2,0,32,0,3,0,1,0,0,0,4,4,3,0,0,4,3,0,.000,.000,,16.0,0.0,2.0,1.5,0.0,0.0
12,Dorell Wright\wrighdo01,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.8,0.0,0.0,0.0,0.0,0.0
1,LeBron James\jamesle01,22,4,4,182,34,80,4,15,39,48,9,25,34,30,7,3,7,9,111,.425,.267,.813,45.4,27.8,8.5,7.5,1.8,0.8
2,Larry Hughes\hughela01,28,4,4,169,23,52,5,16,25,26,1,26,27,11,5,2,11,7,76,.442,.313,.962,42.2,19.0,6.8,2.8,1.3,0.5
3,Zydrunas Ilgauskas\ilgauzy01,31,4,4,153,30,50,0,0,16,19,13,31,44,3,1,6,10,14,76,.600,,.842,38.3,19.0,11.0,0.8,0.3,1.5
4,Drew Gooden\goodedr01,25,4,4,131,25,41,0,1,8,9,12,28,40,11,1,2,5,14,58,.610,.000,.889,32.7,14.5,10.0,2.8,0.3,0.5
5,Sasha Pavlovic\pavloal01,23,4,4,101,12,37,2,9,3,4,3,8,11,9,3,1,9,13,29,.324,.222,.750,25.2,7.3,2.8,2.3,0.8,0.3
6,Daniel Gibson\gibsoda01,20,4,0,47,5,9,4,5,3,3,1,3,4,1,1,0,1,2,17,.556,.800,1.000,11.8,4.3,1.0,0.3,0.3,0.0
7,Eric Snow\snower01,33,4,0,77,6,15,0,2,3,4,1,8,9,9,2,0,2,5,15,.400,.000,.750,19.1,3.8,2.3,2.3,0.5,0.0
8,Anderson Varejao\varejan01,24,4,0,80,5,17,0,1,3,8,9,15,24,5,1,0,3,6,13,.294,.000,.375,20.1,3.3,6.0,1.3,0.3,0.0
9,Donyell Marshall\marshdo01,33,3,0,14,2,5,2,5,0,0,1,2,3,0,0,0,1,3,6,.400,.400,,4.6,2.0,1.0,0.0,0.0,0.0
10,Ira Newble\newblir01,32,4,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,.000,.000,,1.8,0.0,0.0,0.0,0.0,0.0
1,Antawn Jamison\jamisan01,30,4,4,173,49,103,9,26,21,28,13,26,39,5,2,4,7,13,128,.476,.346,.750,43.1,32.0,9.8,1.3,0.5,1.0
2,Antonio Daniels\daniean01,31,4,4,176,17,38,1,5,18,21,2,16,18,47,5,1,7,4,53,.447,.200,.857,43.9,13.3,4.5,11.8,1.3,0.3
3,Jarvis Hayes\hayesja01,25,4,4,139,15,46,7,19,6,7,4,10,14,4,2,1,0,12,43,.326,.368,.857,34.7,10.8,3.5,1.0,0.5,0.3
4,Darius Songaila\songada01,28,4,0,90,20,41,0,2,3,3,5,8,13,4,3,0,4,17,43,.488,.000,1.000,22.4,10.8,3.3,1.0,0.8,0.0
5,Roger Mason\masonro01,26,4,0,56,7,16,5,10,5,6,0,2,2,1,1,0,3,10,24,.438,.500,.833,13.9,6.0,0.5,0.3,0.3,0.0
6,DeShawn Stevenson\stevede01,25,4,4,122,9,46,3,19,3,7,2,8,10,7,2,3,3,4,24,.196,.158,.429,30.5,6.0,2.5,1.8,0.5,0.8
7,Etan Thomas\thomaet01,28,4,4,84,7,17,0,0,6,9,2,20,22,1,2,3,6,9,20,.412,,.667,20.9,5.0,5.5,0.3,0.5,0.8
8,Brendan Haywood\haywobr01,27,3,0,34,5,7,0,0,3,4,3,2,5,1,1,0,1,7,13,.714,,.750,11.2,4.3,1.7,0.3,0.3,0.0
9,Andray Blatche\blatcan01,20,2,0,25,4,6,0,0,1,1,3,4,7,0,0,0,1,2,9,.667,,1.000,12.4,4.5,3.5,0.0,0.0,0.0
10,Calvin Booth\boothca01,30,1,0,18,2,3,0,0,0,0,2,2,4,1,1,0,1,3,4,.667,,,18.4,4.0,4.0,1.0,1.0,0.0
11,Donell Taylor\taylodo01,24,2,0,17,1,6,0,0,1,1,0,3,3,4,0,0,2,2,3,.167,,1.000,8.6,1.5,1.5,2.0,0.0,0.0
12,Michael Ruffin\ruffimi01,30,4,0,28,1,3,0,1,0,0,5,4,9,0,3,0,0,2,2,.333,.000,,7.0,0.5,2.3,0.0,0.8,0.0
1,Chauncey Billups\billuch01,30,4,4,165,26,50,8,20,29,34,1,15,16,28,5,1,11,11,89,.520,.400,.853,41.3,22.3,4.0,7.0,1.3,0.3
2,Richard Hamilton\hamilri01,28,4,4,161,22,57,1,4,28,33,6,7,13,12,3,0,6,13,73,.386,.250,.848,40.2,18.3,3.3,3.0,0.8,0.0
3,Tayshaun Prince\princta01,26,4,4,154,23,43,7,10,13,16,7,14,21,15,3,2,8,6,66,.535,.700,.813,38.6,16.5,5.3,3.8,0.8,0.5
4,Rasheed Wallace\wallara01,32,4,4,137,22,49,10,19,7,8,5,26,31,6,2,4,0,16,61,.449,.526,.875,34.3,15.3,7.8,1.5,0.5,1.0
5,Chris Webber\webbech01,33,4,4,122,21,36,0,0,6,14,11,20,31,8,4,3,4,13,48,.583,,.429,30.6,12.0,7.8,2.0,1.0,0.8
6,Antonio McDyess\mcdyean01,32,4,0,93,8,32,0,1,6,8,15,22,37,5,4,4,4,15,22,.250,.000,.750,23.3,5.5,9.3,1.3,1.0,1.0
7,Carlos Delfino\delfica01,24,4,0,49,7,14,1,5,3,4,1,7,8,2,3,0,1,4,18,.500,.200,.750,12.4,4.5,2.0,0.5,0.8,0.0
8,Ronald Murray\murraro01,27,3,0,37,1,6,0,0,4,6,0,1,1,3,4,0,2,6,6,.167,,.667,12.3,2.0,0.3,1.0,1.3,0.0
9,Dale Davis\davisda01,37,3,0,25,1,4,0,0,1,2,1,1,2,1,1,2,1,7,3,.250,,.500,8.3,1.0,0.7,0.3,0.3,0.7
10,Jason Maxiell\maxieja01,23,2,0,6,1,1,0,0,0,0,0,1,1,0,0,1,0,0,2,1.000,,,2.8,1.0,0.5,0.0,0.0,0.5
11,Lindsey Hunter\hunteli01,36,2,0,10,0,2,0,2,0,0,0,0,0,3,0,0,1,1,0,.000,.000,,4.9,0.0,0.0,1.5,0.0,0.0
1,Dwight Howard\howardw01,21,4,4,167,23,42,0,0,15,33,16,43,59,7,2,4,17,13,61,.548,,.455,41.9,15.3,14.8,1.8,0.5,1.0
2,Grant Hill\hillgr01,34,4,4,143,19,38,0,0,22,33,2,20,22,15,2,1,10,8,60,.500,,.667,35.8,15.0,5.5,3.8,0.5,0.3
3,Jameer Nelson\nelsoja01,24,4,4,129,21,50,5,14,10,11,4,8,12,13,3,0,9,19,57,.420,.357,.909,32.3,14.3,3.0,3.3,0.8,0.0
4,Hedo Turkoglu\turkohe01,27,4,4,156,25,50,3,9,2,4,2,11,13,14,5,4,10,14,55,.500,.333,.500,38.9,13.8,3.3,3.5,1.3,1.0
