,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Dwyane Wade\wadedw01,24,6,6,243,58,94,2,8,42,52,4,27,31,33,11,9,28,16,160,.617,.250,.808,40.4,26.7,5.2,5.5,1.8,1.5
2,Shaquille O'Neal\onealsh01,33,6,6,207,55,84,0,0,20,48,23,40,63,2,3,14,26,19,130,.655,,.417,34.5,21.7,10.5,0.3,0.5,2.3
3,Antoine Walker\walkean02,29,6,6,228,23,59,10,32,11,15,5,28,33,17,6,0,15,20,67,.390,.313,.733,38.0,11.2,5.5,2.8,1.0,0.0
4,Jason Williams\willija02,30,6,6,167,23,42,4,18,1,1,0,11,11,22,3,0,6,13,51,.548,.222,1.000,27.9,8.5,1.8,3.7,0.5,0.0
5,Udonis Haslem\hasleud01,25,6,6,197,21,55,0,1,4,9,8,35,43,7,2,4,7,23,46,.382,.000,.444,32.8,7.7,7.2,1.2,0.3,0.7
6,Gary Payton\paytoga01,37,6,0,158,12,34,4,17,9,12,0,11,11,12,5,1,4,14,37,.353,.235,.750,26.4,6.2,1.8,2.0,0.8,0.2
7,James Posey\poseyja01,29,6,0,155,9,22,7,17,5,6,3,28,31,6,4,0,1,13,30,.409,.412,.833,25.8,5.0,5.2,1.0,0.7,0.0
8,Alonzo Mourning\mournal01,35,6,0,63,5,8,0,0,5,10,5,16,21,1,1,7,2,14,15,.625,,.500,10.5,2.5,3.5,0.2,0.2,1.2
9,Shandon Anderson\andersh01,32,4,0,18,1,2,1,1,0,0,0,2,2,0,0,1,1,1,3,.500,1.000,,4.5,0.8,0.5,0.0,0.0,0.3
10,Derek Anderson\anderde01,31,2,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,.000,.000,,2.6,0.0,0.0,0.0,0.0,0.0
1,Richard Hamilton\hamilri01,27,6,6,240,45,119,5,17,29,32,9,14,23,12,7,2,16,25,124,.378,.294,.906,39.9,20.7,3.8,2.0,1.2,0.3
2,Chauncey Billups\billuch01,29,6,6,247,34,87,7,27,33,37,4,13,17,43,5,1,13,17,108,.391,.259,.892,41.1,18.0,2.8,7.2,0.8,0.2
3,Tayshaun Prince\princta01,25,6,6,248,36,82,8,20,17,20,16,21,37,16,4,4,9,3,97,.439,.400,.850,41.4,16.2,6.2,2.7,0.7,0.7
4,Rasheed Wallace\wallara01,31,6,6,217,25,69,7,27,6,9,4,34,38,7,3,2,9,26,63,.362,.259,.667,36.2,10.5,6.3,1.2,0.5,0.3
5,Antonio McDyess\mcdyean01,31,6,0,118,13,28,0,1,10,18,8,22,30,2,3,2,5,18,36,.464,.000,.556,19.7,6.0,5.0,0.3,0.5,0.3
6,Ben Wallace\wallabe01,31,6,6,206,14,21,0,0,8,24,21,36,57,10,9,4,4,16,36,.667,,.333,34.4,6.0,9.5,1.7,1.5,0.7
7,Lindsey Hunter\hunteli01,35,6,0,79,7,28,3,14,4,4,2,2,4,4,7,0,5,13,21,.250,.214,1.000,13.2,3.5,0.7,0.7,1.2,0.0
8,Tony Delk\delkto01,32,5,0,32,4,11,0,2,3,4,3,1,4,1,1,0,0,2,11,.364,.000,.750,6.4,2.2,0.8,0.2,0.2,0.0
9,Maurice Evans\evansma01,27,4,0,22,3,6,2,3,2,2,0,3,3,0,0,0,0,2,10,.500,.667,1.000,5.4,2.5,0.8,0.0,0.0,0.0
10,Dale Davis\davisda01,36,4,0,19,0,2,0,0,2,4,1,2,3,0,0,0,0,6,2,.000,,.500,4.8,0.5,0.8,0.0,0.0,0.0
11,Carlos Delfino\delfica01,23,3,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,,,4.0,0.0,0.0,0.0,0.0,0.0
1,Dirk Nowitzki\nowitdi01,27,6,6,246,55,121,8,16,50,56,19,60,79,21,8,5,10,12,168,.455,.500,.893,41.0,28.0,13.2,3.5,1.3,0.8
2,Josh Howard\howarjo01,25,6,6,204,45,91,8,21,18,24,14,36,50,6,9,3,13,19,116,.495,.381,.750,34.0,19.3,8.3,1.0,1.5,0.5
3,Jason Terry\terryja01,28,6,6,214,37,89,5,20,17,22,4,14,18,21,5,1,11,18,96,.416,.250,.773,35.6,16.0,3.0,3.5,0.8,0.2
4,Jerry Stackhouse\stackje01,31,6,0,198,29,69,4,15,17,22,6,12,18,16,4,1,12,14,79,.420,.267,.773,33.0,13.2,3.0,2.7,0.7,0.2
5,Devin Harris\harride01,22,6,6,137,28,48,0,2,10,17,6,5,11,14,8,0,8,17,66,.583,.000,.588,22.9,11.0,1.8,2.3,1.3,0.0
6,Adrian Griffin\griffad01,31,6,0,127,12,22,0,0,3,3,7,20,27,7,3,1,5,13,27,.545,,1.000,21.1,4.5,4.5,1.2,0.5,0.2
7,Keith Van Horn\vanhoke01,30,6,3,103,11,34,2,13,1,1,7,15,22,2,0,2,1,5,25,.324,.154,1.000,17.2,4.2,3.7,0.3,0.0,0.3
8,DeSagana Diop\diopde01,24,5,2,128,10,15,0,0,1,1,15,20,35,1,4,7,1,14,21,.667,,1.000,25.6,4.2,7.0,0.2,0.8,1.4
9,Marquis Daniels\daniema01,25,5,0,35,4,11,0,0,5,7,3,0,3,0,1,0,3,0,13,.364,,.714,7.1,2.6,0.6,0.0,0.2,0.0
10,Erick Dampier\dampier01,30,2,1,24,3,4,0,0,2,4,3,3,6,1,0,0,0,4,8,.750,,.500,11.8,4.0,3.0,0.5,0.0,0.0
11,Darrell Armstrong\armstda01,37,4,0,22,2,9,0,5,0,0,0,3,3,1,0,1,0,5,4,.222,.000,,5.4,1.0,0.8,0.3,0.0,0.3
12,Josh Powell\poweljo01,23,2,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,.000,,,1.2,0.0,0.5,0.5,0.0,0.0
1,Boris Diaw\diawbo01,23,6,6,236,59,113,1,4,26,34,17,34,51,19,4,10,20,22,145,.522,.250,.765,39.4,24.2,8.5,3.2,0.7,1.7
2,Steve Nash\nashst01,31,6,6,229,46,89,10,23,22,23,1,19,20,61,2,3,19,13,124,.517,.435,.957,38.2,20.7,3.3,10.2,0.3,0.5
3,Shawn Marion\mariosh01,27,6,6,250,43,81,4,12,11,13,19,60,79,4,11,7,7,18,101,.531,.333,.846,41.7,16.8,13.2,0.7,1.8,1.2
4,Tim Thomas\thomati01,28,6,6,208,32,64,15,29,11,18,4,24,28,5,3,3,9,32,90,.500,.517,.611,34.7,15.0,4.7,0.8,0.5,0.5
5,Leandro Barbosa\barbole01,23,6,2,205,31,73,9,20,9,13,2,13,15,15,3,0,9,22,80,.425,.450,.692,34.1,13.3,2.5,2.5,0.5,0.0
6,Raja Bell\bellra01,29,4,4,130,10,23,4,13,2,3,3,6,9,8,2,0,1,16,26,.435,.308,.667,32.5,6.5,2.3,2.0,0.5,0.0
7,Eddie House\houseed01,27,5,0,57,10,24,1,8,2,2,0,5,5,5,0,1,1,3,23,.417,.125,1.000,11.4,4.6,1.0,1.0,0.0,0.2
8,James Jones\jonesja02,25,6,0,114,6,17,1,3,4,6,5,17,22,3,1,10,3,7,17,.353,.333,.667,19.0,2.8,3.7,0.5,0.2,1.7
9,Kurt Thomas\thomaku01,33,1,0,6,0,0,0,0,1,2,0,1,1,0,0,0,0,2,1,,,.500,5.8,1.0,1.0,0.0,0.0,0.0
10,Pat Burke\burkepa01,32,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,,2.9,0.0,0.0,0.0,0.0,0.0
11,Nikoloz Tskitishvili\tskitni01,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.4,0.0,0.0,0.0,0.0,0.0
