,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James\jamesle01,29,6,6,215,52,93,6,18,27,33,4,34,38,33,11,5,20,17,137,.559,.333,.818,35.8,22.8,6.3,5.5,1.8,0.8
2,Dwyane Wade\wadedw01,32,6,6,212,48,88,6,13,17,20,6,20,26,28,10,1,16,15,119,.545,.462,.850,35.4,19.8,4.3,4.7,1.7,0.2
3,Chris Bosh\boshch01,29,6,6,195,38,80,8,26,13,18,12,24,36,7,6,5,4,21,97,.475,.308,.722,32.5,16.2,6.0,1.2,1.0,0.8
4,Ray Allen\allenra02,38,6,0,157,17,42,12,27,12,13,1,16,17,8,2,2,6,10,58,.405,.444,.923,26.2,9.7,2.8,1.3,0.3,0.3
5,Mario Chalmers\chalmma01,27,6,6,166,14,29,4,10,2,3,2,14,16,21,4,3,10,13,34,.483,.400,.667,27.7,5.7,2.7,3.5,0.7,0.5
6,Rashard Lewis\lewisra02,34,4,3,100,11,28,9,22,0,0,2,7,9,1,3,2,2,7,31,.393,.409,,25.0,7.8,2.3,0.3,0.8,0.5
7,Chris Andersen\anderch01,35,4,0,82,12,16,0,1,5,8,7,26,33,3,1,3,3,8,29,.750,.000,.625,20.6,7.3,8.3,0.8,0.3,0.8
8,Norris Cole\coleno01,25,6,0,130,9,21,4,10,7,8,0,6,6,13,4,0,5,11,29,.429,.400,.875,21.6,4.8,1.0,2.2,0.7,0.0
9,Udonis Haslem\hasleud01,33,6,2,79,11,18,0,0,4,8,6,11,17,2,0,0,0,13,26,.611,,.500,13.1,4.3,2.8,0.3,0.0,0.0
10,Shane Battier\battish01,35,6,1,74,6,11,6,10,4,5,0,4,4,1,1,0,2,12,22,.545,.600,.800,12.3,3.7,0.7,0.2,0.2,0.0
11,Toney Douglas\douglto01,27,4,0,14,2,2,2,2,0,0,1,0,1,3,0,0,0,2,6,1.000,1.000,,3.4,1.5,0.3,0.8,0.0,0.0
12,James Jones\jonesja02,33,3,0,9,1,4,1,3,0,0,0,1,1,0,0,0,0,0,3,.250,.333,,2.9,1.0,0.3,0.0,0.0,0.0
13,Michael Beasley\beaslmi01,25,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,3.2,0.0,0.0,0.0,0.0,0.0
14,Greg Oden\odengr01,26,1,0,5,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,,,,4.6,0.0,1.0,1.0,1.0,0.0
1,Paul George\georgpa01,23,6,6,243,47,104,19,50,31,44,4,28,32,24,11,1,17,17,144,.452,.380,.705,40.6,24.0,5.3,4.0,1.8,0.2
2,David West\westda01,33,6,6,214,42,75,0,3,13,17,9,35,44,18,4,2,16,21,97,.560,.000,.765,35.7,16.2,7.3,3.0,0.7,0.3
3,Lance Stephenson\stephla01,23,6,6,242,32,65,6,19,14,19,10,25,35,30,6,0,14,23,84,.492,.316,.737,40.3,14.0,5.8,5.0,1.0,0.0
4,George Hill\hillge01,27,6,6,214,23,53,12,27,11,16,5,19,24,11,8,1,9,11,69,.434,.444,.688,35.7,11.5,4.0,1.8,1.3,0.2
