,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James\jamesle01,28,4,4,147,37,59,3,11,21,30,5,26,31,27,4,1,19,9,98,.627,.273,.700,36.8,24.5,7.8,6.8,1.0,0.3
2,Ray Allen\allenra02,37,4,0,115,21,45,13,28,11,11,5,12,17,9,4,0,5,5,66,.467,.464,1.000,28.9,16.5,4.3,2.3,1.0,0.0
3,Chris Bosh\boshch01,28,4,4,122,21,39,3,7,6,9,4,28,32,4,2,7,7,11,51,.538,.429,.667,30.6,12.8,8.0,1.0,0.5,1.8
4,Dwyane Wade\wadedw01,31,3,3,101,14,38,0,0,13,18,9,12,21,19,9,3,12,3,41,.368,,.722,33.6,13.7,7.0,6.3,3.0,1.0
5,Chris Andersen\anderch01,34,4,0,59,13,16,0,0,7,12,9,12,21,2,2,2,3,7,33,.813,,.583,14.8,8.3,5.3,0.5,0.5,0.5
6,Udonis Haslem\hasleud01,32,4,4,68,13,21,0,0,4,6,5,14,19,0,1,2,5,9,30,.619,,.667,16.9,7.5,4.8,0.0,0.3,0.5
7,Mario Chalmers\chalmma01,26,4,4,114,10,22,2,8,4,7,3,9,12,18,7,1,7,11,26,.455,.250,.571,28.6,6.5,3.0,4.5,1.8,0.3
8,Norris Cole\coleno01,24,4,0,85,9,19,2,5,4,4,2,6,8,8,7,0,4,12,24,.474,.400,1.000,21.1,6.0,2.0,2.0,1.8,0.0
9,Shane Battier\battish01,34,4,0,99,5,22,4,18,6,6,1,7,8,3,0,0,1,9,20,.227,.222,1.000,24.7,5.0,2.0,0.8,0.0,0.0
10,Mike Miller\millemi01,32,2,1,25,2,10,1,7,0,0,0,2,2,4,0,0,0,2,5,.200,.143,,12.4,2.5,1.0,2.0,0.0,0.0
11,Rashard Lewis\lewisra02,33,3,0,14,2,6,0,3,0,0,0,1,1,0,1,1,1,1,4,.333,.000,,4.8,1.3,0.3,0.0,0.3,0.3
12,Joel Anthony\anthojo01,30,3,0,6,1,1,0,0,0,0,0,2,2,0,0,0,1,1,2,1.000,,,2.1,0.7,0.7,0.0,0.0,0.0
13,James Jones\jonesja02,32,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2.3,0.0,0.0,0.0,0.0,0.0
1,Monta Ellis\ellismo01,27,4,4,152,24,55,3,19,6,16,2,11,13,22,10,1,14,8,57,.436,.158,.375,37.9,14.3,3.3,5.5,2.5,0.3
2,Brandon Jennings\jennibr01,23,4,4,133,17,57,6,28,13,18,1,8,9,16,9,1,11,6,53,.298,.214,.722,33.3,13.3,2.3,4.0,2.3,0.3
3,Mike Dunleavy\dunlemi02,32,4,0,91,17,30,7,16,8,9,3,13,16,8,2,0,3,5,49,.567,.438,.889,22.9,12.3,4.0,2.0,0.5,0.0
4,Ersan Ilyasova\ilyaser01,25,4,4,117,20,46,4,10,2,2,10,19,29,7,5,1,6,8,46,.435,.400,1.000,29.3,11.5,7.3,1.8,1.3,0.3
5,Larry Sanders\sandela01,24,4,4,113,19,33,0,0,5,11,11,22,33,5,3,5,12,18,43,.576,,.455,28.2,10.8,8.3,1.3,0.8,1.3
6,Luc Mbah a Moute\mbahalu01,26,4,4,136,10,23,0,4,13,18,4,10,14,7,4,0,5,9,33,.435,.000,.722,33.9,8.3,3.5,1.8,1.0,0.0
7,J.J. Redick\redicjj01,28,4,0,69,11,25,4,12,3,3,0,3,3,5,1,0,6,9,29,.440,.333,1.000,17.3,7.3,0.8,1.3,0.3,0.0
8,Marquis Daniels\daniema01,32,3,0,33,6,11,0,2,0,0,0,4,4,4,1,0,1,3,12,.545,.000,,11.1,4.0,1.3,1.3,0.3,0.0
9,Ekpe Udoh\udohek01,25,4,0,54,4,9,0,0,0,0,3,3,6,1,2,2,0,4,8,.444,,,13.6,2.0,1.5,0.3,0.5,0.5
10,John Henson\hensojo01,22,4,0,33,3,11,0,1,0,0,0,8,8,1,2,0,2,5,6,.273,.000,,8.3,1.5,2.0,0.3,0.5,0.0
11,Gustavo Ayon\ayongu01,27,3,0,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,.500,,,2.5,1.3,0.0,0.0,0.0,0.0
12,Samuel Dalembert\dalemsa01,31,1,0,9,0,2,0,0,1,4,1,2,3,0,1,0,2,3,1,.000,,.250,9.1,1.0,3.0,0.0,1.0,0.0
13,Ish Smith\smithis01,24,4,0,11,0,1,0,0,0,0,0,1,1,3,0,0,1,1,0,.000,,,2.8,0.0,0.3,0.8,0.0,0.0
1,Carmelo Anthony\anthoca01,28,6,6,248,61,160,9,34,44,49,2,30,32,11,8,1,16,17,175,.381,.265,.898,41.3,29.2,5.3,1.8,1.3,0.2
2,Raymond Felton\feltora01,28,6,6,246,45,96,6,22,7,14,7,17,24,32,10,3,13,12,103,.469,.273,.500,41.0,17.2,4.0,5.3,1.7,0.5
3,J.R. Smith\smithjr01,27,5,0,159,28,73,9,27,11,16,1,21,22,7,5,2,12,14,76,.384,.333,.688,31.9,15.2,4.4,1.4,1.0,0.4
4,Iman Shumpert\shumpim01,22,6,6,171,19,42,10,19,6,8,10,31,41,8,11,3,7,21,54,.452,.526,.750,28.5,9.0,6.8,1.3,1.8,0.5
5,Tyson Chandler\chandty01,30,6,6,171,13,24,0,0,5,7,21,31,52,3,5,4,6,19,31,.542,,.714,28.5,5.2,8.7,0.5,0.8,0.7
6,Pablo Prigioni\prigipa01,35,5,5,112,10,27,8,19,2,4,2,10,12,12,11,0,4,8,30,.370,.421,.500,22.4,6.0,2.4,2.4,2.2,0.0
7,Kenyon Martin\martike01,35,6,0,120,11,21,0,0,5,9,11,21,32,3,3,9,5,21,27,.524,,.556,20.0,4.5,5.3,0.5,0.5,1.5
8,Steve Novak\novakst01,29,5,0,42,6,10,3,6,0,0,2,2,4,0,1,0,0,3,15,.600,.500,,8.3,3.0,0.8,0.0,0.2,0.0
9,Jason Kidd\kiddja01,39,6,0,158,3,17,3,11,2,2,6,25,31,14,6,4,8,10,11,.176,.273,1.000,26.4,1.8,5.2,2.3,1.0,0.7
10,Marcus Camby\cambyma01,38,2,0,3,1,1,0,0,0,0,1,1,2,0,0,0,1,1,2,1.000,,,1.5,1.0,1.0,0.0,0.0,0.0
11,James White\whiteja02,30,3,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,.500,.000,,1.4,0.7,0.0,0.0,0.0,0.0
12,Chris Copeland\copelch01,28,3,1,24,0,5,0,3,0,0,0,1,1,0,2,0,1,1,0,.000,.000,,7.9,0.0,0.3,0.0,0.7,0.0
13,Quentin Richardson\richaqu01,32,3,0,8,0,3,0,2,0,0,0,1,1,0,0,0,0,1,0,.000,.000,,2.5,0.0,0.3,0.0,0.0,0.0
1,Jeff Green\greenje02,26,6,6,258,37,85,10,22,38,45,6,26,32,14,2,4,19,22,122,.435,.455,.844,43.0,20.3,5.3,2.3,0.3,0.7
2,Paul Pierce\piercpa01,35,6,6,255,39,106,11,41,26,29,4,30,34,32,5,3,32,21,115,.368,.268,.897,42.5,19.2,5.7,5.3,0.8,0.5
3,Kevin Garnett\garneke01,36,6,6,212,30,60,0,2,16,17,9,73,82,21,5,6,19,23,76,.500,.000,.941,35.3,12.7,13.7,3.5,0.8,1.0
4,Jason Terry\terryja01,35,6,1,189,24,54,15,34,9,11,0,13,13,12,4,2,5,9,72,.444,.441,.818,31.5,12.0,2.2,2.0,0.7,0.3
5,Brandon Bass\bassbr01,27,6,5,204,14,29,0,0,12,15,8,32,40,7,2,1,5,17,40,.483,,.800,33.9,6.7,6.7,1.2,0.3,0.2
6,Avery Bradley\bradlav01,22,6,6,191,17,42,2,8,4,4,3,10,13,8,11,1,11,11,40,.405,.250,1.000,31.9,6.7,2.2,1.3,1.8,0.2
7,Jordan Crawford\crawfjo02,24,5,0,59,7,23,3,12,1,2,0,3,3,0,2,0,3,3,18,.304,.250,.500,11.8,3.6,0.6,0.0,0.4,0.0
8,Courtney Lee\leeco01,27,4,0,39,1,5,0,2,4,4,0,2,2,1,2,0,0,3,6,.200,.000,1.000,9.8,1.5,0.5,0.3,0.5,0.0
9,Terrence Williams\willite01,25,5,0,48,2,10,0,3,1,2,1,9,10,6,0,1,4,3,5,.200,.000,.500,9.6,1.0,2.0,1.2,0.0,0.2
10,Shavlik Randolph\randosh01,29,1,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,,,,3.2,0.0,3.0,0.0,0.0,0.0
11,Chris Wilcox\wilcoch01,30,2,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,,,3.1,0.0,1.0,0.0,0.0,0.0
1,Paul George\georgpa01,22,6,6,240,33,79,7,25,39,48,8,49,57,30,11,5,16,20,112,.418,.280,.813,39.9,18.7,9.5,5.0,1.8,0.8
2,David West\westda01,32,6,6,202,39,80,0,2,20,23,6,29,35,11,4,4,14,17,98,.488,.000,.870,33.6,16.3,5.8,1.8,0.7,0.7
3,George Hill\hillge01,26,6,6,209,31,69,10,30,19,22,3,19,22,26,9,1,13,11,91,.449,.333,.864,34.9,15.2,3.7,4.3,1.5,0.2
4,Roy Hibbert\hibbero01,26,6,6,193,32,67,0,0,24,29,23,30,53,9,1,11,14,21,88,.478,,.828,32.1,14.7,8.8,1.5,0.2,1.8
5,Lance Stephenson\stephla01,22,6,6,199,18,41,5,16,6,12,2,46,48,26,7,1,15,16,47,.439,.313,.500,33.2,7.8,8.0,4.3,1.2,0.2
6,Gerald Green\greenge01,27,5,0,72,14,34,9,23,2,2,2,4,6,2,0,1,2,4,39,.412,.391,1.000,14.4,7.8,1.2,0.4,0.0,0.2
7,Tyler Hansbrough\hansbty01,27,6,0,96,10,25,0,0,14,21,18,10,28,3,5,0,7,19,34,.400,,.667,16.0,5.7,4.7,0.5,0.8,0.0
8,D.J. Augustin\augusdj01,25,6,0,100,9,34,7,24,7,8,1,8,9,6,3,0,3,9,32,.265,.292,.875,16.7,5.3,1.5,1.0,0.5,0.0
9,Jeff Ayres\pendeje02,25,5,0,59,7,22,0,1,0,0,4,12,16,1,0,1,2,12,14,.318,.000,,11.8,2.8,3.2,0.2,0.0,0.2
10,Ian Mahinmi\mahinia01,26,5,0,40,4,13,0,0,1,2,7,7,14,1,0,4,2,13,9,.308,,.500,8.1,1.8,2.8,0.2,0.0,0.8
11,Orlando Johnson\johnsor01,23,4,0,12,0,5,0,1,3,5,0,2,2,0,0,0,1,0,3,.000,.000,.600,3.0,0.8,0.5,0.0,0.0,0.0
12,Ben Hansbrough\hansbbe01,25,2,0,8,0,2,0,2,0,0,1,1,2,1,0,1,1,1,0,.000,.000,,4.1,0.0,1.0,0.5,0.0,0.5
13,Sam Young\youngsa01,27,2,0,10,0,4,0,2,0,0,2,2,4,2,1,0,0,0,0,.000,.000,,5.0,0.0,2.0,1.0,0.5,0.0
1,Josh Smith\smithjo03,27,6,6,199,39,90,5,20,19,36,10,35,45,21,11,3,16,21,102,.433,.250,.528,33.2,17.0,7.5,3.5,1.8,0.5
2,Al Horford\horfoal01,26,6,6,218,41,83,0,0,18,27,12,41,53,18,6,5,9,17,100,.494,,.667,36.3,16.7,8.8,3.0,1.0,0.8
3,Jeff Teague\teaguje01,24,6,6,213,27,81,3,10,23,28,3,14,17,30,9,2,14,17,80,.333,.300,.821,35.5,13.3,2.8,5.0,1.5,0.3
4,Devin Harris\harride01,29,6,6,225,23,63,5,25,17,25,2,15,17,22,10,1,12,18,68,.365,.200,.680,37.6,11.3,2.8,3.7,1.7,0.2
5,Kyle Korver\korveky01,31,6,2,177,19,49,12,34,11,12,0,20,20,4,2,4,6,14,61,.388,.353,.917,29.6,10.2,3.3,0.7,0.3,0.7
6,Ivan Johnson\johnsiv01,28,6,0,108,12,26,0,0,12,18,9,11,20,3,4,3,6,23,36,.462,,.667,18.0,6.0,3.3,0.5,0.7,0.5
7,Johan Petro\petrojo01,27,6,4,101,14,27,0,0,1,2,4,18,22,4,1,4,3,18,29,.519,,.500,16.8,4.8,3.7,0.7,0.2,0.7
8,Anthony Tolliver\tollian01,27,6,0,68,8,14,7,11,1,3,3,6,9,1,1,1,1,7,24,.571,.636,.333,11.4,4.0,1.5,0.2,0.2,0.2
9,Mike Scott\scottmi01,24,4,0,20,5,10,0,1,3,4,1,6,7,1,0,0,0,2,13,.500,.000,.750,5.0,3.3,1.8,0.3,0.0,0.0
10,Shelvin Mack\macksh01,22,4,0,22,4,9,2,5,0,0,3,4,7,7,0,0,0,0,10,.444,.400,,5.5,2.5,1.8,1.8,0.0,0.0
11,DeShawn Stevenson\stevede01,31,4,0,45,3,5,3,5,0,0,3,7,10,1,0,0,2,5,9,.600,.600,,11.3,2.3,2.5,0.3,0.0,0.0
12,Dahntay Jones\jonesda02,32,5,0,19,1,4,0,0,2,2,0,1,1,0,0,0,1,1,4,.250,,1.000,3.8,0.8,0.2,0.0,0.0,0.0
13,John Jenkins\jenkijo01,21,4,0,24,0,3,0,1,0,0,0,2,2,3,0,0,2,2,0,.000,.000,,5.9,0.0,0.5,0.8,0.0,0.0
