,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James\jamesle01,28,5,5,208,35,80,6,17,42,52,2,33,35,39,11,1,13,6,118,.438,.353,.808,41.7,23.6,7.0,7.8,2.2,0.2
2,Chris Bosh\boshch01,28,5,5,167,27,54,4,8,10,16,9,34,43,10,4,11,6,17,68,.500,.500,.625,33.4,13.6,8.6,2.0,0.8,2.2
3,Dwyane Wade\wadedw01,31,5,5,163,29,57,0,1,5,6,4,13,17,24,6,3,11,13,63,.509,.000,.833,32.6,12.6,3.4,4.8,1.2,0.6
4,Norris Cole\coleno01,24,5,0,114,20,29,9,11,6,9,1,13,14,8,0,0,8,9,55,.690,.818,.667,22.9,11.0,2.8,1.6,0.0,0.0
5,Ray Allen\allenra02,37,5,0,107,12,29,4,17,16,18,1,8,9,4,3,2,6,8,44,.414,.235,.889,21.5,8.8,1.8,0.8,0.6,0.4
6,Mario Chalmers\chalmma01,26,5,5,125,13,33,3,13,8,12,2,9,11,19,3,0,6,15,37,.394,.231,.667,24.9,7.4,2.2,3.8,0.6,0.0
7,Chris Andersen\anderch01,34,5,0,64,9,12,0,0,12,14,7,5,12,1,0,9,3,12,30,.750,,.857,12.8,6.0,2.4,0.2,0.0,1.8
8,Shane Battier\battish01,34,5,0,109,8,28,8,28,6,9,3,7,10,2,3,2,2,17,30,.286,.286,.667,21.8,6.0,2.0,0.4,0.6,0.4
9,Udonis Haslem\hasleud01,32,5,5,91,13,20,0,0,0,2,6,10,16,3,8,1,3,11,26,.650,,.000,18.2,5.2,3.2,0.6,1.6,0.2
10,Mike Miller\millemi01,32,3,0,19,3,7,1,5,0,0,1,4,5,3,0,0,1,3,7,.429,.200,,6.4,2.3,1.7,1.0,0.0,0.0
11,Rashard Lewis\lewisra02,33,2,0,11,3,4,0,0,0,0,0,3,3,1,1,1,1,1,6,.750,,,5.6,3.0,1.5,0.5,0.5,0.5
