,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Reggie Lewis\lewisre01,25,5,5,210,43,87,0,1,23,31,6,21,27,15,9,2,10,15,109,.494,.000,.742,42.0,21.8,5.4,3.0,1.8,0.4
2,Larry Bird\birdla01,34,5,5,191,36,84,1,14,31,35,4,38,42,43,6,2,15,16,104,.429,.071,.886,38.2,20.8,8.4,8.6,1.2,0.4
3,Kevin McHale\mchalke01,33,5,0,159,33,55,3,4,35,40,9,20,29,5,4,7,3,19,104,.600,.750,.875,31.8,20.8,5.8,1.0,0.8,1.4
4,Robert Parish\parisro01,37,5,5,165,35,49,0,0,23,30,22,24,46,6,6,4,14,19,93,.714,,.767,33.0,18.6,9.2,1.2,1.2,0.8
5,Brian Shaw\shawbr01,24,5,5,176,26,53,0,2,19,21,4,16,20,28,7,0,17,20,71,.491,.000,.905,35.2,14.2,4.0,5.6,1.4,0.0
6,Dee Brown\brownde01,22,5,0,95,14,35,0,2,11,11,3,13,16,9,5,3,9,17,39,.400,.000,1.000,19.0,7.8,3.2,1.8,1.0,0.6
7,Kevin Gamble\gamblke01,25,5,5,116,17,34,0,0,5,8,1,5,6,15,3,2,5,14,39,.500,,.625,23.2,7.8,1.2,3.0,0.6,0.4
8,Derek Smith\smithde02,29,5,0,41,7,15,0,1,9,12,2,2,4,2,2,0,3,11,23,.467,.000,.750,8.2,4.6,0.8,0.4,0.4,0.0
9,Ed Pinckney\pincked01,27,5,0,44,4,5,0,0,4,6,8,5,13,0,4,0,1,4,12,.800,,.667,8.8,2.4,2.6,0.0,0.8,0.0
10,Joe Kleine\kleinjo01,29,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,3.0,0.0,1.0,0.0,0.0,0.0
1,Chuck Person\persoch01,26,5,5,192,48,90,17,31,17,21,3,25,28,16,5,0,10,15,130,.533,.548,.810,38.4,26.0,5.6,3.2,1.0,0.0
2,Reggie Miller\millere01,25,5,5,193,34,70,8,19,32,37,5,11,16,14,8,2,12,14,108,.486,.421,.865,38.6,21.6,3.2,2.8,1.6,0.4
3,Micheal Williams\willimi02,24,5,5,183,30,65,0,1,43,48,7,9,16,42,14,0,12,23,103,.462,.000,.896,36.6,20.6,3.2,8.4,2.8,0.0
4,Detlef Schrempf\schrede01,28,5,0,179,27,57,0,4,25,30,10,26,36,11,2,0,11,17,79,.474,.000,.833,35.8,15.8,7.2,2.2,0.4,0.0
5,Rik Smits\smitsri01,24,5,0,88,21,37,0,0,7,8,4,14,18,2,1,7,5,23,49,.568,,.875,17.6,9.8,3.6,0.4,0.2,1.4
6,Vern Fleming\flemive01,28,5,0,115,18,40,0,1,11,14,10,7,17,21,1,3,6,10,47,.450,.000,.786,23.0,9.4,3.4,4.2,0.2,0.6
7,LaSalle Thompson\thompla01,29,5,5,126,19,39,0,0,7,7,6,25,31,8,4,7,10,15,45,.487,,1.000,25.2,9.0,6.2,1.6,0.8,1.4
8,Mike Sanders\sandemi01,30,5,0,41,6,10,1,2,2,4,0,4,4,4,4,2,5,9,15,.600,.500,.500,8.2,3.0,0.8,0.8,0.8,0.4
9,Greg Dreiling\dreilgr01,28,5,5,75,5,15,0,0,4,6,8,10,18,0,0,0,3,17,14,.333,,.667,15.0,2.8,3.6,0.0,0.0,0.0
10,Randy Wittman\wittmra01,31,1,0,6,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1.000,,,6.0,2.0,0.0,1.0,0.0,0.0
11,Kenny Williams\willike03,21,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,,,.000,1.0,0.0,0.0,0.0,0.0,0.0
1,Michael Jordan\jordami01,27,3,3,113,31,59,3,6,22,23,3,11,14,18,8,2,4,7,87,.525,.500,.957,37.7,29.0,4.7,6.0,2.7,0.7
2,Scottie Pippen\pippesc01,25,3,3,120,23,46,1,2,12,17,4,22,26,15,10,4,10,9,59,.500,.500,.706,40.0,19.7,8.7,5.0,3.3,1.3
3,Horace Grant\grantho01,25,3,3,117,12,26,0,0,11,14,7,15,22,8,2,1,3,6,35,.462,,.786,39.0,11.7,7.3,2.7,0.7,0.3
4,B.J. Armstrong\armstbj01,23,3,0,65,9,16,1,1,9,10,1,5,6,13,6,0,3,5,28,.563,1.000,.900,21.7,9.3,2.0,4.3,2.0,0.0
5,Bill Cartwright\cartwbi01,33,3,3,80,9,16,0,0,7,7,2,5,7,2,1,0,5,12,25,.563,,1.000,26.7,8.3,2.3,0.7,0.3,0.0
6,John Paxson\paxsojo01,30,3,3,79,9,24,0,2,4,4,0,4,4,8,1,0,0,0,22,.375,.000,1.000,26.3,7.3,1.3,2.7,0.3,0.0
7,Will Perdue\perduwi01,25,3,0,42,8,15,0,0,6,10,8,4,12,0,1,2,2,7,22,.533,,.600,14.0,7.3,4.0,0.0,0.3,0.7
8,Craig Hodges\hodgecr01,30,3,0,41,9,16,3,5,0,1,0,1,1,0,4,0,2,0,21,.563,.600,.000,13.7,7.0,0.3,0.0,1.3,0.0
9,Stacey King\kingst01,24,3,0,34,3,10,0,0,4,7,5,7,12,0,1,0,7,6,10,.300,,.571,11.3,3.3,4.0,0.0,0.3,0.0
10,Cliff Levingston\levincl01,30,3,0,17,2,3,0,0,0,0,2,3,5,2,2,0,0,2,4,.667,,,5.7,1.3,1.7,0.7,0.7,0.0
11,Scott Williams\willisc01,22,1,0,5,1,2,0,0,1,2,1,2,3,0,1,0,0,0,3,.500,,.500,5.0,3.0,3.0,0.0,1.0,0.0
12,Dennis Hopson\hopsode01,25,1,0,7,1,3,0,0,0,2,0,1,1,1,0,0,1,1,2,.333,,.000,7.0,2.0,1.0,1.0,0.0,0.0
1,Kiki Vandeweghe\vandeki01,32,3,3,99,13,32,3,5,22,25,1,7,8,4,1,0,12,8,51,.406,.600,.880,33.0,17.0,2.7,1.3,0.3,0.0
2,Patrick Ewing\ewingpa01,28,3,3,110,18,45,0,0,14,18,2,28,30,6,1,5,11,12,50,.400,,.778,36.7,16.7,10.0,2.0,0.3,1.7
3,Gerald Wilkins\wilkige01,27,3,1,78,14,38,2,7,2,2,2,6,8,5,5,1,8,11,32,.368,.286,1.000,26.0,10.7,2.7,1.7,1.7,0.3
4,Maurice Cheeks\cheekma01,34,3,3,101,14,23,1,3,1,2,3,6,9,16,3,1,8,9,30,.609,.333,.500,33.7,10.0,3.0,5.3,1.0,0.3
5,Trent Tucker\tucketr01,31,3,2,66,9,25,4,10,2,2,3,9,12,9,1,0,1,7,24,.360,.400,1.000,22.0,8.0,4.0,3.0,0.3,0.0
6,Charles Oakley\oaklech01,27,3,3,100,10,21,0,0,3,6,15,16,31,3,2,1,7,13,23,.476,,.500,33.3,7.7,10.3,1.0,0.7,0.3
7,Jerrod Mustaf\mustaje01,21,3,0,22,4,5,0,0,4,5,3,2,5,0,0,1,1,2,12,.800,,.800,7.3,4.0,1.7,0.0,0.0,0.3
8,Kenny Walker\walkeke01,26,3,0,31,4,8,0,0,2,2,2,5,7,2,1,1,3,8,10,.500,,1.000,10.3,3.3,2.3,0.7,0.3,0.3
9,Brian Quinnett\quinnbr01,24,3,0,36,4,8,1,3,0,0,0,1,1,3,1,0,2,2,9,.500,.333,,12.0,3.0,0.3,1.0,0.3,0.0
10,Eddie Lee Wilkins\wilkied01,28,1,0,13,4,6,0,0,1,2,2,0,2,0,0,0,2,4,9,.667,,.500,13.0,9.0,2.0,0.0,0.0,0.0
11,John Starks\starkjo01,25,3,0,28,2,5,0,0,2,2,1,2,3,6,0,0,6,4,6,.400,,1.000,9.3,2.0,1.0,2.0,0.0,0.0
12,Mark Jackson\jacksma01,25,3,0,36,1,3,0,0,0,0,0,0,0,8,1,1,5,1,2,.333,,,12.0,0.7,0.0,2.7,0.3,0.3
1,Joe Dumars\dumarjo01,27,5,5,181,38,81,9,16,34,37,7,8,15,17,3,0,3,8,119,.469,.563,.919,36.2,23.8,3.0,3.4,0.6,0.0
2,Isiah Thomas\thomais01,29,5,5,181,24,55,3,11,25,32,3,22,25,58,6,1,25,20,76,.436,.273,.781,36.2,15.2,5.0,11.6,1.2,0.2
3,Vinnie Johnson\johnsvi01,34,5,0,124,31,66,2,8,2,4,12,5,17,12,2,0,6,12,66,.470,.250,.500,24.8,13.2,3.4,2.4,0.4,0.0
4,Mark Aguirre\aguirma01,31,5,0,112,27,50,3,10,8,10,8,14,22,11,3,0,6,9,65,.540,.300,.800,22.4,13.0,4.4,2.2,0.6,0.0
5,James Edwards\edwarja01,35,5,2,119,21,50,0,0,11,21,6,10,16,3,1,0,9,12,53,.420,,.524,23.8,10.6,3.2,0.6,0.2,0.0
6,Bill Laimbeer\laimbbi01,33,5,5,161,23,52,5,8,0,2,9,28,37,7,1,5,4,18,51,.442,.625,.000,32.2,10.2,7.4,1.4,0.2,1.0
7,Dennis Rodman\rodmade01,29,5,5,159,20,44,0,2,4,8,32,40,72,7,3,2,1,18,44,.455,.000,.500,31.8,8.8,14.4,1.4,0.6,0.4
8,John Salley\sallejo01,26,5,0,106,13,23,0,0,10,18,6,20,26,5,2,11,8,23,36,.565,,.556,21.2,7.2,5.2,1.0,0.4,2.2
9,William Bedford\bedfowi01,27,5,3,36,5,16,0,0,3,6,6,6,12,2,2,2,1,7,13,.313,,.500,7.2,2.6,2.4,0.4,0.4,0.4
