
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Isaiah Thomas\thomais02,27,7,7,256,61,136,25,54,45,53,3,14,17,50,6,2,23,18,192,.449,.463,.849,36.6,27.4,2.4,7.1,0.9,0.3
2,Al Horford\horfoal01,30,7,7,243,48,71,14,23,7,10,13,33,46,36,5,9,14,13,117,.676,.609,.700,34.7,16.7,6.6,5.1,0.7,1.3
3,Avery Bradley\bradlav01,26,7,7,245,43,99,15,42,8,8,6,22,28,14,12,2,14,20,109,.434,.357,1.000,35.0,15.6,4.0,2.0,1.7,0.3
4,Jae Crowder\crowdja01,26,7,7,228,34,78,11,29,21,25,5,41,46,20,9,3,3,19,100,.436,.379,.840,32.5,14.3,6.6,2.9,1.3,0.4
5,Kelly Olynyk\olynyke01,25,7,0,139,28,45,7,20,10,15,2,17,19,13,4,5,10,21,73,.622,.350,.667,19.9,10.4,2.7,1.9,0.6,0.7
6,Marcus Smart\smartma01,22,7,0,206,16,45,9,23,15,29,7,27,34,31,10,8,15,23,56,.356,.391,.517,29.4,8.0,4.9,4.4,1.4,1.1
7,Terry Rozier\roziete01,22,7,0,108,12,31,4,12,11,13,7,18,25,11,4,2,3,12,39,.387,.333,.846,15.4,5.6,3.6,1.6,0.6,0.3
8,Jaylen Brown\brownja02,20,7,0,100,11,30,3,13,2,3,6,11,17,8,3,1,3,14,27,.367,.231,.667,14.3,3.9,2.4,1.1,0.4,0.1
9,Amir Johnson\johnsam01,29,7,5,78,8,13,1,2,3,3,7,8,15,1,1,5,3,14,20,.615,.500,1.000,11.1,2.9,2.1,0.1,0.1,0.7
10,Gerald Green\greenge01,31,4,2,47,5,11,3,6,3,3,0,3,3,3,1,0,1,6,16,.455,.500,1.000,11.8,4.0,0.8,0.8,0.3,0.0
11,Tyler Zeller\zellety01,27,3,0,20,4,11,0,0,5,6,2,4,6,2,0,0,0,3,13,.364,,.833,6.8,4.3,2.0,0.7,0.0,0.0
12,James Young\youngja01,21,5,0,19,2,5,2,4,0,0,1,2,3,1,0,0,1,0,6,.400,.500,,3.8,1.2,0.6,0.2,0.0,0.0
13,Jonas Jerebko\jerebjo01,29,3,0,17,1,4,0,2,2,2,2,3,5,1,0,0,0,2,4,.250,.000,1.000,5.8,1.3,1.7,0.3,0.0,0.0
1,John Wall\walljo01,26,7,7,274,64,161,12,42,36,43,6,18,24,72,12,11,28,14,176,.398,.286,.837,39.2,25.1,3.4,10.3,1.7,1.6
2,Bradley Beal\bealbr01,23,7,7,274,62,129,15,48,29,33,9,13,22,22,7,3,15,20,168,.481,.313,.879,39.2,24.0,3.1,3.1,1.0,0.4
3,Otto Porter\porteot01,23,7,7,251,39,70,4,21,17,19,9,48,57,15,13,4,7,9,99,.557,.190,.895,35.9,14.1,8.1,2.1,1.9,0.6
4,Markieff Morris\morrima02,27,7,7,202,32,76,9,22,17,19,12,38,50,15,9,5,15,20,90,.421,.409,.895,28.8,12.9,7.1,2.1,1.3,0.7
5,Marcin Gortat\gortama01,32,7,7,221,29,54,0,0,8,14,31,48,79,14,4,6,11,21,66,.537,,.571,31.5,9.4,11.3,2.0,0.6,0.9
6,Bojan Bogdanovic\bogdabo02,27,7,0,134,18,41,9,23,12,15,4,25,29,7,2,0,6,11,57,.439,.391,.800,19.2,8.1,4.1,1.0,0.3,0.0
7,Kelly Oubre\oubreke01,21,6,0,86,16,31,5,14,2,4,5,8,13,0,0,2,3,17,39,.516,.357,.500,14.3,6.5,2.2,0.0,0.0,0.3
8,Jason Smith\smithja02,30,7,0,57,11,16,2,2,7,10,3,6,9,2,0,4,3,9,31,.688,1.000,.700,8.2,4.4,1.3,0.3,0.0,0.6
9,Ian Mahinmi\mahinia01,30,5,0,63,5,9,0,0,4,11,3,8,11,6,1,6,3,17,14,.556,,.364,12.5,2.8,2.2,1.2,0.2,1.2
10,Sheldon Mac\mcclesh01,24,4,0,13,3,6,2,4,2,2,0,2,2,0,0,0,1,0,10,.500,.500,1.000,3.2,2.5,0.5,0.0,0.0,0.0
11,Tomas Satoransky\satorto01,25,5,0,24,3,6,0,0,2,5,1,3,4,4,0,0,0,2,8,.500,,.400,4.7,1.6,0.8,0.8,0.0,0.0
12,Brandon Jennings\jennibr01,27,7,0,86,3,16,1,7,0,0,4,7,11,7,0,0,4,8,7,.188,.143,,12.3,1.0,1.6,1.0,0.0,0.0
13,Trey Burke\burketr01,24,3,0,20,0,4,0,2,0,0,0,0,0,5,0,0,0,2,0,.000,.000,,6.6,0.0,0.0,1.7,0.0,0.0
14,Daniel Ochefu\ochefda01,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.9,0.0,0.0,0.0,0.0,0.0
1,LeBron James\jamesle01,32,4,4,164,43,75,13,27,45,54,4,29,33,21,5,4,17,7,144,.573,.481,.833,41.1,36.0,8.3,5.3,1.3,1.0
2,Kyrie Irving\irvinky01,24,4,4,137,30,80,9,25,20,22,2,10,12,34,8,1,7,5,89,.375,.360,.909,34.3,22.3,3.0,8.5,2.0,0.3
3,Kevin Love\loveke01,28,4,4,118,17,38,6,15,8,10,2,34,36,4,3,2,9,10,48,.447,.400,.800,29.6,12.0,9.0,1.0,0.8,0.5
4,Kyle Korver\korveky01,35,4,0,87,14,24,11,20,2,2,1,11,12,4,1,4,2,4,41,.583,.550,1.000,21.7,10.3,3.0,1.0,0.3,1.0
5,Channing Frye\fryech01,33,4,0,53,13,20,9,14,1,2,0,7,7,1,0,2,1,6,36,.650,.643,.500,13.1,9.0,1.8,0.3,0.0,0.5
6,Tristan Thompson\thomptr01,25,4,4,137,13,24,0,0,9,14,14,27,41,5,3,2,2,10,35,.542,,.643,34.1,8.8,10.3,1.3,0.8,0.5
