
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Isaiah Thomas\thomais02,27,6,6,209,43,100,9,45,43,53,2,24,26,34,6,0,22,15,138,.430,.200,.811,34.8,23.0,4.3,5.7,1.0,0.0
2,Avery Bradley\bradlav01,26,6,6,216,38,78,16,39,4,8,8,16,24,18,8,1,10,10,96,.487,.410,.500,36.0,16.0,4.0,3.0,1.3,0.2
3,Al Horford\horfoal01,30,6,6,203,37,62,7,13,11,13,11,40,51,39,7,3,7,7,92,.597,.538,.846,33.8,15.3,8.5,6.5,1.2,0.5
4,Jae Crowder\crowdja01,26,6,6,203,27,66,9,33,9,10,7,25,32,11,6,2,5,16,72,.409,.273,.900,33.8,12.0,5.3,1.8,1.0,0.3
5,Kelly Olynyk\olynyke01,25,6,0,116,21,42,6,17,5,8,6,17,23,12,6,6,6,15,53,.500,.353,.625,19.3,8.8,3.8,2.0,1.0,1.0
6,Marcus Smart\smartma01,22,6,0,179,18,48,10,26,2,3,9,23,32,29,9,5,8,13,48,.375,.385,.667,29.9,8.0,5.3,4.8,1.5,0.8
7,Gerald Green\greenge01,31,5,4,89,17,39,9,23,2,3,2,9,11,4,0,0,3,8,45,.436,.391,.667,17.7,9.0,2.2,0.8,0.0,0.0
8,Terry Rozier\roziete01,22,5,0,88,11,24,7,13,3,4,1,9,10,6,3,2,0,4,32,.458,.538,.750,17.5,6.4,2.0,1.2,0.6,0.4
9,Jaylen Brown\brownja02,20,5,0,30,6,12,1,5,0,1,1,3,4,1,0,0,3,1,13,.500,.200,.000,5.9,2.6,0.8,0.2,0.0,0.0
10,Jonas Jerebko\jerebjo01,29,5,0,53,5,13,1,5,2,2,2,8,10,8,3,2,4,5,13,.385,.200,1.000,10.6,2.6,2.0,1.6,0.6,0.4
11,Amir Johnson\johnsam01,29,3,2,33,5,12,0,1,1,3,5,1,6,1,1,1,2,6,11,.417,.000,.333,10.9,3.7,2.0,0.3,0.3,0.3
12,Tyler Zeller\zellety01,27,3,0,17,2,4,0,0,0,0,2,3,5,0,0,0,1,1,4,.500,,,5.6,1.3,1.7,0.0,0.0,0.0
13,James Young\youngja01,21,3,0,7,1,4,1,4,0,0,0,0,0,1,0,0,0,2,3,.250,.250,,2.3,1.0,0.0,0.3,0.0,0.0
1,Jimmy Butler\butleji01,27,6,6,239,46,108,6,23,38,47,9,35,44,26,10,5,15,10,136,.426,.261,.809,39.8,22.7,7.3,4.3,1.7,0.8
2,Dwyane Wade\wadedw01,35,6,6,190,32,86,6,17,20,21,6,24,30,24,5,8,10,8,90,.372,.353,.952,31.7,15.0,5.0,4.0,0.8,1.3
3,Robin Lopez\lopezro01,28,6,6,162,34,52,0,0,8,8,28,15,43,5,3,6,8,13,76,.654,,1.000,27.0,12.7,7.2,0.8,0.5,1.0
4,Nikola Mirotic\mirotni01,25,6,6,162,17,50,10,35,8,10,4,26,30,9,4,3,4,16,52,.340,.286,.800,27.0,8.7,5.0,1.5,0.7,0.5
5,Paul Zipser\zipsepa01,22,6,0,136,15,33,6,16,8,8,3,18,21,3,1,1,7,12,44,.455,.375,1.000,22.7,7.3,3.5,0.5,0.2,0.2
6,Bobby Portis\portibo01,21,6,0,121,17,33,6,13,0,0,5,31,36,7,3,3,6,10,40,.515,.462,,20.1,6.7,6.0,1.2,0.5,0.5
7,Isaiah Canaan\canaais01,25,3,2,95,13,26,5,14,4,6,0,4,4,4,3,0,5,6,35,.500,.357,.667,31.8,11.7,1.3,1.3,1.0,0.0
8,Rajon Rondo\rondora01,30,2,2,67,11,26,0,6,1,2,7,10,17,20,7,1,4,6,23,.423,.000,.500,33.7,11.5,8.5,10.0,3.5,0.5
9,Cristiano Felicio\feliccr01,24,6,0,82,9,15,0,0,1,2,7,19,26,2,3,2,7,16,19,.600,,.500,13.7,3.2,4.3,0.3,0.5,0.3
10,Jerian Grant\grantje02,24,5,2,52,6,23,1,9,3,3,0,4,4,5,2,0,7,3,16,.261,.111,1.000,10.4,3.2,0.8,1.0,0.4,0.0
11,Michael Carter-Williams\cartemi01,25,5,0,53,6,15,0,1,2,4,1,3,4,6,2,1,6,6,14,.400,.000,.500,10.5,2.8,0.8,1.2,0.4,0.2
12,Joffrey Lauvergne\lauvejo01,25,3,0,26,4,11,0,2,6,6,5,4,9,5,0,0,2,1,14,.364,.000,1.000,8.7,4.7,3.0,1.7,0.0,0.0
