,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Glen Rice\ricegl01,30,4,4,154,37,71,4,12,14,19,5,19,24,3,2,1,6,11,92,.521,.333,.737,38.5,23.0,6.0,0.8,0.5,0.3
2,Anthony Mason\masonan01,31,4,4,168,32,50,0,0,12,24,7,26,33,11,3,0,9,5,76,.640,,.500,42.0,19.0,8.3,2.8,0.8,0.0
3,Vlade Divac\divacvl01,29,4,4,153,21,35,0,0,6,11,5,27,32,17,2,4,10,16,48,.600,,.545,38.3,12.0,8.0,4.3,0.5,1.0
4,David Wesley\wesleda01,27,4,4,147,15,42,6,10,12,17,5,7,12,33,6,0,10,10,48,.357,.600,.706,36.8,12.0,3.0,8.3,1.5,0.0
5,Dell Curry\curryde01,33,4,0,89,12,25,2,6,1,1,2,7,9,8,3,3,1,12,27,.480,.333,1.000,22.3,6.8,2.3,2.0,0.8,0.8
6,Bobby Phills\phillbo01,28,4,4,121,12,29,2,4,1,6,4,10,14,11,4,0,5,11,27,.414,.500,.167,30.3,6.8,3.5,2.8,1.0,0.0
7,J.R. Reid\reidjr01,29,4,0,53,5,16,0,1,5,7,3,6,9,1,3,2,6,11,15,.313,.000,.714,13.3,3.8,2.3,0.3,0.8,0.5
8,B.J. Armstrong\armstbj01,30,4,0,40,2,9,0,1,0,0,1,1,2,4,2,0,2,4,4,.222,.000,,10.0,1.0,0.5,1.0,0.5,0.0
9,Corey Beck\beckco01,26,2,0,5,2,3,0,1,0,0,0,0,0,0,2,0,1,0,4,.667,.000,,2.5,2.0,0.0,0.0,1.0,0.0
10,Donald Royal\royaldo01,31,2,0,15,0,3,0,0,2,2,0,2,2,1,0,0,0,2,2,.000,,1.000,7.5,1.0,1.0,0.5,0.0,0.0
11,Travis Williams\willitr01,28,2,0,11,0,1,0,0,1,2,0,4,4,0,1,1,0,3,1,.000,,.500,5.5,0.5,2.0,0.0,0.5,0.5
12,Matt Geiger\geigema01,28,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4.0,0.0,0.0,0.0,0.0,0.0
1,Steve Smith\smithst01,28,4,4,160,39,68,10,20,11,16,2,9,11,9,2,3,5,17,99,.574,.500,.688,40.0,24.8,2.8,2.3,0.5,0.8
2,Mookie Blaylock\blaylmo01,30,4,4,153,22,53,8,27,7,12,6,14,20,33,9,1,9,8,59,.415,.296,.583,38.3,14.8,5.0,8.3,2.3,0.3
3,Alan Henderson\hendeal01,25,4,4,126,20,38,0,1,11,18,10,12,22,4,3,1,6,13,51,.526,.000,.611,31.5,12.8,5.5,1.0,0.8,0.3
