,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Michael Jordan\jordami01,33,6,6,256,72,158,8,25,42,55,9,33,42,36,7,5,13,14,194,.456,.320,.764,42.7,32.3,7.0,6.0,1.2,0.8
2,Scottie Pippen\pippesc01,31,6,6,257,40,95,12,32,28,36,12,38,50,21,10,11,21,17,120,.421,.375,.778,42.8,20.0,8.3,3.5,1.7,1.8
3,Toni Kukoc\kukocto01,28,6,0,140,15,37,10,18,8,10,2,17,19,16,1,0,5,8,48,.405,.556,.800,23.3,8.0,3.2,2.7,0.2,0.0
4,Bison Dele\delebi01,27,6,0,121,17,36,0,0,7,13,6,14,20,5,6,1,5,19,41,.472,,.538,20.2,6.8,3.3,0.8,1.0,0.2
5,Luc Longley\longllu01,28,6,6,131,20,33,0,0,1,5,11,12,23,7,4,3,11,16,41,.606,,.200,21.8,6.8,3.8,1.2,0.7,0.5
6,Ron Harper\harpero01,33,6,6,162,11,32,3,11,4,6,8,19,27,14,6,6,2,16,29,.344,.273,.667,27.0,4.8,4.5,2.3,1.0,1.0
7,Steve Kerr\kerrst01,31,6,0,117,9,25,4,16,4,4,1,4,5,6,4,1,2,10,26,.360,.250,1.000,19.5,4.3,0.8,1.0,0.7,0.2
8,Dennis Rodman\rodmade01,35,6,6,163,5,20,1,6,3,8,10,36,46,9,4,1,6,21,14,.250,.167,.375,27.2,2.3,7.7,1.5,0.7,0.2
9,Jud Buechler\buechju01,28,6,0,52,4,8,1,4,1,2,3,4,7,2,3,3,1,5,10,.500,.250,.500,8.7,1.7,1.2,0.3,0.5,0.5
10,Randy Brown\brownra02,28,5,0,24,1,5,0,0,2,2,0,1,1,1,1,1,0,6,4,.200,,1.000,4.8,0.8,0.2,0.2,0.2,0.2
11,Jason Caffey\caffeja01,23,5,0,17,0,0,0,0,0,0,2,0,2,1,0,0,2,8,0,,,,3.4,0.0,0.4,0.2,0.0,0.0
1,Karl Malone\malonka01,33,6,6,245,54,122,0,1,35,58,19,43,62,21,10,2,14,19,143,.443,.000,.603,40.8,23.8,10.3,3.5,1.7,0.3
2,John Stockton\stockjo01,34,6,6,225,31,62,6,15,22,26,3,21,24,53,12,3,23,11,90,.500,.400,.846,37.5,15.0,4.0,8.8,2.0,0.5
3,Jeff Hornacek\hornaje01,33,6,6,206,22,58,6,16,22,26,4,17,21,13,4,0,9,20,72,.379,.375,.846,34.3,12.0,3.5,2.2,0.7,0.0
4,Bryon Russell\russebr01,26,6,6,232,23,59,15,34,7,8,6,29,35,4,5,1,6,19,68,.390,.441,.875,38.7,11.3,5.8,0.7,0.8,0.2
5,Greg Foster\fostegr01,28,6,0,96,10,21,1,3,12,13,4,17,21,4,2,2,4,13,33,.476,.333,.923,16.0,5.5,3.5,0.7,0.3,0.3
6,Howard Eisley\eisleho01,24,6,0,63,11,22,1,2,9,10,0,4,4,15,1,0,7,6,32,.500,.500,.900,10.5,5.3,0.7,2.5,0.2,0.0
7,Greg Ostertag\ostergr01,23,6,6,131,10,25,0,0,6,12,18,26,44,2,3,9,6,19,26,.400,,.500,21.8,4.3,7.3,0.3,0.5,1.5
8,Chris Morris\morrich01,31,6,0,69,8,17,5,10,0,0,1,9,10,1,2,3,1,9,21,.471,.500,,11.5,3.5,1.7,0.2,0.3,0.5
9,Antoine Carr\carran01,35,6,0,59,9,22,0,0,0,0,2,8,10,5,0,0,4,10,18,.409,,,9.8,3.0,1.7,0.8,0.0,0.0
10,Shandon Anderson\andersh01,23,4,0,84,6,19,1,4,4,6,2,5,7,2,4,0,2,8,17,.316,.250,.667,21.0,4.3,1.8,0.5,1.0,0.0
11,Adam Keefe\keefead01,26,4,0,30,1,3,0,0,1,2,1,6,7,1,1,1,1,3,3,.333,,.500,7.5,0.8,1.8,0.3,0.3,0.3
