,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Steve Smith\smithst01,27,5,5,224,32,67,9,26,28,34,6,20,26,9,2,1,18,19,101,.478,.346,.824,44.8,20.2,5.2,1.8,0.4,0.2
2,Christian Laettner\laettch01,27,5,5,202,36,80,2,11,21,22,7,29,36,13,4,4,14,15,95,.450,.182,.955,40.4,19.0,7.2,2.6,0.8,0.8
3,Dikembe Mutombo\mutomdi01,30,5,5,210,33,47,0,0,25,32,17,47,64,5,0,13,8,14,91,.702,,.781,42.0,18.2,12.8,1.0,0.0,2.6
4,Mookie Blaylock\blaylmo01,29,5,5,222,23,70,9,39,6,11,7,30,37,33,12,2,15,7,61,.329,.231,.545,44.4,12.2,7.4,6.6,2.4,0.4
5,Tyrone Corbin\corbity01,34,5,5,198,23,52,7,22,7,7,5,17,22,16,2,1,8,17,60,.442,.318,1.000,39.6,12.0,4.4,3.2,0.4,0.2
6,Alan Henderson\hendeal01,24,5,0,48,6,10,0,0,7,10,4,7,11,0,0,2,3,6,19,.600,,.700,9.6,3.8,2.2,0.0,0.0,0.4
7,Eldridge Recasner\recasel01,29,5,0,57,2,8,1,6,1,1,3,6,9,5,2,0,4,6,6,.250,.167,1.000,11.4,1.2,1.8,1.0,0.4,0.0
8,Henry James\jameshe01,31,4,0,15,1,4,1,3,0,0,0,0,0,1,0,0,2,7,3,.250,.333,,3.8,0.8,0.0,0.3,0.0,0.0
9,Darrin Hancock\hancoda01,25,2,0,8,1,2,0,0,0,0,1,0,1,0,0,0,0,0,2,.500,,,4.0,1.0,0.5,0.0,0.0,0.0
