,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Michael Jordan\jordami01,33,5,5,210,54,119,2,17,23,28,16,35,51,26,10,7,16,9,133,.454,.118,.821,42.0,26.6,10.2,5.2,2.0,1.4
2,Scottie Pippen\pippesc01,31,5,5,201,42,98,14,37,13,18,10,18,28,28,6,2,10,11,111,.429,.378,.722,40.2,22.2,5.6,5.6,1.2,0.4
3,Toni Kukoc\kukocto01,28,5,0,119,17,39,6,20,14,23,1,9,10,16,3,0,3,12,54,.436,.300,.609,23.8,10.8,2.0,3.2,0.6,0.0
4,Ron Harper\harpero01,33,5,5,135,17,36,8,22,7,7,4,19,23,19,5,4,4,8,49,.472,.364,1.000,27.0,9.8,4.6,3.8,1.0,0.8
5,Bison Dele\delebi01,27,5,0,80,16,30,0,0,5,10,12,9,21,3,6,1,3,15,37,.533,,.500,16.0,7.4,4.2,0.6,1.2,0.2
6,Steve Kerr\kerrst01,31,5,0,87,11,24,6,15,2,2,2,4,6,5,5,0,5,6,30,.458,.400,1.000,17.4,6.0,1.2,1.0,1.0,0.0
7,Luc Longley\longllu01,28,5,5,121,13,23,0,0,3,10,11,20,31,11,1,4,3,20,29,.565,,.300,24.2,5.8,6.2,2.2,0.2,0.8
8,Jason Caffey\caffeja01,23,5,3,81,11,20,0,0,0,0,15,9,24,4,1,0,5,10,22,.550,,,16.2,4.4,4.8,0.8,0.2,0.0
9,Dennis Rodman\rodmade01,35,5,2,99,6,18,2,4,2,4,10,15,25,6,1,2,6,19,16,.333,.500,.500,19.8,3.2,5.0,1.2,0.2,0.4
10,Jud Buechler\buechju01,28,5,0,25,2,6,2,3,0,0,2,1,3,1,0,0,0,4,6,.333,.667,,5.0,1.2,0.6,0.2,0.0,0.0
11,Randy Brown\brownra02,28,4,0,24,1,6,0,0,0,0,1,1,2,3,1,0,3,4,2,.167,,,6.0,0.5,0.5,0.8,0.3,0.0
12,Robert Parish\parisro01,43,2,0,18,1,7,0,0,0,0,2,2,4,0,0,3,0,2,2,.143,,,9.0,1.0,2.0,0.0,0.0,1.5
