,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Paul Pierce\piercpa01,24,5,5,212,47,105,20,43,37,44,10,33,43,21,9,4,22,15,151,.448,.465,.841,42.4,30.2,8.6,4.2,1.8,0.8
2,Antoine Walker\walkean02,25,5,5,216,47,107,20,40,8,10,8,32,40,18,5,3,17,13,122,.439,.500,.800,43.2,24.4,8.0,3.6,1.0,0.6
3,Eric Williams\willier01,29,5,5,142,20,31,6,8,4,6,7,10,17,10,4,2,2,18,50,.645,.750,.667,28.4,10.0,3.4,2.0,0.8,0.4
4,Kenny Anderson\anderke01,31,5,5,156,21,45,0,0,5,7,2,6,8,22,6,0,8,16,47,.467,,.714,31.2,9.4,1.6,4.4,1.2,0.0
5,Walter McCarty\mccarwa01,27,5,0,122,14,24,3,10,7,9,6,12,18,4,3,0,2,11,38,.583,.300,.778,24.4,7.6,3.6,0.8,0.6,0.0
6,Rodney Rogers\rogerro01,30,5,0,124,11,29,6,18,5,5,5,23,28,16,8,1,6,12,33,.379,.333,1.000,24.8,6.6,5.6,3.2,1.6,0.2
7,Tony Battie\battito01,25,5,5,111,13,24,0,0,5,5,2,20,22,5,3,8,1,13,31,.542,,1.000,22.2,6.2,4.4,1.0,0.6,1.6
8,Erick Strickland\stricer01,28,5,0,50,3,13,2,5,0,0,0,6,6,9,1,1,4,10,8,.231,.400,,10.0,1.6,1.2,1.8,0.2,0.2
9,Kedrick Brown\brownke01,20,1,0,2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,5,1.000,1.000,,2.0,5.0,0.0,0.0,0.0,1.0
10,Mark Blount\blounma01,26,2,0,25,2,4,0,0,0,0,3,4,7,0,2,1,1,5,4,.500,,,12.5,2.0,3.5,0.0,1.0,0.5
11,Tony Delk\delkto01,28,3,0,40,0,2,0,0,0,0,1,2,3,3,2,2,4,3,0,.000,,,13.3,0.0,1.0,1.0,0.7,0.7
1,Allen Iverson\iversal01,26,5,5,209,45,118,9,27,51,63,1,17,18,21,13,0,12,8,150,.381,.333,.810,41.8,30.0,3.6,4.2,2.6,0.0
2,Derrick Coleman\colemde01,34,5,5,191,22,42,4,13,16,20,15,31,46,10,1,7,5,10,64,.524,.308,.800,38.2,12.8,9.2,2.0,0.2,1.4
3,Eric Snow\snower01,28,5,5,171,18,56,1,6,17,22,3,19,22,27,6,0,15,13,54,.321,.167,.773,34.2,10.8,4.4,5.4,1.2,0.0
4,Aaron McKie\mckieaa01,29,5,0,146,20,46,6,16,7,10,2,16,18,12,10,0,10,12,53,.435,.375,.700,29.2,10.6,3.6,2.4,2.0,0.0
5,Matt Harpring\harprma01,25,5,5,119,22,44,0,0,7,9,13,13,26,7,5,0,5,12,51,.500,,.778,23.8,10.2,5.2,1.4,1.0,0.0
6,Dikembe Mutombo\mutomdi01,35,5,5,173,14,31,0,0,16,26,14,39,53,3,2,9,11,16,44,.452,,.615,34.6,8.8,10.6,0.6,0.4,1.8
7,Speedy Claxton\claxtsp01,23,5,0,49,4,12,0,1,4,6,1,0,1,14,5,0,3,8,12,.333,.000,.667,9.8,2.4,0.2,2.8,1.0,0.0
8,Derrick McKey\mckeyde01,35,4,0,40,4,8,0,0,0,0,3,3,6,1,1,2,1,5,8,.500,,,10.0,2.0,1.5,0.3,0.3,0.5
9,Corie Blount\blounco01,33,5,0,88,2,8,0,0,3,4,10,4,14,2,2,2,4,9,7,.250,,.750,17.6,1.4,2.8,0.4,0.4,0.4
10,Raja Bell\bellra01,25,3,0,8,1,3,0,2,0,0,1,0,1,0,0,0,0,0,2,.333,.000,,2.7,0.7,0.3,0.0,0.0,0.0
11,Vonteego Cummings\cummivo01,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
12,Alvin Jones\jonesal01,23,2,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,,,2.5,0.0,0.5,0.0,0.0,0.0
1,Baron Davis\davisba01,22,4,4,186,35,87,10,26,20,27,9,27,36,37,11,3,10,13,100,.402,.385,.741,46.5,25.0,9.0,9.3,2.8,0.8
2,David Wesley\wesleda01,31,4,4,168,21,54,7,12,13,14,3,8,11,6,4,2,9,12,62,.389,.583,.929,42.0,15.5,2.8,1.5,1.0,0.5
3,Elden Campbell\campbel01,33,4,4,107,24,52,0,0,5,6,9,21,30,8,1,9,7,14,53,.462,,.833,26.8,13.3,7.5,2.0,0.3,2.3
4,Jamaal Magloire\magloja01,23,4,0,93,11,19,0,0,28,35,6,16,22,3,0,6,6,12,50,.579,,.800,23.3,12.5,5.5,0.8,0.0,1.5
5,P.J. Brown\brownpj01,32,4,4,152,17,41,0,0,15,21,15,25,40,8,4,2,5,14,49,.415,,.714,38.0,12.3,10.0,2.0,1.0,0.5
6,Stacey Augmon\augmost01,33,4,0,86,9,21,0,0,9,11,4,11,15,8,6,1,5,14,27,.429,,.818,21.5,6.8,3.8,2.0,1.5,0.3
7,Lee Nailon\nailole01,26,4,1,79,11,25,0,0,5,8,2,6,8,5,1,0,2,6,27,.440,,.625,19.8,6.8,2.0,1.3,0.3,0.0
8,George Lynch\lynchge01,31,4,2,98,7,15,0,0,3,6,15,13,28,3,4,0,4,11,17,.467,,.500,24.5,4.3,7.0,0.8,1.0,0.0
9,Robert Traylor\traylro01,24,4,0,29,3,9,0,0,4,6,0,9,9,1,2,1,2,7,10,.333,,.667,7.3,2.5,2.3,0.3,0.5,0.3
10,Bryce Drew\drewbr01,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
11,Kirk Haston\hastoki01,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
12,Jamal Mashburn\mashbja01,29,1,1,10,0,6,0,1,0,0,0,1,1,1,0,0,0,0,0,.000,.000,,10.0,0.0,1.0,1.0,0.0,0.0
1,Tracy McGrady\mcgratr01,22,4,4,178,42,91,5,16,34,46,6,19,25,22,2,7,13,11,123,.462,.313,.739,44.5,30.8,6.3,5.5,0.5,1.8
2,Darrell Armstrong\armstda01,33,4,4,158,20,42,4,17,17,21,3,8,11,13,5,0,7,14,61,.476,.235,.810,39.5,15.3,2.8,3.3,1.3,0.0
