,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kevin Durant\duranke01,22,5,5,209,49,104,16,37,48,57,4,24,28,18,5,5,7,17,162,.471,.432,.842,41.8,32.4,5.6,3.6,1.0,1.0
2,Russell Westbrook\westbru01,22,5,5,181,40,101,7,23,32,39,12,18,30,31,4,2,20,17,119,.396,.304,.821,36.2,23.8,6.0,6.2,0.8,0.4
3,James Harden\hardeja01,21,5,0,150,13,34,7,22,19,24,2,26,28,15,6,5,7,16,52,.382,.318,.792,29.9,10.4,5.6,3.0,1.2,1.0
4,Serge Ibaka\ibakase01,21,5,5,159,17,42,0,1,17,20,17,38,55,2,2,24,9,16,51,.405,.000,.850,31.7,10.2,11.0,0.4,0.4,4.8
5,Eric Maynor\maynoer01,23,5,0,59,11,26,3,9,4,6,0,6,6,10,2,0,4,2,29,.423,.333,.667,11.8,5.8,1.2,2.0,0.4,0.0
6,Kendrick Perkins\perkike01,26,5,5,129,10,24,0,0,7,13,11,22,33,1,1,3,7,19,27,.417,,.538,25.8,5.4,6.6,0.2,0.2,0.6
7,Nick Collison\collini01,30,5,0,100,11,18,0,0,4,5,10,8,18,3,1,2,2,13,26,.611,,.800,20.0,5.2,3.6,0.6,0.2,0.4
8,Thabo Sefolosha\sefolth01,26,5,5,107,9,24,1,8,6,6,5,16,21,4,6,0,3,7,25,.375,.125,1.000,21.3,5.0,4.2,0.8,1.2,0.0
9,Daequan Cook\cookda02,23,5,0,52,5,15,4,13,0,0,0,12,12,0,2,0,3,5,14,.333,.308,,10.3,2.8,2.4,0.0,0.4,0.0
10,Nazr Mohammed\mohamna01,33,5,0,55,3,12,0,0,0,2,2,8,10,0,1,2,2,13,6,.250,,.000,11.0,1.2,2.0,0.0,0.2,0.4
1,Ty Lawson\lawsoty01,23,5,5,167,26,52,5,11,21,23,7,10,17,19,5,1,6,9,78,.500,.455,.913,33.4,15.6,3.4,3.8,1.0,0.2
2,Nene Hilario\hilarne01,28,5,5,162,22,46,0,0,27,48,14,31,45,8,5,4,8,17,71,.478,,.563,32.4,14.2,9.0,1.6,1.0,0.8
