,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Steve Smith\smithst01,29,5,5,212,34,79,6,18,17,19,4,14,18,21,7,1,11,16,91,.430,.333,.895,42.4,18.2,3.6,4.2,1.4,0.2
2,Grant Long\longgr01,32,5,5,189,24,48,1,2,24,32,13,21,34,3,7,3,14,18,73,.500,.500,.750,37.8,14.6,6.8,0.6,1.4,0.6
3,Dikembe Mutombo\mutomdi01,32,5,5,213,28,40,0,0,17,25,17,51,68,6,2,15,11,13,73,.700,,.680,42.6,14.6,13.6,1.2,0.4,3.0
4,Mookie Blaylock\blaylmo01,31,5,5,198,23,69,11,26,5,9,4,12,16,25,9,2,18,4,62,.333,.423,.556,39.6,12.4,3.2,5.0,1.8,0.4
5,Tyrone Corbin\corbity01,36,5,3,187,27,55,6,17,1,2,6,20,26,10,5,0,5,12,61,.491,.353,.500,37.4,12.2,5.2,2.0,1.0,0.0
6,Chris Crawford\crawfch01,23,2,2,21,6,11,1,3,2,2,2,1,3,1,0,0,0,3,15,.545,.333,1.000,10.5,7.5,1.5,0.5,0.0,0.0
7,Roshown McLeod\mcleoro01,23,4,0,36,6,14,0,0,2,2,0,2,2,1,1,1,0,3,14,.429,,1.000,9.0,3.5,0.5,0.3,0.3,0.3
8,Ed Gray\grayed01,23,4,0,19,4,9,3,7,2,2,0,2,2,2,2,0,0,1,13,.444,.429,1.000,4.8,3.3,0.5,0.5,0.5,0.0
9,Anthony Johnson\johnsan02,24,5,0,67,4,17,0,1,1,4,2,4,6,8,1,0,4,5,9,.235,.000,.250,13.4,1.8,1.2,1.6,0.2,0.0
10,Alan Henderson\hendeal01,26,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,4.0,0.0,0.0,0.0,0.0,0.0
11,Jeff Sheppard\sheppje01,24,3,0,11,0,3,0,0,0,0,2,0,2,2,1,0,0,0,0,.000,,,3.7,0.0,0.7,0.7,0.3,0.0
12,Mark West\westma01,38,5,0,43,0,6,0,0,0,0,0,4,4,2,2,1,6,10,0,.000,,,8.6,0.0,0.8,0.4,0.4,0.2
1,Grant Hill\hillgr01,26,5,5,176,42,92,0,1,13,16,7,29,36,37,10,2,12,12,97,.457,.000,.813,35.2,19.4,7.2,7.4,2.0,0.4
2,Bison Dele\delebi01,29,5,5,122,24,40,0,0,5,9,12,20,32,1,3,2,7,25,53,.600,,.556,24.4,10.6,6.4,0.2,0.6,0.4
3,Joe Dumars\dumarjo01,35,5,5,153,19,39,10,19,3,3,1,6,7,13,2,0,9,9,51,.487,.526,1.000,30.6,10.2,1.4,2.6,0.4,0.0
4,Christian Laettner\laettch01,29,5,0,123,20,47,0,0,11,14,6,8,14,11,4,1,3,14,51,.426,,.786,24.6,10.2,2.8,2.2,0.8,0.2
5,Jerry Stackhouse\stackje01,24,5,0,124,18,46,2,8,12,14,3,5,8,6,2,1,10,11,50,.391,.250,.857,24.8,10.0,1.6,1.2,0.4,0.2
6,Lindsey Hunter\hunteli01,28,5,5,180,14,53,3,11,5,5,5,10,15,12,7,0,7,11,36,.264,.273,1.000,36.0,7.2,3.0,2.4,1.4,0.0
7,Jerome Williams\willije01,25,5,5,123,12,27,0,0,7,9,12,20,32,4,4,0,4,7,31,.444,,.778,24.6,6.2,6.4,0.8,0.8,0.0
8,Jud Buechler\buechju01,30,5,0,84,3,15,2,8,0,0,4,9,13,3,3,1,3,6,8,.200,.250,,16.8,1.6,2.6,0.6,0.6,0.2
9,Eric Montross\montrer01,27,5,0,70,3,6,0,0,1,2,3,10,13,0,0,2,0,15,7,.500,,.500,14.0,1.4,2.6,0.0,0.0,0.4
10,Charles O'Bannon\obannch01,23,4,0,9,2,3,0,0,0,0,1,0,1,1,0,0,3,0,4,.667,,,2.3,1.0,0.3,0.3,0.0,0.0
11,Don Reid\reiddo01,25,4,0,21,2,3,0,0,0,0,2,2,4,1,0,0,0,2,4,.667,,,5.3,1.0,1.0,0.3,0.0,0.0
12,Loy Vaught\vaughlo01,30,2,0,15,2,4,0,0,0,0,0,1,1,0,1,0,0,1,4,.500,,,7.5,2.0,0.5,0.0,0.5,0.0
1,Reggie Miller\millere01,33,3,3,109,21,59,10,35,27,29,5,5,10,7,4,1,5,3,79,.356,.286,.931,36.3,26.3,3.3,2.3,1.3,0.3
2,Jalen Rose\roseja01,26,3,0,93,17,31,5,8,6,7,4,1,5,12,5,0,8,8,45,.548,.625,.857,31.0,15.0,1.7,4.0,1.7,0.0
3,Chris Mullin\mullich01,35,3,3,56,12,26,8,19,2,2,2,2,4,2,1,1,5,3,34,.462,.421,1.000,18.7,11.3,1.3,0.7,0.3,0.3
4,Mark Jackson\jacksma01,33,3,3,101,9,19,4,7,7,8,0,11,11,29,5,0,10,9,29,.474,.571,.875,33.7,9.7,3.7,9.7,1.7,0.0
5,Dale Davis\davisda01,29,3,3,82,12,19,0,0,3,7,11,17,28,2,3,2,5,11,27,.632,,.429,27.3,9.0,9.3,0.7,1.0,0.7
6,Sam Perkins\perkisa01,37,3,0,41,8,11,6,8,5,7,0,11,11,3,0,1,3,3,27,.727,.750,.714,13.7,9.0,3.7,1.0,0.0,0.3
7,Antonio Davis\davisan01,30,3,0,77,6,19,0,0,10,12,4,21,25,3,2,2,7,10,22,.316,,.833,25.7,7.3,8.3,1.0,0.7,0.7
8,Rik Smits\smitsri01,32,3,3,60,11,25,0,0,0,0,5,11,16,3,1,6,4,10,22,.440,,,20.0,7.3,5.3,1.0,0.3,2.0
9,Derrick McKey\mckeyde01,32,3,0,79,6,13,0,2,9,13,9,7,16,6,6,2,1,11,21,.462,.000,.692,26.3,7.0,5.3,2.0,2.0,0.7
10,Travis Best\besttr01,26,3,0,41,2,14,0,6,3,3,2,2,4,8,1,0,1,13,7,.143,.000,1.000,13.7,2.3,1.3,2.7,0.3,0.0
11,Austin Croshere\croshau01,23,1,0,1,0,1,0,0,2,2,1,0,1,0,0,0,0,0,2,.000,,1.000,1.0,2.0,1.0,0.0,0.0,0.0
