,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Jalen Rose\roseja01,27,6,6,264,46,106,10,23,30,35,6,23,29,19,7,3,13,17,132,.434,.435,.857,44.0,22.0,4.8,3.2,1.2,0.5
2,Reggie Miller\millere01,34,5,5,198,44,85,17,36,24,25,3,9,12,16,5,2,7,6,129,.518,.472,.960,39.6,25.8,2.4,3.2,1.0,0.4
3,Rik Smits\smitsri01,33,6,6,127,30,52,0,1,17,18,5,19,24,8,1,6,7,20,77,.577,.000,.944,21.2,12.8,4.0,1.3,0.2,1.0
4,Travis Best\besttr01,27,6,0,121,23,49,1,4,6,9,3,15,18,21,11,1,6,23,53,.469,.250,.667,20.2,8.8,3.0,3.5,1.8,0.2
5,Austin Croshere\croshau01,24,6,0,108,15,41,6,11,12,16,7,13,20,7,2,4,7,8,48,.366,.545,.750,18.0,8.0,3.3,1.2,0.3,0.7
6,Mark Jackson\jacksma01,34,6,6,163,22,54,2,14,1,1,3,19,22,56,6,2,13,12,47,.407,.143,1.000,27.2,7.8,3.7,9.3,1.0,0.3
7,Dale Davis\davisda01,30,6,6,169,13,25,0,0,8,12,17,44,61,4,4,14,8,25,34,.520,,.667,28.2,5.7,10.2,0.7,0.7,2.3
8,Sam Perkins\perkisa01,38,6,0,109,9,33,6,23,2,2,3,9,12,3,0,5,1,11,26,.273,.261,1.000,18.2,4.3,2.0,0.5,0.0,0.8
9,Chris Mullin\mullich01,36,3,1,54,9,17,2,6,3,4,1,7,8,1,3,0,2,7,23,.529,.333,.750,18.0,7.7,2.7,0.3,1.0,0.0
10,Derrick McKey\mckeyde01,33,6,0,114,5,9,0,1,6,8,8,14,22,5,2,1,4,19,16,.556,.000,.750,19.0,2.7,3.7,0.8,0.3,0.2
11,Jonathan Bender\bendejo01,19,2,0,5,2,2,1,1,0,2,0,1,1,0,0,0,0,1,5,1.000,1.000,.000,2.5,2.5,0.5,0.0,0.0,0.0
12,Zan Tabak\tabakza01,29,3,0,8,0,0,0,0,0,0,0,3,3,0,0,0,1,2,0,,,,2.7,0.0,1.0,0.0,0.0,0.0
1,Allen Iverson\iversal01,24,6,6,267,54,141,5,22,46,57,8,17,25,24,7,0,18,16,159,.383,.227,.807,44.5,26.5,4.2,4.0,1.2,0.0
2,Aaron McKie\mckieaa01,27,6,4,229,31,65,5,19,20,25,4,26,30,28,4,2,15,18,87,.477,.263,.800,38.2,14.5,5.0,4.7,0.7,0.3
3,Tyrone Hill\hillty01,31,6,6,209,33,66,0,1,20,32,23,41,64,7,6,0,10,19,86,.500,.000,.625,34.8,14.3,10.7,1.2,1.0,0.0
4,Theo Ratliff\ratlith01,26,6,6,213,32,68,0,0,22,32,16,31,47,5,9,15,10,21,86,.471,,.688,35.5,14.3,7.8,0.8,1.5,2.5
5,Toni Kukoc\kukocto01,31,6,0,166,23,56,4,14,6,11,4,20,24,11,5,2,6,13,56,.411,.286,.545,27.7,9.3,4.0,1.8,0.8,0.3
6,George Lynch\lynchge01,29,6,6,181,12,37,1,3,14,17,19,24,43,12,5,2,5,22,39,.324,.333,.824,30.2,6.5,7.2,2.0,0.8,0.3
7,Matt Geiger\geigema01,30,4,0,58,12,25,0,0,9,11,8,11,19,0,1,0,3,9,33,.480,,.818,14.5,8.3,4.8,0.0,0.3,0.0
8,Eric Snow\snower01,26,3,2,55,4,12,0,1,0,0,0,2,2,13,0,0,1,7,8,.333,.000,,18.3,2.7,0.7,4.3,0.0,0.0
9,Kevin Ollie\ollieke01,27,6,0,32,2,5,0,0,2,3,0,1,1,4,0,0,0,4,6,.400,,.667,5.3,1.0,0.2,0.7,0.0,0.0
10,Todd MacCulloch\maccuto01,24,3,0,15,1,1,0,0,2,4,1,6,7,0,0,0,0,0,4,1.000,,.500,5.0,1.3,2.3,0.0,0.0,0.0
11,Jumaine Jones\jonesju01,20,3,0,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,2,.333,.000,,2.3,0.7,0.0,0.0,0.0,0.0
12,Ira Bowman\bowmair01,26,4,0,8,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,.000,.000,.000,2.0,0.0,0.0,0.5,0.0,0.0
1,Latrell Sprewell\sprewla01,29,7,7,305,43,115,1,5,37,43,5,28,33,28,13,4,18,14,124,.374,.200,.860,43.6,17.7,4.7,4.0,1.9,0.6
2,Allan Houston\houstal01,28,7,7,294,40,101,8,20,24,26,2,21,23,11,8,0,16,16,112,.396,.400,.923,42.0,16.0,3.3,1.6,1.1,0.0
3,Patrick Ewing\ewingpa01,37,7,7,256,36,89,0,0,30,42,18,58,76,1,9,10,11,29,102,.404,,.714,36.6,14.6,10.9,0.1,1.3,1.4
4,Charlie Ward\wardch01,29,7,7,209,30,61,11,32,6,9,4,28,32,23,8,1,11,14,77,.492,.344,.667,29.9,11.0,4.6,3.3,1.1,0.1
5,Larry Johnson\johnsla02,30,7,7,254,23,53,2,10,14,18,6,28,34,11,2,0,8,21,62,.434,.200,.778,36.3,8.9,4.9,1.6,0.3,0.0
6,Marcus Camby\cambyma01,25,7,0,179,13,39,0,0,11,17,17,33,50,3,3,12,5,27,37,.333,,.647,25.6,5.3,7.1,0.4,0.4,1.7
7,Chris Childs\childch01,32,7,0,135,11,29,4,12,10,11,0,12,12,16,3,0,6,21,36,.379,.333,.909,19.3,5.1,1.7,2.3,0.4,0.0
8,Kurt Thomas\thomaku01,27,7,0,72,8,18,0,0,2,4,8,10,18,2,3,1,2,17,18,.444,,.500,10.3,2.6,2.6,0.3,0.4,0.1
9,Chris Dudley\dudlech02,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
1,Alonzo Mourning\mournal01,29,7,7,280,57,122,0,0,48,74,22,52,74,10,2,19,20,28,162,.467,,.649,40.0,23.1,10.6,1.4,0.3,2.7
2,Jamal Mashburn\mashbja01,27,7,7,303,40,110,9,25,22,25,8,23,31,17,9,1,16,20,111,.364,.360,.880,43.3,15.9,4.4,2.4,1.3,0.1
3,Dan Majerle\majerda01,34,7,7,269,21,52,13,36,5,8,5,49,54,26,13,0,5,23,60,.404,.361,.625,38.4,8.6,7.7,3.7,1.9,0.0
