,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Patrick Ewing\ewingpa01,31,7,7,279,56,122,1,1,43,51,27,48,75,21,9,20,27,31,156,.459,1.000,.843,39.9,22.3,10.7,3.0,1.3,2.9
2,Charles Oakley\oaklech01,30,7,7,278,35,75,0,0,29,39,28,45,73,16,10,2,24,21,99,.467,,.744,39.7,14.1,10.4,2.3,1.4,0.3
3,John Starks\starkjo01,28,7,7,230,31,79,15,33,20,33,4,9,13,30,10,0,14,25,97,.392,.455,.606,32.9,13.9,1.9,4.3,1.4,0.0
4,Derek Harper\harpede01,32,7,7,225,28,65,8,26,11,23,3,14,17,31,19,0,15,23,75,.431,.308,.478,32.1,10.7,2.4,4.4,2.7,0.0
5,Anthony Mason\masonan01,27,7,0,195,16,35,0,0,26,32,20,28,48,16,7,2,16,19,58,.457,,.813,27.9,8.3,6.9,2.3,1.0,0.3
6,Charles Smith\smithch01,28,7,7,180,17,38,0,0,13,13,7,21,28,5,6,6,10,26,47,.447,,1.000,25.7,6.7,4.0,0.7,0.9,0.9
7,Hubert Davis\davishu01,23,7,0,110,14,42,5,17,5,8,2,5,7,3,4,1,10,12,38,.333,.294,.625,15.7,5.4,1.0,0.4,0.6,0.1
8,Greg Anthony\anthogr01,26,7,0,114,13,35,6,24,4,7,2,1,3,17,8,1,13,14,36,.371,.250,.571,16.3,5.1,0.4,2.4,1.1,0.1
9,Herb Williams\willihe01,35,7,0,52,3,6,0,0,0,0,3,4,7,2,1,5,2,7,6,.500,,,7.4,0.9,1.0,0.3,0.1,0.7
10,Rolando Blackman\blackro01,34,1,0,4,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,4.0,0.0,1.0,0.0,0.0,0.0
11,Anthony Bonner\bonnean01,25,2,0,9,0,0,0,0,0,0,0,2,2,0,0,0,3,3,0,,,,4.5,0.0,1.0,0.0,0.0,0.0
12,Corey Gaines\gaineco01,28,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,4.0,0.0,0.0,1.0,0.0,0.0
1,Reggie Miller\millere01,28,7,7,246,54,124,13,31,52,59,6,9,15,18,10,1,9,14,173,.435,.419,.881,35.1,24.7,2.1,2.6,1.4,0.1
2,Rik Smits\smitsri01,27,7,7,185,49,95,0,0,16,19,10,29,39,7,3,4,24,31,114,.516,,.842,26.4,16.3,5.6,1.0,0.4,0.6
3,Derrick McKey\mckeyde01,27,7,7,269,26,64,3,9,10,18,9,27,36,35,15,5,18,24,65,.406,.333,.556,38.4,9.3,5.1,5.0,2.1,0.7
4,Antonio Davis\davisan01,25,7,0,179,16,38,0,0,22,37,19,33,52,4,6,7,12,20,54,.421,,.595,25.6,7.7,7.4,0.6,0.9,1.0
5,Dale Davis\davisda01,24,7,7,253,23,44,0,1,6,18,23,35,58,6,9,3,12,25,52,.523,.000,.333,36.1,7.4,8.3,0.9,1.3,0.4
6,Haywoode Workman\workmha01,28,7,6,210,16,43,1,6,13,18,4,17,21,39,10,0,19,15,46,.372,.167,.722,30.0,6.6,3.0,5.6,1.4,0.0
7,Byron Scott\scottby01,32,7,0,86,13,29,1,4,13,18,1,4,5,9,4,0,10,8,40,.448,.250,.722,12.3,5.7,0.7,1.3,0.6,0.0
8,Vern Fleming\flemive01,31,7,1,124,13,33,0,3,12,14,5,5,10,16,5,1,12,16,38,.394,.000,.857,17.7,5.4,1.4,2.3,0.7,0.1
9,Sam Mitchell\mitchsa01,30,7,0,32,5,11,0,1,0,0,1,1,2,0,1,0,3,4,10,.455,.000,,4.6,1.4,0.3,0.0,0.1,0.0
10,LaSalle Thompson\thompla01,32,6,0,33,3,8,0,0,2,2,2,7,9,5,3,0,4,9,8,.375,,1.000,5.5,1.3,1.5,0.8,0.5,0.0
11,Kenny Williams\willike03,24,6,0,50,3,13,0,0,2,2,2,5,7,4,1,1,2,11,8,.231,,1.000,8.3,1.3,1.2,0.7,0.2,0.2
12,Lester Conner\connele01,34,3,0,13,1,2,0,0,2,2,1,3,4,0,0,0,0,1,4,.500,,1.000,4.3,1.3,1.3,0.0,0.0,0.0
1,Hakeem Olajuwon\olajuha01,31,5,5,224,51,102,0,0,37,46,10,41,51,22,13,23,20,15,139,.500,,.804,44.8,27.8,10.2,4.4,2.6,4.6
2,Kenny Smith\smithke01,28,5,5,169,23,45,10,19,18,23,1,8,9,23,6,0,6,11,74,.511,.526,.783,33.8,14.8,1.8,4.6,1.2,0.0
3,Vernon Maxwell\maxweve01,28,5,5,184,23,67,16,39,5,6,1,8,9,17,4,1,5,11,67,.343,.410,.833,36.8,13.4,1.8,3.4,0.8,0.2
4,Robert Horry\horryro01,23,5,5,158,22,54,5,15,5,7,16,28,44,13,8,3,3,9,54,.407,.333,.714,31.6,10.8,8.8,2.6,1.6,0.6
5,Otis Thorpe\thorpot01,31,5,5,187,16,27,0,0,7,13,17,34,51,7,4,1,10,24,39,.593,,.538,37.4,7.8,10.2,1.4,0.8,0.2
6,Sam Cassell\cassesa01,24,5,0,99,10,30,1,6,17,19,3,6,9,21,3,2,10,15,38,.333,.167,.895,19.8,7.6,1.8,4.2,0.6,0.4
7,Mario Elie\eliema01,30,5,0,97,11,35,3,13,12,13,1,10,11,1,2,1,3,6,37,.314,.231,.923,19.4,7.4,2.2,0.2,0.4,0.2
8,Earl Cureton\curetea01,36,5,0,59,4,5,0,0,0,0,5,11,16,1,1,0,2,16,8,.800,,,11.8,1.6,3.2,0.2,0.2,0.0
9,Chris Jent\jentch01,24,3,0,20,2,7,2,6,0,0,0,3,3,2,0,0,1,2,6,.286,.333,,6.7,2.0,1.0,0.7,0.0,0.0
10,Matt Bullard\bullama01,26,2,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,.000,,1.000,1.0,1.0,0.0,0.0,0.0,0.0
11,Scott Brooks\brooksc01,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
1,Karl Malone\malonka01,30,5,5,224,45,104,0,3,40,56,18,45,63,26,3,3,11,13,130,.433,.000,.714,44.8,26.0,12.6,5.2,0.6,0.6
2,Jeff Hornacek\hornaje01,30,5,5,184,31,65,4,9,19,21,4,10,14,18,7,2,11,15,85,.477,.444,.905,36.8,17.0,2.8,3.6,1.4,0.4
3,John Stockton\stockjo01,31,5,5,183,27,65,4,15,14,18,3,14,17,47,8,3,11,15,72,.415,.267,.778,36.6,14.4,3.4,9.4,1.6,0.6
4,David Benoit\benoida01,25,5,5,118,18,37,0,3,5,9,6,13,19,3,3,5,9,5,41,.486,.000,.556,23.6,8.2,3.8,0.6,0.6,1.0
5,Jay Humphries\humphja01,31,5,0,112,15,33,3,8,4,8,3,13,16,9,6,0,2,12,37,.455,.375,.500,22.4,7.4,3.2,1.8,1.2,0.0
6,Felton Spencer\spencfe01,26,5,5,188,11,33,0,0,13,18,26,23,49,2,1,8,8,25,35,.333,,.722,37.6,7.0,9.8,0.4,0.2,1.6
7,Tyrone Corbin\corbity01,31,5,0,94,7,26,2,6,2,2,6,13,19,2,7,0,3,7,18,.269,.333,1.000,18.8,3.6,3.8,0.4,1.4,0.0
8,Tom Chambers\chambto01,34,5,0,61,6,18,0,1,4,4,2,6,8,1,0,0,0,11,16,.333,.000,1.000,12.2,3.2,1.6,0.2,0.0,0.0
9,Bryon Russell\russebr01,23,3,0,22,2,6,1,2,2,2,4,3,7,1,0,0,0,2,7,.333,.500,1.000,7.3,2.3,2.3,0.3,0.0,0.0
10,John Crotty\crottjo01,24,2,0,11,1,3,0,0,0,0,0,0,0,1,0,0,0,2,2,.333,,,5.5,1.0,0.0,0.5,0.0,0.0
