,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Alonzo Mourning\mournal01,22,4,4,152,29,55,0,0,37,45,10,30,40,4,2,16,14,19,95,.527,,.822,38.0,23.8,10.0,1.0,0.5,4.0
2,Larry Johnson\johnsla02,23,4,4,163,35,57,0,0,18,22,10,27,37,17,3,2,8,11,88,.614,,.818,40.8,22.0,9.3,4.3,0.8,0.5
3,Kendall Gill\gillke01,24,4,4,160,33,81,0,3,12,17,8,4,12,14,8,3,5,14,78,.407,.000,.706,40.0,19.5,3.0,3.5,2.0,0.8
4,Dell Curry\curryde01,28,4,0,91,21,43,5,11,2,4,4,9,13,10,5,0,2,6,49,.488,.455,.500,22.8,12.3,3.3,2.5,1.3,0.0
5,Muggsy Bogues\boguemu01,28,4,4,154,17,39,0,1,1,3,3,8,11,39,6,0,6,4,35,.436,.000,.333,38.5,8.8,2.8,9.8,1.5,0.0
6,Johnny Newman\newmajo01,29,4,4,79,11,22,0,1,6,9,6,2,8,6,6,1,6,4,28,.500,.000,.667,19.8,7.0,2.0,1.5,1.5,0.3
7,Kenny Gattison\gattike01,28,4,0,105,12,20,0,0,2,8,6,10,16,10,4,0,5,10,26,.600,,.250,26.3,6.5,4.0,2.5,1.0,0.0
8,Tony Bennett\benneto01,23,3,0,27,4,11,1,4,0,0,0,2,2,4,1,0,0,4,9,.364,.250,,9.0,3.0,0.7,1.3,0.3,0.0
9,David Wingate\wingada01,29,4,0,42,4,5,0,0,1,2,1,1,2,6,1,0,0,1,9,.800,,.500,10.5,2.3,0.5,1.5,0.3,0.0
10,Sidney Green\greensi02,32,4,0,33,3,9,0,0,0,0,3,8,11,0,0,1,0,4,6,.333,,,8.3,1.5,2.8,0.0,0.0,0.3
11,Mike Gminski\gminsmi01,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
12,Kevin Lynch\lynchke01,24,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,3.0,0.0,0.0,1.0,0.0,0.0
1,Kevin McHale\mchalke01,35,4,0,113,32,55,0,0,12,14,9,20,29,3,2,7,5,6,76,.582,,.857,28.3,19.0,7.3,0.8,0.5,1.8
2,Robert Parish\parisro01,39,4,4,146,31,57,0,0,6,7,13,25,38,5,1,6,6,14,68,.544,,.857,36.5,17.0,9.5,1.3,0.3,1.5
3,Kevin Gamble\gamblke01,27,4,4,142,23,42,5,12,4,4,3,6,9,10,6,1,5,11,55,.548,.417,1.000,35.5,13.8,2.3,2.5,1.5,0.3
4,Xavier McDaniel\mcdanxa01,29,4,0,126,22,53,0,2,6,9,6,12,18,9,1,3,7,16,50,.415,.000,.667,31.5,12.5,4.5,2.3,0.3,0.8
5,Dee Brown\brownde01,24,4,3,133,15,41,1,7,14,14,2,4,6,15,2,4,6,11,45,.366,.143,1.000,33.3,11.3,1.5,3.8,0.5,1.0
6,Sherman Douglas\douglsh01,26,4,4,166,17,45,0,3,10,15,12,14,26,38,4,0,12,10,44,.378,.000,.667,41.5,11.0,6.5,9.5,1.0,0.0
7,Alaa Abdelnaby\abdelal01,24,4,4,68,11,24,0,0,0,0,2,11,13,1,0,1,9,7,22,.458,,,17.0,5.5,3.3,0.3,0.0,0.3
8,Rick Fox\foxri01,23,4,0,71,7,25,1,3,2,2,8,11,19,5,2,1,4,7,17,.280,.333,1.000,17.8,4.3,4.8,1.3,0.5,0.3
9,Reggie Lewis\lewisre01,27,1,1,13,7,11,0,1,3,4,2,0,2,1,0,1,1,1,17,.636,.000,.750,13.0,17.0,2.0,1.0,0.0,1.0
10,Joe Kleine\kleinjo01,31,4,0,29,3,5,0,0,0,0,0,5,5,0,0,1,0,4,6,.600,,,7.3,1.5,1.3,0.0,0.0,0.3
11,Lorenzo Williams\willilo01,23,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1.000,,,3.0,2.0,1.0,0.0,0.0,0.0
1,Michael Jordan\jordami01,29,3,3,107,41,78,6,13,15,17,3,17,20,13,5,5,4,12,103,.526,.462,.882,35.7,34.3,6.7,4.3,1.7,1.7
2,Scottie Pippen\pippesc01,27,3,3,111,19,45,0,2,8,12,6,6,12,16,6,1,10,9,46,.422,.000,.667,37.0,15.3,4.0,5.3,2.0,0.3
3,B.J. Armstrong\armstbj01,25,3,3,86,12,23,4,8,3,3,0,4,4,15,7,0,0,3,31,.522,.500,1.000,28.7,10.3,1.3,5.0,2.3,0.0
4,Bill Cartwright\cartwbi01,35,3,3,58,13,22,0,0,2,2,6,9,15,3,1,0,4,3,28,.591,,1.000,19.3,9.3,5.0,1.0,0.3,0.0
5,Horace Grant\grantho01,27,3,3,91,10,27,0,0,8,11,12,15,27,11,4,6,0,12,28,.370,,.727,30.3,9.3,9.0,3.7,1.3,2.0
6,Scott Williams\willisc01,24,3,0,55,10,16,0,1,3,4,5,11,16,3,2,3,7,5,23,.625,.000,.750,18.3,7.7,5.3,1.0,0.7,1.0
7,John Paxson\paxsojo01,32,3,0,57,10,13,1,2,1,3,0,2,2,12,2,0,0,3,22,.769,.500,.333,19.0,7.3,0.7,4.0,0.7,0.0
8,Trent Tucker\tucketr01,33,3,0,51,6,14,4,8,2,2,0,6,6,8,0,0,1,3,18,.429,.500,1.000,17.0,6.0,2.0,2.7,0.0,0.0
9,Will Perdue\perduwi01,27,3,0,49,6,10,0,0,4,8,11,9,20,3,0,2,6,6,16,.600,,.500,16.3,5.3,6.7,1.0,0.0,0.7
10,Stacey King\kingst01,26,3,0,27,4,12,0,0,4,6,4,4,8,2,0,0,1,6,12,.333,,.667,9.0,4.0,2.7,0.7,0.0,0.0
11,Darrell Walker\walkeda01,31,2,0,8,0,1,0,0,2,2,0,1,1,2,0,0,0,0,2,.000,,1.000,4.0,1.0,0.5,1.0,0.0,0.0
12,Rodney McCray\mccraro01,31,3,0,20,0,1,0,0,0,0,2,8,10,4,0,1,3,4,0,.000,,,6.7,0.0,3.3,1.3,0.0,0.3
1,Dominique Wilkins\wilkido01,33,3,3,113,32,75,3,12,23,30,12,4,16,9,3,1,10,8,90,.427,.250,.767,37.7,30.0,5.3,3.0,1.0,0.3
2,Kevin Willis\willike02,30,3,3,103,21,45,0,1,8,14,13,13,26,3,2,0,7,13,50,.467,.000,.571,34.3,16.7,8.7,1.0,0.7,0.0
