,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Stephen Curry\curryst01,26,6,6,255,54,122,25,65,23,26,5,26,31,38,11,1,28,13,156,.443,.385,.885,42.5,26.0,5.2,6.3,1.8,0.2
2,Andre Iguodala\iguodan01,31,6,3,222,37,71,14,35,10,28,6,29,35,24,8,2,6,18,98,.521,.400,.357,37.1,16.3,5.8,4.0,1.3,0.3
3,Klay Thompson\thompkl01,24,6,6,227,36,88,12,40,11,12,2,24,26,10,3,6,5,20,95,.409,.300,.917,37.9,15.8,4.3,1.7,0.5,1.0
4,Draymond Green\greendr01,24,6,6,222,24,63,5,19,25,34,8,42,50,30,13,7,13,28,78,.381,.263,.735,37.0,13.0,8.3,5.0,2.2,1.2
5,Harrison Barnes\barneha02,22,6,6,198,19,51,8,19,7,9,18,17,35,5,5,3,4,17,53,.373,.421,.778,32.9,8.8,5.8,0.8,0.8,0.5
6,Leandro Barbosa\barbole01,32,6,0,64,12,26,3,7,4,4,2,8,10,3,3,1,4,7,31,.462,.429,1.000,10.7,5.2,1.7,0.5,0.5,0.2
7,Shaun Livingston\livinsh01,29,6,0,120,12,25,0,1,6,8,5,16,21,13,2,2,6,11,30,.480,.000,.750,20.1,5.0,3.5,2.2,0.3,0.3
8,Festus Ezeli\ezelife01,25,5,0,50,7,15,0,0,8,11,7,10,17,2,0,3,4,9,22,.467,,.727,10.0,4.4,3.4,0.4,0.0,0.6
9,David Lee\leeda02,31,4,0,39,8,15,0,0,6,11,2,8,10,6,1,0,1,8,22,.533,,.545,9.7,5.5,2.5,1.5,0.3,0.0
10,Andrew Bogut\bogutan01,30,4,3,74,4,9,0,0,2,4,5,19,24,6,1,5,4,11,10,.444,,.500,18.4,2.5,6.0,1.5,0.3,1.3
11,Marreese Speights\speigma01,27,3,0,16,4,13,0,0,1,2,3,2,5,1,1,0,1,3,9,.308,,.500,5.3,3.0,1.7,0.3,0.3,0.0
12,Justin Holiday\holidju01,25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.1,0.0,0.0,0.0,0.0,0.0
13,James Michael McAdoo\mcadoja01,22,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.2,0.0,1.0,0.0,0.0,0.0
1,LeBron James\jamesle01,30,6,6,274,78,196,13,42,46,67,11,69,80,53,8,3,21,19,215,.398,.310,.687,45.7,35.8,13.3,8.8,1.3,0.5
2,Timofey Mozgov\mozgoti01,28,6,6,170,27,49,0,0,30,40,18,27,45,6,3,9,15,13,84,.551,,.750,28.3,14.0,7.5,1.0,0.5,1.5
3,J.R. Smith\smithjr01,29,6,0,202,24,77,15,51,6,10,2,24,26,6,3,5,4,19,69,.312,.294,.600,33.6,11.5,4.3,1.0,0.5,0.8
4,Tristan Thompson\thomptr01,23,6,6,247,24,48,0,0,12,20,32,46,78,2,4,6,5,16,60,.500,,.600,41.1,10.0,13.0,0.3,0.7,1.0
5,Matthew Dellavedova\dellama01,24,6,5,191,15,53,6,26,9,11,4,12,16,16,7,0,15,19,45,.283,.231,.818,31.8,7.5,2.7,2.7,1.2,0.0
6,Iman Shumpert\shumpim01,24,6,6,215,11,43,8,25,9,14,6,17,23,4,11,4,7,19,39,.256,.320,.643,35.9,6.5,3.8,0.7,1.8,0.7
7,Kyrie Irving\irvinky01,22,1,1,44,10,22,2,8,1,1,2,5,7,6,4,2,1,5,23,.455,.250,1.000,43.6,23.0,7.0,6.0,4.0,2.0
8,James Jones\jonesja02,34,6,0,113,6,19,4,13,4,4,0,8,8,2,4,1,4,19,20,.316,.308,1.000,18.8,3.3,1.3,0.3,0.7,0.2
9,Mike Miller\millemi01,34,5,0,28,1,2,1,2,0,0,0,1,1,0,1,0,1,3,3,.500,.500,,5.7,0.6,0.2,0.0,0.2,0.0
10,Kendrick Perkins\perkike01,30,1,0,3,0,2,0,0,2,2,0,1,1,0,0,0,0,1,2,.000,,1.000,3.1,2.0,1.0,0.0,0.0,0.0
11,Joe Harris\harrijo01,23,2,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,,,.500,1.6,0.5,0.0,0.0,0.0,0.0
