,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,DeMarre Carroll\carrode01,28,6,6,210,38,70,14,30,15,18,12,31,43,17,5,1,7,18,105,.543,.467,.833,35.1,17.5,7.2,2.8,0.8,0.2
2,Paul Millsap\millspa01,29,6,6,221,36,80,10,21,12,20,13,45,58,20,13,7,7,17,94,.450,.476,.600,36.8,15.7,9.7,3.3,2.2,1.2
3,Kyle Korver\korveky01,33,6,6,229,30,69,23,58,10,12,0,36,36,18,10,6,5,6,93,.435,.397,.833,38.2,15.5,6.0,3.0,1.7,1.0
4,Al Horford\horfoal01,28,6,6,198,40,83,0,4,6,8,15,45,60,23,6,7,12,15,86,.482,.000,.750,33.0,14.3,10.0,3.8,1.0,1.2
5,Jeff Teague\teaguje01,26,6,6,189,30,76,7,21,18,23,2,12,14,47,12,1,19,12,85,.395,.333,.783,31.6,14.2,2.3,7.8,2.0,0.2
6,Dennis Schroder\schrode01,21,6,0,112,23,55,2,12,8,9,0,3,3,20,3,0,16,7,56,.418,.167,.889,18.7,9.3,0.5,3.3,0.5,0.0
7,Pero Antic\anticpe01,32,6,0,95,10,24,7,15,10,12,5,13,18,2,1,2,2,16,37,.417,.467,.833,15.9,6.2,3.0,0.3,0.2,0.3
8,Mike Scott\scottmi01,26,6,0,66,10,25,2,9,2,2,8,10,18,0,2,0,2,5,24,.400,.222,1.000,10.9,4.0,3.0,0.0,0.3,0.0
9,Kent Bazemore\bazemke01,25,6,0,106,8,26,1,13,3,4,3,16,19,3,3,3,3,10,20,.308,.077,.750,17.7,3.3,3.2,0.5,0.5,0.5
10,Shelvin Mack\macksh01,24,5,0,24,3,9,1,4,0,0,1,1,2,4,4,0,0,2,7,.333,.250,,4.9,1.4,0.4,0.8,0.8,0.0
11,Mike Muscala\muscami01,23,1,0,6,2,3,0,1,0,0,1,1,2,0,1,1,2,1,4,.667,.000,,5.9,4.0,2.0,0.0,1.0,1.0
12,Elton Brand\brandel01,35,2,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,.000,,,1.9,0.0,0.5,0.0,0.0,0.0
13,John Jenkins\jenkijo01,23,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,,3.6,0.0,0.0,0.0,0.0,0.0
1,Brook Lopez\lopezbr01,26,6,6,234,43,87,0,0,33,40,20,34,54,5,4,13,6,18,119,.494,,.825,38.9,19.8,9.0,0.8,0.7,2.2
2,Joe Johnson\johnsjo02,33,6,6,249,34,94,12,41,19,24,5,41,46,29,7,0,5,16,99,.362,.293,.792,41.6,16.5,7.7,4.8,1.2,0.0
3,Jarrett Jack\jackja01,31,6,0,153,28,54,5,15,13,13,2,23,25,27,7,1,20,14,74,.519,.333,1.000,25.5,12.3,4.2,4.5,1.2,0.2
4,Deron Williams\willide01,30,6,6,192,27,69,11,26,6,7,3,34,37,33,8,0,16,18,71,.391,.423,.857,32.0,11.8,6.2,5.5,1.3,0.0
5,Alan Anderson\anderal01,32,6,0,142,25,41,10,16,6,9,2,19,21,7,4,1,8,9,66,.610,.625,.667,23.6,11.0,3.5,1.2,0.7,0.2
6,Thaddeus Young\youngth01,26,6,6,190,29,66,0,4,5,12,17,26,43,16,5,1,14,15,63,.439,.000,.417,31.7,10.5,7.2,2.7,0.8,0.2
7,Bojan Bogdanovic\bogdabo02,25,6,5,206,23,59,11,33,5,7,3,20,23,10,4,2,8,12,62,.390,.333,.714,34.4,10.3,3.8,1.7,0.7,0.3
8,Mason Plumlee\plumlma01,24,6,0,49,4,6,0,0,4,11,2,6,8,2,4,2,3,10,12,.667,,.364,8.2,2.0,1.3,0.3,0.7,0.3
9,Markel Brown\brownma02,23,2,1,10,2,5,0,2,2,2,2,0,2,1,0,0,2,0,6,.400,.000,1.000,5.1,3.0,1.0,0.5,0.0,0.0
10,Earl Clark\clarkea01,27,2,0,13,2,10,2,3,0,0,0,2,2,0,1,0,0,1,6,.200,.667,,6.5,3.0,1.0,0.0,0.5,0.0
11,Jerome Jordan\jordaje01,28,1,0,5,0,2,0,0,0,0,1,1,2,0,0,0,1,0,0,.000,,,4.7,0.0,2.0,0.0,0.0,0.0
12,Darius Morris\morrida01,24,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,4.7,0.0,0.0,0.0,0.0,0.0
13,Mirza Teletovic\teletmi01,29,3,0,16,0,5,0,4,0,0,0,4,4,0,1,0,1,1,0,.000,.000,,5.5,0.0,1.3,0.0,0.3,0.0
1,Jimmy Butler\butleji01,25,6,6,253,50,105,15,37,34,43,8,25,33,23,15,5,14,9,149,.476,.405,.791,42.1,24.8,5.5,3.8,2.5,0.8
2,Derrick Rose\rosede01,26,6,6,220,41,100,15,40,17,19,5,21,26,39,9,3,26,11,114,.410,.375,.895,36.7,19.0,4.3,6.5,1.5,0.5
3,Pau Gasol\gasolpa01,34,6,6,208,37,76,0,4,24,33,11,60,71,22,3,14,16,13,98,.487,.000,.727,34.7,16.3,11.8,3.7,0.5,2.3
4,Mike Dunleavy\dunlemi02,34,6,6,181,20,40,17,31,6,6,3,21,24,18,4,1,8,17,63,.500,.548,1.000,30.2,10.5,4.0,3.0,0.7,0.2
5,Taj Gibson\gibsota01,29,6,0,130,16,36,0,0,11,16,14,21,35,8,3,7,9,10,43,.444,,.688,21.7,7.2,5.8,1.3,0.5,1.2
6,Joakim Noah\noahjo01,29,6,6,201,19,40,0,0,1,10,20,50,70,26,7,6,9,19,39,.475,,.100,33.6,6.5,11.7,4.3,1.2,1.0
7,Aaron Brooks\brookaa01,30,6,0,70,12,30,7,14,2,5,2,7,9,6,1,1,6,13,33,.400,.500,.400,11.7,5.5,1.5,1.0,0.2,0.2
8,Tony Snell\snellto01,23,6,0,99,10,29,6,20,2,2,1,10,11,4,0,2,5,11,28,.345,.300,1.000,16.4,4.7,1.8,0.7,0.0,0.3
9,Nikola Mirotic\mirotni01,23,5,0,82,9,30,4,16,1,2,2,13,15,8,3,2,4,7,23,.300,.250,.500,16.4,4.6,3.0,1.6,0.6,0.4
10,Kirk Hinrich\hinriki01,34,4,0,29,2,7,1,3,0,0,0,1,1,3,1,0,0,2,5,.286,.333,,7.2,1.3,0.3,0.8,0.3,0.0
11,Doug McDermott\mcderdo01,23,1,0,6,1,3,1,2,2,2,1,0,1,0,0,0,1,0,5,.333,.500,1.000,6.1,5.0,1.0,0.0,0.0,0.0
12,E'Twaun Moore\mooreet01,25,1,0,4,1,2,1,1,0,0,0,3,3,0,0,0,0,1,3,.500,1.000,,4.3,3.0,3.0,0.0,0.0,0.0
13,Nazr Mohammed\mohamna01,37,1,0,7,1,3,0,0,0,0,1,0,1,0,0,1,0,0,2,.333,,,6.7,2.0,1.0,0.0,0.0,1.0
1,Khris Middleton\middlkh01,23,6,6,232,35,92,11,34,14,15,7,15,22,12,14,3,10,14,95,.380,.324,.933,38.7,15.8,3.7,2.0,2.3,0.5
2,Michael Carter-Williams\cartemi01,23,6,6,191,33,78,0,5,7,12,1,26,27,29,7,6,16,14,73,.423,.000,.583,31.8,12.2,4.5,4.8,1.2,1.0
