
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Paul Pierce\piercpa01,30,6,6,233,38,88,11,28,44,53,3,24,27,38,7,2,22,24,131,.432,.393,.830,38.8,21.8,4.5,6.3,1.2,0.3
2,Ray Allen\allenra02,32,6,6,246,37,73,22,42,26,30,8,22,30,15,8,4,11,16,122,.507,.524,.867,41.0,20.3,5.0,2.5,1.3,0.7
3,Kevin Garnett\garneke01,31,6,6,228,45,105,0,1,19,25,22,56,78,18,10,6,16,16,109,.429,.000,.760,37.9,18.2,13.0,3.0,1.7,1.0
4,Rajon Rondo\rondora01,21,6,6,162,20,53,0,3,16,27,7,16,23,40,9,3,9,13,56,.377,.000,.593,27.0,9.3,3.8,6.7,1.5,0.5
5,James Posey\poseyja01,31,6,0,151,14,28,12,24,12,12,3,20,23,3,8,1,5,16,52,.500,.500,1.000,25.2,8.7,3.8,0.5,1.3,0.2
6,Leon Powe\powele01,24,6,1,53,11,20,0,0,15,21,7,12,19,0,0,0,2,13,37,.550,,.714,8.9,6.2,3.2,0.0,0.0,0.0
7,Eddie House\houseed01,29,4,0,74,10,28,7,17,5,6,0,10,10,10,1,0,2,4,32,.357,.412,.833,18.5,8.0,2.5,2.5,0.3,0.0
8,P.J. Brown\brownpj01,38,6,0,117,9,23,0,0,6,8,5,14,19,4,3,3,2,19,24,.391,,.750,19.5,4.0,3.2,0.7,0.5,0.5
9,Kendrick Perkins\perkike01,23,5,5,92,8,14,0,0,4,6,8,10,18,2,3,5,6,21,20,.571,,.667,18.4,4.0,3.6,0.4,0.6,1.0
10,Sam Cassell\cassesa01,38,5,0,51,9,24,0,6,1,1,0,1,1,6,2,0,2,4,19,.375,.000,1.000,10.1,3.8,0.2,1.2,0.4,0.0
11,Tony Allen\allento01,26,3,0,19,4,6,0,0,0,0,0,1,1,2,1,0,0,0,8,.667,,,6.3,2.7,0.3,0.7,0.3,0.0
12,Glen Davis\davisgl01,22,1,0,15,1,2,0,0,1,2,2,2,4,0,0,0,0,2,3,.500,,.500,14.6,3.0,4.0,0.0,0.0,0.0
1,Kobe Bryant\bryanko01,29,6,6,258,53,131,9,28,39,49,8,20,28,30,16,1,23,19,154,.405,.321,.796,43.0,25.7,4.7,5.0,2.7,0.2
2,Pau Gasol\gasolpa01,27,6,6,234,33,62,0,0,22,34,12,49,61,20,3,3,13,20,88,.532,,.647,39.0,14.7,10.2,3.3,0.5,0.5
3,Lamar Odom\odomla01,28,6,6,220,31,60,1,5,18,28,12,42,54,18,2,6,16,23,81,.517,.200,.643,36.7,13.5,9.0,3.0,0.3,1.0
4,Derek Fisher\fishede01,33,6,6,187,17,42,3,16,28,34,2,7,9,19,9,0,9,17,65,.405,.188,.824,31.2,10.8,1.5,3.2,1.5,0.0
5,Sasha Vujacic\vujacsa01,23,6,0,132,18,46,8,23,6,7,3,9,12,5,3,1,5,14,50,.391,.348,.857,22.0,8.3,2.0,0.8,0.5,0.2
6,Vladimir Radmanovic\radmavl01,27,6,6,128,16,41,10,26,2,2,6,23,29,8,4,0,4,22,44,.390,.385,1.000,21.3,7.3,4.8,1.3,0.7,0.0
7,Jordan Farmar\farmajo01,21,6,0,115,15,31,9,17,3,4,1,10,11,8,2,3,5,7,42,.484,.529,.750,19.2,7.0,1.8,1.3,0.3,0.5
8,Luke Walton\waltolu01,27,6,0,66,5,16,2,6,3,4,2,4,6,7,1,1,3,13,15,.313,.333,.750,11.0,2.5,1.0,1.2,0.2,0.2
9,Trevor Ariza\arizatr01,22,5,0,35,5,9,1,3,2,4,3,6,9,1,1,1,1,6,13,.556,.333,.500,7.0,2.6,1.8,0.2,0.2,0.2
10,Ronny Turiaf\turiaro01,25,6,0,62,5,10,0,0,1,4,0,4,4,0,0,3,1,13,11,.500,,.250,10.4,1.8,0.7,0.0,0.0,0.5
11,Chris Mihm\mihmch01,28,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,.000,,,2.8,0.0,0.0,0.0,0.0,0.0
