,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kevin Garnett\garneke01,31,7,7,257,59,122,1,1,28,34,20,42,62,27,14,10,14,21,147,.484,1.000,.824,36.8,21.0,8.9,3.9,2.0,1.4
2,Paul Pierce\piercpa01,30,7,7,234,43,96,15,36,25,35,9,23,32,33,8,1,16,25,126,.448,.417,.714,33.4,18.0,4.6,4.7,1.1,0.1
3,Ray Allen\allenra02,32,7,7,265,42,100,18,45,11,11,7,17,24,22,5,2,6,16,113,.420,.400,1.000,37.8,16.1,3.4,3.1,0.7,0.3
4,Rajon Rondo\rondora01,21,7,7,216,36,79,1,4,8,10,12,17,29,51,12,1,7,20,81,.456,.250,.800,30.9,11.6,4.1,7.3,1.7,0.1
5,Kendrick Perkins\perkike01,23,7,7,169,18,30,0,1,17,19,15,30,45,2,4,12,5,22,53,.600,.000,.895,24.2,7.6,6.4,0.3,0.6,1.7
6,James Posey\poseyja01,31,7,0,164,18,40,11,28,5,8,4,26,30,10,9,5,3,15,52,.450,.393,.625,23.5,7.4,4.3,1.4,1.3,0.7
7,Leon Powe\powele01,24,7,0,124,16,30,0,0,15,24,14,10,24,2,0,3,8,22,47,.533,,.625,17.8,6.7,3.4,0.3,0.0,0.4
8,Sam Cassell\cassesa01,38,7,0,92,17,41,3,9,4,4,2,5,7,9,3,1,2,11,41,.415,.333,1.000,13.2,5.9,1.0,1.3,0.4,0.1
9,Glen Davis\davisgl01,22,7,0,55,7,12,0,1,2,4,5,6,11,6,4,3,6,13,16,.583,.000,.500,7.8,2.3,1.6,0.9,0.6,0.4
10,Tony Allen\allento01,26,6,0,28,5,9,0,1,1,1,1,1,2,0,0,0,0,2,11,.556,.000,1.000,4.7,1.8,0.3,0.0,0.0,0.0
11,P.J. Brown\brownpj01,38,6,0,45,1,6,0,0,2,2,2,4,6,2,0,2,1,8,4,.167,,1.000,7.5,0.7,1.0,0.3,0.0,0.3
12,Eddie House\houseed01,29,7,0,30,1,7,1,5,0,0,0,4,4,4,1,0,1,0,3,.143,.200,,4.3,0.4,0.6,0.6,0.1,0.0
1,Joe Johnson\johnsjo02,26,7,7,275,47,115,16,36,30,33,9,18,27,28,2,0,16,16,140,.409,.444,.909,39.3,20.0,3.9,4.0,0.3,0.0
2,Josh Smith\smithjo03,22,7,7,237,35,88,3,18,37,44,7,38,45,20,12,20,26,26,110,.398,.167,.841,33.8,15.7,6.4,2.9,1.7,2.9
3,Al Horford\horfoal01,21,7,7,277,34,72,0,0,20,27,22,51,73,25,3,7,15,26,88,.472,,.741,39.5,12.6,10.4,3.6,0.4,1.0
4,Marvin Williams\willima02,21,7,7,199,24,58,0,0,32,36,11,17,28,5,2,3,13,21,80,.414,,.889,28.5,11.4,4.0,0.7,0.3,0.4
5,Mike Bibby\bibbymi01,29,7,7,252,22,65,7,24,21,32,3,19,22,22,4,2,13,12,72,.338,.292,.656,35.9,10.3,3.1,3.1,0.6,0.3
6,Josh Childress\childjo01,24,7,0,205,22,42,0,2,6,12,15,25,40,11,1,5,2,7,50,.524,.000,.500,29.3,7.1,5.7,1.6,0.1,0.7
7,Zaza Pachulia\pachuza01,23,7,0,105,7,25,0,1,15,21,9,11,20,2,2,0,9,22,29,.280,.000,.714,15.0,4.1,2.9,0.3,0.3,0.0
8,Acie Law\lawac01,23,7,0,61,6,8,0,0,9,10,0,2,2,8,2,0,8,5,21,.750,,.900,8.7,3.0,0.3,1.1,0.3,0.0
9,Salim Stoudamire\stoudsa01,25,3,0,28,4,9,2,6,2,2,0,1,1,0,1,0,3,2,12,.444,.333,1.000,9.3,4.0,0.3,0.0,0.3,0.0
10,Solomon Jones\jonesso01,23,7,0,29,2,10,0,0,0,2,4,4,8,1,1,3,0,3,4,.200,,.000,4.1,0.6,1.1,0.1,0.1,0.4
