,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Rajon Rondo\rondora01,23,6,6,251,46,85,3,9,29,44,8,30,38,71,11,0,22,20,124,.541,.333,.659,41.9,20.7,6.3,11.8,1.8,0.0
2,Kevin Garnett\garneke01,33,6,6,205,50,96,0,1,13,13,8,40,48,13,3,5,8,20,113,.521,.000,1.000,34.2,18.8,8.0,2.2,0.5,0.8
3,Ray Allen\allenra02,34,6,6,231,34,80,12,37,14,15,4,16,20,14,6,2,8,17,94,.425,.324,.933,38.5,15.7,3.3,2.3,1.0,0.3
4,Paul Pierce\piercpa01,32,6,6,208,29,84,8,26,15,19,8,20,28,22,7,1,15,20,81,.345,.308,.789,34.7,13.5,4.7,3.7,1.2,0.2
5,Tony Allen\allento01,28,6,0,119,17,30,0,3,16,22,6,13,19,6,8,4,7,17,50,.567,.000,.727,19.9,8.3,3.2,1.0,1.3,0.7
6,Kendrick Perkins\perkike01,25,6,6,157,14,22,0,0,12,22,11,31,42,4,1,14,6,25,40,.636,,.545,26.1,6.7,7.0,0.7,0.2,2.3
7,Glen Davis\davisgl01,24,6,0,93,11,25,0,1,15,24,9,8,17,2,3,2,7,16,37,.440,.000,.625,15.6,6.2,2.8,0.3,0.5,0.3
8,Rasheed Wallace\wallara01,35,6,0,102,13,27,5,11,6,8,0,14,14,1,4,3,2,22,37,.481,.455,.750,17.0,6.2,2.3,0.2,0.7,0.5
9,Nate Robinson\robinna01,25,3,0,16,3,10,2,4,3,4,1,1,2,2,1,0,1,2,11,.300,.500,.750,5.4,3.7,0.7,0.7,0.3,0.0
10,Shelden Williams\willish02,26,3,0,11,3,3,0,0,3,4,0,2,2,0,1,0,0,1,9,1.000,,.750,3.6,3.0,0.7,0.0,0.3,0.0
11,Marquis Daniels\daniema01,29,5,0,18,2,6,0,1,0,0,1,3,4,1,0,0,0,2,4,.333,.000,,3.5,0.8,0.8,0.2,0.0,0.0
12,Michael Finley\finlemi01,36,6,0,28,1,6,1,5,0,0,0,5,5,2,1,0,0,1,3,.167,.200,,4.7,0.5,0.8,0.3,0.2,0.0
1,LeBron James\jamesle01,25,6,6,255,51,114,7,26,52,70,9,47,56,43,13,8,27,12,161,.447,.269,.743,42.5,26.8,9.3,7.2,2.2,1.3
2,Shaquille O'Neal\onealsh01,37,6,6,140,29,56,0,0,23,35,12,18,30,6,1,6,10,22,81,.518,,.657,23.4,13.5,5.0,1.0,0.2,1.0
