,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James\jamesle01,25,5,5,205,55,97,13,24,36,50,6,40,46,41,6,12,15,11,159,.567,.542,.720,41.0,31.8,9.2,8.2,1.2,2.4
2,Antawn Jamison\jamisan01,33,5,5,175,37,73,7,23,16,20,7,30,37,8,3,6,9,18,97,.507,.304,.800,35.0,19.4,7.4,1.6,0.6,1.2
3,Mo Williams\willima01,27,5,5,186,25,61,13,33,15,20,1,12,13,26,2,2,11,14,78,.410,.394,.750,37.3,15.6,2.6,5.2,0.4,0.4
4,Shaquille O'Neal\onealsh01,37,5,5,103,19,37,0,0,8,12,9,22,31,9,1,7,14,19,46,.514,,.667,20.6,9.2,6.2,1.8,0.2,1.4
5,Anthony Parker\parkean01,34,5,5,132,13,30,9,23,6,9,0,11,11,7,2,1,4,3,41,.433,.391,.667,26.4,8.2,2.2,1.4,0.4,0.2
6,Delonte West\westde01,26,5,0,137,17,38,3,13,3,3,3,8,11,18,5,1,5,8,40,.447,.231,1.000,27.5,8.0,2.2,3.6,1.0,0.2
7,Jamario Moon\moonja01,29,5,0,71,10,16,7,12,0,0,1,9,10,2,2,5,0,6,27,.625,.583,,14.1,5.4,2.0,0.4,0.4,1.0
8,Anderson Varejao\varejan01,27,5,0,126,9,24,0,0,8,14,11,25,36,3,5,5,6,19,26,.375,,.571,25.3,5.2,7.2,0.6,1.0,1.0
9,J.J. Hickson\hicksjj01,21,5,0,22,3,5,0,0,4,4,1,1,2,0,0,0,1,3,10,.600,,1.000,4.5,2.0,0.4,0.0,0.0,0.0
10,Zydrunas Ilgauskas\ilgauzy01,34,4,0,34,2,5,0,0,1,2,6,2,8,2,0,2,0,3,5,.400,,.500,8.5,1.3,2.0,0.5,0.0,0.5
11,Daniel Gibson\gibsoda01,23,2,0,4,1,2,0,0,0,0,0,2,2,0,0,0,1,0,2,.500,,,2.1,1.0,1.0,0.0,0.0,0.0
12,Jawad Williams\willija04,26,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,.000,.000,,1.5,0.0,0.0,0.0,0.0,0.0
1,Derrick Rose\rosede01,21,5,5,212,57,125,2,6,18,22,4,13,17,36,4,0,13,8,134,.456,.333,.818,42.5,26.8,3.4,7.2,0.8,0.0
2,Luol Deng\denglu01,24,5,5,203,37,80,1,12,19,26,8,17,25,7,6,4,3,15,94,.463,.083,.731,40.5,18.8,5.0,1.4,1.2,0.8
3,Joakim Noah\noahjo01,24,5,5,188,28,53,0,0,18,19,20,45,65,13,9,7,15,20,74,.528,,.947,37.6,14.8,13.0,2.6,1.8,1.4
4,Kirk Hinrich\hinriki01,29,5,5,196,22,52,8,16,10,14,1,21,22,20,7,0,2,14,62,.423,.500,.714,39.3,12.4,4.4,4.0,1.4,0.0
5,Ronald Murray\murraro01,30,5,0,97,15,37,4,12,8,8,4,9,13,10,2,0,1,3,42,.405,.333,1.000,19.5,8.4,2.6,2.0,0.4,0.0
6,Taj Gibson\gibsota01,24,5,5,145,16,38,0,0,6,11,9,26,35,3,1,3,2,17,38,.421,,.545,28.9,7.6,7.0,0.6,0.2,0.6
7,Brad Miller\millebr01,33,5,0,93,10,27,0,4,7,7,3,15,18,4,0,1,7,16,27,.370,.000,1.000,18.5,5.4,3.6,0.8,0.0,0.2
8,Hakim Warrick\warriha01,27,3,0,31,2,11,0,1,5,6,3,2,5,0,0,0,2,3,9,.182,.000,.833,10.3,3.0,1.7,0.0,0.0,0.0
9,Jannero Pargo\pargoja01,30,2,0,8,1,5,1,2,0,0,0,0,0,1,0,0,0,0,3,.200,.500,,3.8,1.5,0.0,0.5,0.0,0.0
10,Devin Brown\brownde02,31,1,0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,2,1.000,,.000,2.3,2.0,1.0,0.0,0.0,0.0
11,James Johnson\johnsja01,22,4,0,20,0,2,0,1,0,0,1,0,1,1,0,0,2,11,0,.000,.000,,5.0,0.0,0.3,0.3,0.0,0.0
12,Chris Richard\richach01,25,2,0,5,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,,,,2.5,0.0,1.5,0.0,0.0,0.0
1,Jameer Nelson\nelsoja01,27,4,4,145,30,62,12,28,23,26,2,9,11,18,10,0,5,8,95,.484,.429,.885,36.3,23.8,2.8,4.5,2.5,0.0
